cell_id,epithelial_refinement_cluster,original_Tier_A,original_Tier_B,refined_Tier_A,refined_Tier_B
aablohho-1,12,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabmdaah-1,12,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabmjapn-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabnaceo-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabnfgko-1,1,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aabnpbgg-1,5,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaboklpl-1,13,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aabppaci-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aacaenel-1,17,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aacajbck-1,20,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaccjpjf-1,20,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aacdboen-1,14,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aacdjidg-1,19,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaceccao-1,4,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aacefkpc-1,13,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aacepioa-1,15,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aacfdhem-1,21,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aacfepna-1,2,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aacffjfg-1,20,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aacfpddf-1,17,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aacgjoca-1,3,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aacgkbok-1,12,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aachdbge-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aacheoll-1,21,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aachhheb-1,15,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aaciemio-1,15,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aacifjab-1,0,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aackjbkd-1,15,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aaclhkga-1,3,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aacljphb-1,13,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aacnocdo-1,21,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aacogodc-1,15,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aacolopk-1,14,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aacpbgjp-1,1,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aacphmcb-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aacpickd-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadahkmi-1,14,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aadbmidj-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aadboomp-1,21,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadccgdm-1,16,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadclnpo-1,4,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaddejoc-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaddnmlf-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadeihie-1,11,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aadfabhj-1,13,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aadfnldp-1,5,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aadfohci-1,0,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadggdjj-1,17,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadgmlcn-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadhgfbj-1,11,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aadhhhap-1,15,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aadhlonh-1,12,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadigflo-1,21,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadijjed-1,20,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadinfip-1,14,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aadjdmkg-1,20,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadjelfc-1,13,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aadjpkga-1,17,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadkdflo-1,2,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadkkhmb-1,1,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadmalin-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadmfagk-1,13,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aadmhlco-1,1,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadoffcl-1,21,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aadppmoh-1,13,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaeegidn-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaeeiaop-1,22,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaefndac-1,19,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaefnndm-1,5,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaegcgho-1,12,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaeheheo-1,3,pancreatic acinar epithelium,acinar epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaeibbll-1,6,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaejajck-1,2,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaejfaac-1,2,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaejgggo-1,2,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaeleboh-1,0,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaelghhf-1,17,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaelmpip-1,2,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaelocif-1,14,pancreatic ductal epithelium,ductal/tumor epithelial,pancreatic ductal epithelium,ductal/tumor epithelial
aaemcbbi-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaenllia-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaeokida-1,21,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaeomodl-1,9,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aaepgbgh-1,16,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aafafjfi-1,16,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
aafahnkb-1,18,pancreatic acinar epithelium,acinar epithelial,pancreatic acinar epithelium,acinar epithelial
