resolution,subcluster,n_cells,fraction,parent_leiden_mix,EPCAM_mean,EPCAM_frac_pos,SOX9_mean,SOX9_frac_pos,MUC5AC_mean,MUC5AC_frac_pos,TFF3_mean,TFF3_frac_pos,CEACAM6_mean,CEACAM6_frac_pos,CDX2_mean,CDX2_frac_pos,REG4_mean,REG4_frac_pos,DMBT1_mean,DMBT1_frac_pos,TMPRSS2_mean,TMPRSS2_frac_pos,XBP1_mean,XBP1_frac_pos,IGKC_mean,IGKC_frac_pos,SDC1_mean,SDC1_frac_pos,MKI67_mean,MKI67_frac_pos,UBE2C_mean,UBE2C_frac_pos,MET_mean,MET_frac_pos,CXCL5_mean,CXCL5_frac_pos,CEACAM1_mean,CEACAM1_frac_pos,CEACAM8_mean,CEACAM8_frac_pos,duodenum_like_panel_score
epi_leiden_0_3,0,27151,0.43635691556041273,0:1.00; 12:0.00; 1:0.00,6.675300121307373,0.9993738720489116,2.8491127490997314,0.6168833560458178,1.9879069328308105,0.40517844646606016,1.0827919244766235,0.24201686862362343,6.865184307098389,0.9987477440978233,0.5286462306976318,0.1286877094766307,0.9709256291389465,0.1954992449633531,0.1025233194231987,0.025744908106515415,1.9180763959884644,0.4309970166844683,3.1842782497406006,0.684063202092004,0.6705067157745361,0.16098854554160066,4.912641525268555,0.9222864719531509,1.7606602907180786,0.36959964642186294,1.009193778038025,0.23137269345512135,4.333287239074707,0.8566903613126589,6.277711868286133,0.968877757725314,4.8288750648498535,0.9037604508121247,5.206615447998047,0.9467422931015432,-0.22659351117908955
epi_leiden_0_3,1,20021,0.3217672205972164,1:1.00; 0:0.00; 12:0.00,6.107110977172852,0.9258778282803056,1.1836129426956177,0.22945906797862245,1.2376326322555542,0.2069826681983917,2.3483119010925293,0.4017781329603916,1.5170252323150635,0.27496129064482294,2.277400493621826,0.42405474252035363,5.332905292510986,0.8194895359872134,6.070571422576904,0.8816242944907847,2.6277801990509033,0.4752509864642126,2.8097784519195557,0.5077168972578793,3.3233819007873535,0.5668048549023526,2.150423765182495,0.4044753009340193,1.9048130512237549,0.34478797262873984,0.5509359836578369,0.10908546026671995,1.1380589008331299,0.22191698716347835,0.4866269826889038,0.0912042355526697,0.6866578459739685,0.13440887068577992,0.568378210067749,0.11198241846061635,3.732832118868828
epi_leiden_0_3,2,10420,0.16746488380315644,12:0.75; 0:0.24; 1:0.00,6.085099220275879,0.927831094049904,1.3295649290084839,0.24404990403071017,0.998613715171814,0.17562380038387715,0.5143433213233948,0.09462571976967371,6.677168846130371,0.9674664107485604,0.19322653114795685,0.03694817658349328,0.5656542181968689,0.09942418426103647,0.05985702574253082,0.011132437619961612,0.8806639909744263,0.16276391554702496,1.5671457052230835,0.28627639155470247,0.48671936988830566,0.0899232245681382,3.1069626808166504,0.5431861804222649,0.6858722567558289,0.12428023032629558,0.3182564675807953,0.05873320537428023,2.578143358230591,0.4614203454894434,5.835402011871338,0.8791746641074856,3.4069652557373047,0.5867562380038388,3.917985200881958,0.6694817658349328,-0.5346223786473274
epi_leiden_0_3,3,4630,0.07441098003921442,1:1.00; 12:0.00; 0:0.00,6.040923118591309,0.9498920086393089,2.967982769012451,0.5520518358531318,2.3316473960876465,0.3721382289416847,4.718558311462402,0.767170626349892,0.3255663812160492,0.06501079913606911,1.0761066675186157,0.2084233261339093,1.130271077156067,0.20496760259179267,1.6634613275527954,0.29244060475161987,2.9714083671569824,0.5488120950323974,5.816835880279541,0.931317494600432,4.349977016448975,0.7384449244060475,2.1837575435638428,0.42051835853131747,0.7395491600036621,0.1390928725701944,0.21692435443401337,0.044060475161987044,1.4343069791793823,0.28488120950323975,1.338754653930664,0.25161987041036715,0.8835071921348572,0.17688984881209502,0.17602497339248657,0.03606911447084233,1.3781601376831532
epi_leiden_0_5,0,13674,0.21976149914821125,0:1.00; 12:0.00; 1:0.00,6.614921569824219,0.9997074740383209,3.0040221214294434,0.675003656574521,2.139252185821533,0.4524645312271464,1.0530740022659302,0.2500365657452099,6.794562816619873,0.999049290624543,0.6003090739250183,0.15423431329530496,0.8595959544181824,0.18407196138657306,0.12854237854480743,0.03393301155477549,2.0581657886505127,0.4835454146555507,3.4620349407196045,0.7670762030130174,0.8226785659790039,0.2065233289454439,4.964621067047119,0.9488810881965775,2.0662124156951904,0.4422992540587977,1.2932287454605103,0.3056896299546585,4.564656734466553,0.9131197893813076,6.418087959289551,0.9852274389352055,4.830817699432373,0.9271610355419043,5.22481632232666,0.9663595144069036,-0.20507357642054558
epi_leiden_0_5,1,13357,0.21466683809585035,0:1.00; 12:0.00; 1:0.00,6.748466968536377,0.9993261960020963,2.702850103378296,0.5597065209253574,1.8496553897857666,0.35966160065883057,1.1342283487319946,0.23792767837089165,6.9438157081604,0.9987272591150708,0.46048596501350403,0.10369094856629482,1.1051210165023804,0.21082578423298645,0.07695779949426651,0.017593771056374934,1.7741951942443848,0.3771056374934491,2.918405055999756,0.6027551096803174,0.5163472890853882,0.11477128097626713,4.875715255737305,0.8971325896533653,1.4649701118469238,0.29834543684959197,0.7193210124969482,0.15549898929400313,4.077435493469238,0.7951635846372689,6.126662254333496,0.9513363779291757,4.8326897621154785,0.8802874897057723,5.191169738769531,0.9264804971176163,-0.24499389342963696
epi_leiden_0_5,2,10677,0.17159525569734177,1:1.00; 0:0.00; 12:0.00,6.227967262268066,0.9579469888545472,1.5124258995056152,0.2976491523836284,1.5142902135849,0.25540882270300647,2.7241408824920654,0.47653835347007584,1.2488340139389038,0.23836283600262245,2.767888069152832,0.5215884611782335,5.606624603271484,0.872529736817458,6.284687042236328,0.9174861852580313,2.3559932708740234,0.44844057319471764,3.3727426528930664,0.6172145733820361,4.115478038787842,0.7031001217570478,2.5218617916107178,0.48197059098997846,3.0896735191345215,0.5612063313664887,0.929145872592926,0.18544534981736444,1.3570412397384644,0.27001966844619274,0.6318085789680481,0.12072679591645594,0.5192508101463318,0.1073335206518685,0.45564398169517517,0.09431488245761918,3.9084077179431915
epi_leiden_0_5,3,10523,0.1691202468580245,12:0.74; 0:0.25; 1:0.00,6.076914310455322,0.9282523995058444,1.3341902494430542,0.24584244036871614,0.9858601093292236,0.17409483987456048,0.4941430389881134,0.09103867718331274,6.673561096191406,0.9676898222940227,0.1907591074705124,0.03658652475529792,0.53892982006073,0.0949349044949159,0.05720991641283035,0.010643352656086668,0.8886634111404419,0.16506699610377268,1.5633057355880737,0.2863251924356172,0.48623180389404297,0.0900883778390193,3.1063270568847656,0.5447115841490069,0.6760130524635315,0.12296873515157275,0.3241747319698334,0.06024897842820488,2.6194427013397217,0.47020811555640024,5.8558855056762695,0.8820678513731826,3.416722536087036,0.5898508030029459,3.929952621459961,0.6730019956286231,-0.5385370869189501
epi_leiden_0_5,4,8519,0.13691298897496063,1:1.00; 12:0.00; 0:0.00,5.982211112976074,0.8873107172203311,0.7142743468284607,0.1344054466486677,0.8720903396606445,0.14391360488320226,1.7319456338882446,0.2865359784012208,1.9514085054397583,0.33783307899988263,1.6886647939682007,0.3069609109050358,5.083468437194824,0.7668740462495598,5.89033317565918,0.8464608522127011,3.0290441513061523,0.519661932151661,1.9986135959625244,0.35532339476464375,2.2042174339294434,0.3784481746683883,1.7120165824890137,0.3127127597135814,0.44542041420936584,0.0780608052588332,0.08606348186731339,0.01537739171264233,0.8944493532180786,0.1680948468130062,0.3029049038887024,0.05411433266815354,0.9315558075904846,0.17525531165629768,0.750860869884491,0.14227021950933208,3.569940283894539
epi_leiden_0_5,5,5472,0.08794317122561152,1:1.00; 12:0.00; 0:0.00,6.01063871383667,0.9437134502923976,2.777315855026245,0.5164473684210527,2.1973283290863037,0.3512426900584795,4.574421405792236,0.7436038011695907,0.36756789684295654,0.07255116959064327,1.213401436805725,0.2322733918128655,1.6273032426834106,0.2775950292397661,2.1891579627990723,0.3658625730994152,2.827223300933838,0.5213815789473685,5.512404918670654,0.8887061403508771,4.381012916564941,0.7381213450292398,2.1404380798339844,0.410453216374269,0.8759476542472839,0.16319444444444445,0.2549275755882263,0.05116959064327485,1.3506028652191162,0.266812865497076,1.2152248620986938,0.2278874269005848,0.8053014874458313,0.1608187134502924,0.18013732135295868,0.03654970760233918,1.643659457564354
