method,subcluster,n_cells,fraction,parent_leiden_mix,current_tier_b_mix,EPCAM_mean,EPCAM_frac_pos,SOX9_mean,SOX9_frac_pos,MUC5AC_mean,MUC5AC_frac_pos,TFF3_mean,TFF3_frac_pos,CEACAM6_mean,CEACAM6_frac_pos,CDX2_mean,CDX2_frac_pos,REG4_mean,REG4_frac_pos,DMBT1_mean,DMBT1_frac_pos,TMPRSS2_mean,TMPRSS2_frac_pos,XBP1_mean,XBP1_frac_pos,IGKC_mean,IGKC_frac_pos,SDC1_mean,SDC1_frac_pos,MKI67_mean,MKI67_frac_pos,UBE2C_mean,UBE2C_frac_pos,MET_mean,MET_frac_pos,CXCL5_mean,CXCL5_frac_pos,CEACAM1_mean,CEACAM1_frac_pos,CEACAM8_mean,CEACAM8_frac_pos,duodenum_panel_score,ductal_tumor_score
epi_kmeans_6,0,6958,0.11182539937642634,0:0.99; 12:0.01; 1:0.00,proliferative ductal/tumor epithelial:1.00; intestinal-like/PanIN-like ductal epithelial:0.00,6.480640411376953,0.9981316470250072,2.663038492202759,0.5905432595573441,1.5335116386413574,0.3286864041391204,0.7305291295051575,0.17131359586087958,6.810847759246826,0.998275366484622,0.42528462409973145,0.1069272779534349,0.5324826240539551,0.11784995688416211,0.1035621166229248,0.026156941649899398,1.9980758428573608,0.4532911756251797,3.153184175491333,0.6917217591261857,0.7885702252388,0.1899971256108077,4.763731002807617,0.9104627766599598,0.8750218152999878,0.20192584075883874,0.5337719321250916,0.12992239149180798,4.450761318206787,0.883730957171601,6.381135940551758,0.9820350675481461,4.787254333496094,0.9060074734119,5.166481018066406,0.9471112388617419,0.764851301908493,2.934481754899025
epi_kmeans_6,1,12241,0.19673105975378483,1:1.00; 12:0.00; 0:0.00,intestinal-like/PanIN-like ductal epithelial:1.00; proliferative ductal/tumor epithelial:0.00,6.006742000579834,0.8964136916918553,0.8022180795669556,0.14582141981864227,0.8394121527671814,0.13708030389674047,1.8662209510803223,0.306429213299567,1.64815354347229,0.2860877379299077,1.8588095903396606,0.33183563434359936,5.086339473724365,0.7692182011273588,5.954431533813477,0.8518094926885058,2.677278757095337,0.45984805162976883,2.1558244228363037,0.3758679846417776,2.5324923992156982,0.423658197859652,1.7495006322860718,0.31500694387713424,0.9787878394126892,0.16820521199248428,0.1975177824497223,0.035372927048443754,0.8499509692192078,0.1573400865942325,0.3476836085319519,0.06135119679764725,0.7257434725761414,0.13536475778122703,0.5970988273620605,0.11200065354137734,3.89421483874321,1.2890011817216873
epi_kmeans_6,2,13266,0.2132043328726174,0:0.99; 1:0.01; 12:0.00,proliferative ductal/tumor epithelial:0.99; intestinal-like/PanIN-like ductal epithelial:0.01,6.759626388549805,0.9997738579828132,2.929945707321167,0.6142017186793306,2.100480079650879,0.4125584200211066,1.3073793649673462,0.27898386853610735,6.947166919708252,0.9972862957937585,0.537513792514801,0.12392582541836274,1.2831634283065796,0.2462686567164179,0.09987061470746994,0.022388059701492536,2.019819498062134,0.4369063772048847,3.1256184577941895,0.6532489069802503,0.5424578189849854,0.12422734810794513,5.046719074249268,0.9292929292929293,1.335392713546753,0.2802653399668325,0.6171485185623169,0.13749434644957034,4.145659923553467,0.8175787728026535,6.012765407562256,0.9458012965475652,5.025683403015137,0.9136137494346449,5.303971290588379,0.945650535202774,0.9850918333977461,3.321243017911911
epi_kmeans_6,3,5814,0.09343961942721224,0:1.00; 1:0.00; 12:0.00,proliferative ductal/tumor epithelial:1.00; intestinal-like/PanIN-like ductal epithelial:0.00,6.714420318603516,1.0,3.120255708694458,0.7124183006535948,2.4402248859405518,0.5142758857929136,1.1456011533737183,0.27812177502579977,6.679981708526611,0.9972480220158239,0.7097120881080627,0.18593051255589954,1.021579623222351,0.21585827313381492,0.17076244950294495,0.0455796353629171,1.7794402837753296,0.4382524939800482,3.5671136379241943,0.7987616099071208,0.8974272012710571,0.2303061575507396,4.975752830505371,0.9606123151014792,3.8162806034088135,0.7860337117303061,2.4821856021881104,0.5755073959408324,4.70053243637085,0.9391124871001032,6.6010518074035645,0.9929480564155487,4.570664405822754,0.912108703130375,5.091637134552002,0.9647402820777434,0.9203736111521721,3.346515864133835
epi_kmeans_6,4,12220,0.19639355854842339,1:1.00; 0:0.00; 12:0.00,intestinal-like/PanIN-like ductal epithelial:1.00; proliferative ductal/tumor epithelial:0.00,6.18330717086792,0.9643207855973813,2.221845865249634,0.4309328968903437,1.978412389755249,0.3285597381342062,3.70708966255188,0.6312602291325695,0.9164884686470032,0.1804418985270049,2.2627909183502197,0.4380523731587561,3.9916961193084717,0.6377250409165303,4.579952716827393,0.6961538461538461,2.7252182960510254,0.5208674304418985,4.5905022621154785,0.7973813420621931,4.517627716064453,0.7764320785597382,2.5420479774475098,0.49525368248772506,2.3958580493927,0.444189852700491,0.7776814103126526,0.1579378068739771,1.4932167530059814,0.3016366612111293,0.9098283052444458,0.1746317512274959,0.6838114261627197,0.14189852700490999,0.366725355386734,0.0779050736497545,3.3899145126342773,2.2059590965509415
epi_kmeans_6,5,11723,0.1884060300215358,12:0.67; 0:0.32; 1:0.01,proliferative ductal/tumor epithelial:0.99; intestinal-like/PanIN-like ductal epithelial:0.01,6.141438007354736,0.934743666297023,1.3766990900039673,0.25522477181608805,1.0901076793670654,0.19235690522903692,0.5449573993682861,0.10048622366288493,6.661221981048584,0.9658790412010577,0.1982305645942688,0.03838607864881003,0.5588709712028503,0.09801245414996161,0.0643649771809578,0.012112940373624499,0.8960742950439453,0.16736330290881174,1.6500575542449951,0.3041030452955728,0.49884483218193054,0.09315021752111234,3.1918275356292725,0.5621427962125736,0.7899463176727295,0.1447581677045125,0.3836827278137207,0.0720805254627655,2.7295303344726562,0.49159771389576046,5.909266471862793,0.8888509767124456,3.467824935913086,0.6008700844493731,3.9819657802581787,0.6843811311097842,0.42938520200550556,2.4182465374469757
epi_kmeans_8,0,6592,0.10594323551155539,0:0.99; 12:0.00; 1:0.00,proliferative ductal/tumor epithelial:1.00; intestinal-like/PanIN-like ductal epithelial:0.00,6.484585285186768,0.9989381067961165,2.7457334995269775,0.6212075242718447,1.6710118055343628,0.36225728155339804,0.7128936052322388,0.17263349514563106,6.741123676300049,0.9977245145631068,0.464206725358963,0.12075242718446602,0.545773983001709,0.12333131067961164,0.13703781366348267,0.035800970873786406,1.900503396987915,0.44554004854368934,3.286925792694092,0.7330097087378641,0.8713904619216919,0.2164745145631068,4.7574052810668945,0.9220266990291263,1.4474297761917114,0.32327063106796117,0.9325910210609436,0.22572815533980584,4.576916694641113,0.9088288834951457,6.470411777496338,0.9855885922330098,4.675558567047119,0.904126213592233,5.094393730163574,0.9487257281553398,0.7618804797530174,2.967690646648407
epi_kmeans_8,1,7910,0.12712545401947864,1:0.99; 12:0.01; 0:0.00,intestinal-like/PanIN-like ductal epithelial:0.99; proliferative ductal/tumor epithelial:0.01,5.661024570465088,0.8442477876106195,0.7887647747993469,0.13514538558786346,0.9234464168548584,0.14399494310998737,2.2850100994110107,0.35891276864728194,1.1884691715240479,0.19646017699115045,1.5349225997924805,0.2586599241466498,4.775857448577881,0.7036662452591657,5.587082386016846,0.7912768647281921,1.9385607242584229,0.32123893805309733,2.222200393676758,0.3652338811630847,2.5897891521453857,0.41125158027812897,1.3151271343231201,0.22376738305941846,1.0032498836517334,0.16738305941845766,0.17625513672828674,0.03008849557522124,0.6380921006202698,0.11024020227560051,0.39079320430755615,0.06599241466498104,0.4350616931915283,0.07471554993678887,0.3465108871459961,0.06017699115044248,3.4591057896614075,1.296422615647316
epi_kmeans_8,2,10002,0.16074700266786668,12:0.78; 0:0.21; 1:0.01,proliferative ductal/tumor epithelial:0.99; intestinal-like/PanIN-like ductal epithelial:0.01,6.052008152008057,0.9250149970005999,1.2656376361846924,0.23115376924615078,1.0295915603637695,0.17946410717856429,0.4884372651576996,0.08888222355528894,6.6255340576171875,0.9639072185562887,0.18044455349445343,0.03439312137572485,0.5355470776557922,0.09298140371925614,0.05950115621089935,0.010997800439912017,0.7914251089096069,0.14547090581883623,1.5383641719818115,0.2798440311937612,0.5088268518447876,0.09388122375524895,2.9785122871398926,0.5210957808438312,0.8126966953277588,0.14767046590681865,0.3862208127975464,0.07158568286342731,2.570002317428589,0.45860827834433116,5.910783290863037,0.884623075384923,3.260627031326294,0.5634873025394921,3.81789231300354,0.6537692461507698,0.391729474067688,2.3523001298308372
epi_kmeans_8,3,4339,0.06973417762206294,1:1.00; 0:0.00; 12:0.00,intestinal-like/PanIN-like ductal epithelial:1.00; proliferative ductal/tumor epithelial:0.00,6.0602827072143555,0.9566720442498271,3.0148818492889404,0.5655681032495967,2.520684003829956,0.4021663977875086,4.714371681213379,0.7722977644618576,0.3246399760246277,0.0654528693247292,1.0684303045272827,0.2097257432588154,1.158186912536621,0.21110855035722517,1.6564748287200928,0.2952293155104863,3.101867914199829,0.5766305600368749,5.861479759216309,0.9428439732657294,4.517477512359619,0.769762618114773,2.269622802734375,0.4404240608435123,0.7903420925140381,0.1502650380271952,0.22249965369701385,0.045863102097257434,1.5097852945327759,0.30099101175386034,1.385359764099121,0.2625028808481217,0.9120234847068787,0.18414381193823462,0.1897178739309311,0.039179534454943536,1.7462399899959564,2.6436443775892258
epi_kmeans_8,4,7965,0.12800938574780624,1:1.00; 0:0.00,intestinal-like/PanIN-like ductal epithelial:1.00; proliferative ductal/tumor epithelial:0.00,6.271131992340088,0.9709981167608286,1.6793814897537231,0.3337099811676083,1.562925100326538,0.26804770872567485,2.9936325550079346,0.5270558694287508,1.1537688970565796,0.2246076585059636,2.9841675758361816,0.5702448210922787,5.6379265785217285,0.8857501569365976,6.323410987854004,0.9315756434400502,2.4599039554595947,0.4745762711864407,3.6964361667633057,0.6802259887005649,4.502835273742676,0.7720025109855618,2.6609904766082764,0.5152542372881356,3.4584476947784424,0.6337727558066542,1.1234078407287598,0.2258631512868801,1.4037357568740845,0.28361581920903955,0.6322479248046875,0.122661644695543,0.4796803891658783,0.10094161958568738,0.410550981760025,0.08650345260514752,4.351352274417877,1.8474270105361938
epi_kmeans_8,5,8749,0.14060943074796695,0:0.99; 1:0.01,proliferative ductal/tumor epithelial:0.99; intestinal-like/PanIN-like ductal epithelial:0.01,6.759020805358887,1.0,3.1427130699157715,0.6955080580637787,2.5048561096191406,0.514001600182878,1.3317997455596924,0.30826380157732314,6.77533483505249,0.9971425305749229,0.7122023105621338,0.17842039090181736,1.338512897491455,0.27008801005829236,0.1442532241344452,0.03657560864098754,1.9221962690353394,0.4518230654931992,3.557826042175293,0.7750600068579266,0.7451104521751404,0.1855069150760087,5.097614765167236,0.9631957938050063,3.0502219200134277,0.6313864441650474,1.7914297580718994,0.41113270088010057,4.471549034118652,0.8986169847982627,6.326459884643555,0.9770259458223797,4.722376823425293,0.912332838038633,5.178586006164551,0.9605669219339353,1.0292911753058434,3.4386759400367737
epi_kmeans_8,6,4335,0.06966989167818456,1:1.00; 0:0.00,intestinal-like/PanIN-like ductal epithelial:1.00; proliferative ductal/tumor epithelial:0.00,6.590680122375488,0.9845444059976932,1.014520287513733,0.20599769319492503,0.9033851623535156,0.16239907727797,1.3599684238433838,0.2528258362168397,2.702237606048584,0.49204152249134947,2.2927443981170654,0.4461361014994233,5.431039333343506,0.8542099192618223,6.292717456817627,0.9229527104959631,4.114760875701904,0.7381776239907728,2.3888583183288574,0.46205305651672435,2.3977043628692627,0.45121107266435984,2.5940706729888916,0.49896193771626296,0.5531833171844482,0.10888119953863898,0.14953847229480743,0.030680507497116493,1.4058390855789185,0.28050749711649364,0.3324933648109436,0.06505190311418685,1.4347442388534546,0.2844290657439446,1.1960535049438477,0.2378316032295271,4.532815515995026,1.495027869939804
epi_kmeans_8,7,12330,0.19816142200507858,0:0.99; 1:0.00; 12:0.00,proliferative ductal/tumor epithelial:1.00; intestinal-like/PanIN-like ductal epithelial:0.00,6.721823215484619,0.9991889699918897,2.7007217407226562,0.5576642335766423,1.7938791513442993,0.34833738848337387,1.14471435546875,0.23884833738848338,6.9874773025512695,0.9977291159772912,0.435027539730072,0.09740470397404705,1.0009727478027344,0.19091646390916464,0.06985685229301453,0.01565287915652879,1.9576421976089478,0.41248986212489863,2.8371920585632324,0.5855636658556367,0.507396936416626,0.11257096512570965,4.905153274536133,0.8987023519870235,0.8795472979545593,0.1824006488240065,0.4145874083042145,0.09018653690186537,4.061001777648926,0.7896999188969992,6.041358947753906,0.9444444444444444,5.0493574142456055,0.9048661800486618,5.295168876647949,0.9348742903487429,0.8658748343586922,3.1566981375217438
epi_kmeans_10,0,5027,0.08079135996914275,0:0.99; 12:0.01; 1:0.00,proliferative ductal/tumor epithelial:1.00; intestinal-like/PanIN-like ductal epithelial:0.00,6.439444065093994,0.9982096677939128,2.6448519229888916,0.5959816988263378,1.5159344673156738,0.3294211259200318,0.6302042603492737,0.15158146011537696,6.7414655685424805,0.9974139645912075,0.4277523458003998,0.10980704197334394,0.5394554734230042,0.12114581261189576,0.11190353333950043,0.029043166898746767,1.8989503383636475,0.43922816789337576,3.2081499099731445,0.709966182613885,0.862403154373169,0.21145812611895762,4.718984603881836,0.9114780186990252,1.081430435180664,0.24945295404814005,0.6745603084564209,0.1666998209667794,4.4738054275512695,0.8905908096280087,6.383180618286133,0.9813009747364233,4.647149085998535,0.8965585836482992,5.069918632507324,0.9431072210065645,0.744515422731638,2.88311405479908
epi_kmeans_10,1,7895,0.12688438172993474,1:0.99; 12:0.01; 0:0.00,intestinal-like/PanIN-like ductal epithelial:0.99; proliferative ductal/tumor epithelial:0.01,5.658872127532959,0.8440785307156428,0.7922269701957703,0.1357821405953135,0.9288977384567261,0.14490183660544648,2.2965450286865234,0.360734642178594,1.1825988292694092,0.1954401519949335,1.5351742506027222,0.2586447118429386,4.7781081199646,0.703863204559848,5.582846164703369,0.7907536415452818,1.930798053741455,0.3200759974667511,2.2284417152404785,0.3661811272957568,2.5963728427886963,0.4121595946801773,1.3169277906417847,0.2240658644711843,1.0058832168579102,0.16782773907536416,0.1772778481245041,0.030272324255858137,0.6362139582633972,0.10994300189993667,0.38856127858161926,0.06561114629512349,0.43285658955574036,0.07435085497150094,0.3463881313800812,0.06016466117796074,3.4567316472530365,1.3000671416521072
epi_kmeans_10,2,8592,0.1380862074507409,12:0.88; 0:0.11; 1:0.01,proliferative ductal/tumor epithelial:0.99; intestinal-like/PanIN-like ductal epithelial:0.01,5.954606056213379,0.9128258845437617,1.1806188821792603,0.21310521415270017,0.9647688269615173,0.16689944134078213,0.44961509108543396,0.08088919925512104,6.595175743103027,0.9593808193668529,0.15330328047275543,0.02863128491620112,0.4859878718852997,0.08391527001862198,0.05459238961338997,0.00989292364990689,0.7619090676307678,0.138268156424581,1.4420796632766724,0.2590782122905028,0.514832079410553,0.0939245810055866,2.808708429336548,0.48777932960893855,0.6955211758613586,0.12476722532588454,0.3341238498687744,0.06098696461824953,2.461716413497925,0.43552141527001864,5.880669116973877,0.8787243947858473,3.1510961055755615,0.5401536312849162,3.7181570529937744,0.6327979515828678,0.3639481524005532,2.2975446358323097
epi_kmeans_10,3,4335,0.06966989167818456,1:1.00; 0:0.00; 12:0.00,intestinal-like/PanIN-like ductal epithelial:1.00; proliferative ductal/tumor epithelial:0.00,6.062676906585693,0.9570934256055363,3.0187909603118896,0.566320645905421,2.5214788913726807,0.4023068050749712,4.714722633361816,0.772318339100346,0.32243284583091736,0.06505190311418685,1.0705828666687012,0.21014994232987314,1.1577600240707397,0.21107266435986158,1.6581755876541138,0.2955017301038062,3.104501962661743,0.5771626297577854,5.862939357757568,0.9430219146482123,4.517307281494141,0.7697808535178777,2.2706680297851562,0.4405997693194925,0.7897704243659973,0.15017301038062283,0.22270497679710388,0.04590542099192618,1.50874662399292,0.3008073817762399,1.3877654075622559,0.2629757785467128,0.9129433035850525,0.1843137254901961,0.1886851042509079,0.038985005767012686,1.7477551102638245,2.644356332719326
epi_kmeans_10,4,7978,0.12821831506541095,1:1.00; 0:0.00; 12:0.00,intestinal-like/PanIN-like ductal epithelial:1.00; proliferative ductal/tumor epithelial:0.00,6.27255916595459,0.971170719478566,1.6783883571624756,0.3335422411631988,1.566720962524414,0.2686136876410128,2.990002393722534,0.5264477312609677,1.1585969924926758,0.22562045625470042,2.985539674758911,0.5705690649285535,5.644073486328125,0.8865630483830534,6.321988105773926,0.9313111055402357,2.4621474742889404,0.47505640511406366,3.6977410316467285,0.6806217097016796,4.495607852935791,0.7711205815993983,2.664844274520874,0.5160441213336676,3.4618051052093506,0.6346202055653046,1.1238596439361572,0.22599649034845826,1.4083553552627563,0.2844071195788418,0.6295167207717896,0.12208573577337678,0.48365873098373413,0.10177989471045375,0.414050430059433,0.0872399097518175,4.353437185287476,1.848427176475525
epi_kmeans_10,5,5780,0.09289318890424608,0:1.00; 1:0.00,proliferative ductal/tumor epithelial:1.00; intestinal-like/PanIN-like ductal epithelial:0.00,6.758225917816162,1.0,3.378159523010254,0.7285467128027682,2.5054526329040527,0.5096885813148789,1.6317552328109741,0.363840830449827,6.961179256439209,0.9993079584775086,0.7661911845207214,0.18737024221453288,1.7307201623916626,0.34325259515570933,0.10169602930545807,0.025778546712802768,2.6273372173309326,0.5916955017301038,3.6243393421173096,0.7775086505190312,0.6247158646583557,0.15397923875432526,5.313905715942383,0.9747404844290657,1.2069928646087646,0.2745674740484429,0.5303471088409424,0.12923875432525953,4.188869953155518,0.8529411764705882,5.777379512786865,0.9487889273356401,5.226466655731201,0.9565743944636678,5.427316188812256,0.9742214532871972,1.3064861483871937,3.6191366612911224
epi_kmeans_10,6,4329,0.069573462762367,1:1.00; 0:0.00,intestinal-like/PanIN-like ductal epithelial:1.00; proliferative ductal/tumor epithelial:0.00,6.589132785797119,0.9840609840609841,1.0015593767166138,0.20328020328020327,0.8825532793998718,0.15892815892815892,1.3526819944381714,0.2515592515592516,2.6960127353668213,0.49087549087549087,2.2846174240112305,0.4444444444444444,5.414661407470703,0.8519288519288519,6.311221599578857,0.9256179256179257,4.1169514656066895,0.7375837375837376,2.3739421367645264,0.458997458997459,2.39841628074646,0.4509124509124509,2.582608699798584,0.4964194964194964,0.536290168762207,0.10533610533610534,0.1476961374282837,0.03026103026103026,1.3959097862243652,0.27835527835527835,0.32959994673728943,0.06444906444906445,1.423095464706421,0.2818202818202818,1.1826972961425781,0.23515823515823517,4.53186297416687,1.4832018464803696
epi_kmeans_10,7,7888,0.1267718813281476,0:0.97; 12:0.03; 1:0.00,proliferative ductal/tumor epithelial:1.00; intestinal-like/PanIN-like ductal epithelial:0.00,6.7408294677734375,0.9992393509127789,2.2921249866485596,0.4606997971602434,1.639330267906189,0.3089503042596349,1.0248863697052002,0.20626267748478702,6.945070266723633,0.9975912778904665,0.40006691217422485,0.08519269776876268,0.9969349503517151,0.18445740365111563,0.060808077454566956,0.013057809330628804,1.4665948152542114,0.29918864097363085,2.600898504257202,0.5196501014198783,0.45123201608657837,0.09558823529411764,4.7201080322265625,0.8594066937119675,1.4160451889038086,0.2804259634888438,0.6408133506774902,0.1329868154158215,3.694248676300049,0.709051724137931,6.035163879394531,0.9334432048681541,4.646639823913574,0.8379817444219066,5.0296950340271,0.8889452332657201,0.7311011888086796,2.9753529727458954
epi_kmeans_10,8,5311,0.08535566198450709,0:0.98; 1:0.01; 12:0.01,proliferative ductal/tumor epithelial:0.99; intestinal-like/PanIN-like ductal epithelial:0.01,6.655600547790527,0.9990585577104123,2.8873016834259033,0.6109960459423838,1.9177565574645996,0.38109583882508,0.9867368936538696,0.215778572773489,6.914942264556885,0.9937864808887216,0.38119813799858093,0.08943701751082658,0.6617146730422974,0.1319902090001883,0.13058947026729584,0.029749576350969687,2.014608383178711,0.4362643569949162,2.9377665519714355,0.6247411033703634,0.6413569450378418,0.14648842025983808,4.756831645965576,0.8949350404820184,0.7477187514305115,0.16550555450950857,0.41786935925483704,0.0971568442854453,4.582191467285156,0.8864620598757296,6.419522762298584,0.9719450197702881,5.115416526794434,0.9241197514592355,5.332485198974609,0.9484089625305969,0.7970276661217213,3.1766843497753143
