,sample_id,Tier_A,Tier_B,leiden_annotation,x_centroid,y_centroid,epi_kmeans_6,epi_kmeans_8,epi_kmeans_10,epi_kmeans_12,epi_kmeans_14
mcahochb-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10447.369140625,3078.307861328125,5,2,2,2,2
mcahodfn-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10437.818359375,3082.26416015625,5,2,2,2,2
mcaibldi-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10425.1259765625,3082.631591796875,2,7,7,7,12
mcaigfpo-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10430.7890625,3074.878173828125,5,2,2,2,2
mcainfle-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10434.2861328125,3032.69873046875,2,7,7,7,12
mcajefac-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10441.94140625,3043.723388671875,0,0,5,5,5
mcajmbam-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10445.19140625,3090.56884765625,5,2,2,2,2
mcakcden-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10429.8203125,3091.8173828125,2,7,5,5,5
mcakmmbj-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10428.412109375,3099.090087890625,5,2,2,7,7
mcaljdah-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10463.759765625,3059.08837890625,2,7,8,7,7
mcaljfhi-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10458.6728515625,3044.4609375,2,7,7,7,7
mcalljcf-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10455.16015625,3035.612060546875,2,7,5,5,5
mcalpmph-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10449.232421875,3055.993408203125,2,7,7,7,7
mcanhdkp-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10458.0166015625,3068.451904296875,2,7,7,11,12
mcanhlmi-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10470.4599609375,3084.953369140625,2,5,5,5,5
mcanhmcm-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10464.9345703125,3076.88427734375,2,7,5,5,5
mcanjgcc-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10469.6845703125,3093.655517578125,2,7,5,5,5
mcaonfmm-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10472.9873046875,3115.828125,5,7,7,7,12
mcapalhd-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10474.6796875,3100.981201171875,2,7,5,5,5
mcbaadpe-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10407.7841796875,3053.614501953125,3,0,0,0,0
mcbaclap-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10417.65625,3072.826416015625,0,0,5,5,5
mcbacpan-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10406.576171875,3068.816650390625,3,5,9,9,9
mcbaideh-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10417.5947265625,3061.204833984375,2,7,7,7,7
mcbbgcik-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10403.865234375,3036.445068359375,0,7,8,8,8
mcbbgdmd-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10415.9853515625,3039.5810546875,2,7,7,7,12
mcbbgjji-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10391.3662109375,3037.505859375,5,2,2,2,2
mcbckleo-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10399.8623046875,3122.3876953125,2,7,5,5,12
mcbddeam-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10412.8779296875,3115.002685546875,2,7,8,7,7
mcbdlhoh-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10401.203125,3106.874267578125,0,0,0,0,0
mcbeffdh-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10364.88671875,3126.6640625,2,7,7,7,7
mcbehbca-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10370.833984375,3120.0712890625,2,7,5,5,5
mcbekihe-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10386.1162109375,3109.959716796875,0,0,5,5,5
mcbelihh-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10382.3603515625,3120.27294921875,3,5,5,5,5
mcbelmmg-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10346.3154296875,3162.75537109375,2,7,7,7,12
mcbemcjk-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10354.564453125,3162.1689453125,2,7,7,7,7
mcbenfdn-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10353.556640625,3150.626953125,2,5,5,5,5
mcbeokaj-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10352.9833984375,3139.075927734375,2,5,8,5,8
mcbepphl-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10363.091796875,3162.842529296875,5,2,7,7,12
mcbfohef-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10335.85546875,3147.387939453125,3,0,0,9,9
mcbgfock-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10343.2060546875,3155.067626953125,2,7,7,11,11
mcbgnnnh-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10334.0166015625,3162.984130859375,3,5,9,9,9
mcbhbbhm-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10367.9892578125,3137.452392578125,2,5,5,5,5
mcbhgfkg-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10369.390625,3147.447021484375,5,2,2,2,2
mcbhkmeo-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10378.9052734375,3131.819091796875,2,7,5,5,5
mcbijdpi-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10396.4287109375,3145.168212890625,5,2,7,2,12
mcbijlpo-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10388.1240234375,3150.8798828125,2,7,5,5,5
mcbilgep-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10381.138671875,3142.7392578125,2,7,5,5,5
mcbilind-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10391.4423828125,3133.3671875,2,7,5,8,12
mcbilobj-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10372.4462890625,3130.7216796875,5,2,7,2,2
mcbnpilf-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10485.9560546875,3102.818359375,0,0,0,5,5
mcbpjnhd-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10442.1484375,3162.97021484375,0,7,5,7,7
mccadmgj-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10457.6796875,3143.0322265625,5,2,2,2,12
mccamdpi-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10455.732421875,3152.640869140625,5,7,7,7,7
mccbbemk-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10438.9619140625,3145.809814453125,5,7,8,7,7
mccbdpoj-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10453.30078125,3174.830810546875,0,7,7,7,7
mccbefek-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10445.7802734375,3182.715087890625,5,2,2,2,2
mccbegok-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10464.9814453125,3185.987060546875,2,7,8,8,8
mccchkik-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10458.0751953125,3182.155029296875,0,7,8,7,7
mccdlkii-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10578.6142578125,3146.844482421875,2,7,7,7,7
mcceainm-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10580.8671875,3120.24365234375,2,7,7,11,7
mccgnkjc-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10569.0615234375,3124.0927734375,2,7,7,11,11
mcchbpoj-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10560.0263671875,3130.09716796875,3,0,9,9,9
mccignml-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10472.7236328125,3146.841552734375,5,2,2,7,7
mcciieln-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10483.681640625,3161.65966796875,5,2,2,2,2
mccjgaok-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10479.0673828125,3129.86376953125,5,2,2,2,12
mcclapki-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10524.318359375,3169.862548828125,5,2,2,2,2
mccldpcl-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10487.11328125,3142.5263671875,0,7,8,8,8
mcclelcl-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,10503.9248046875,3140.91650390625,5,2,2,2,2
mcclgklj-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10502.412109375,3130.025634765625,0,7,0,7,7
mcclkbhj-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10490.6083984375,3132.3916015625,2,7,7,7,7
mcclkpec-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10485.0439453125,3121.051025390625,5,2,7,7,7
mccmfpik-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,10496.7666015625,3119.516845703125,5,2,7,7,7
mccncbdl-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9034.4345703125,2709.05126953125,0,7,7,7,7
mccnfceg-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9046.06640625,2711.04296875,2,7,7,7,7
mccnfhbj-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9058.8623046875,2711.066162109375,3,5,9,9,9
mccnjpnl-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9049.8310546875,2700.744873046875,2,5,5,5,5
mcdaedbi-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9042.7265625,2721.200439453125,2,5,5,5,5
mcdaipgp-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9077.24609375,2711.966796875,5,2,2,2,2
mcdbclnn-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9069.6923828125,2721.956787109375,3,5,9,9,9
mcdbgigi-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9068.2705078125,2711.273681640625,5,2,7,11,11
mcdbjfjk-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9047.453125,2997.774169921875,3,5,9,9,9
mcdblgdk-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9029.3173828125,2979.305908203125,5,2,2,2,2
mcddemig-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9030.328125,3010.1787109375,3,5,9,9,9
mcddgeod-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9054.435546875,3024.93359375,5,2,2,2,2
mcddikbg-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9026.6220703125,3022.637451171875,2,5,5,11,5
mcdeddeg-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9044.39453125,2988.016845703125,5,2,2,2,2
mcdeefif-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9052.306640625,2983.16455078125,5,7,7,7,12
mcdenkgp-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9061.4677734375,2995.94970703125,2,5,7,11,11
mcdfbkkf-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9072.0615234375,2994.258544921875,3,5,5,9,9
mcdfcehi-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9061.939453125,2986.861083984375,5,7,7,11,11
mcdffamd-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9070.611328125,2979.190185546875,2,5,7,11,11
mcdnomng-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9022.533203125,3460.24365234375,0,0,0,0,0
mcdoenfo-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9033.263671875,3516.785888671875,2,7,7,7,7
mcdojolm-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9030.1552734375,3468.544921875,5,7,7,7,7
mcdolleh-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9033.1962890625,3685.990966796875,5,2,2,2,2
mcdomfai-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9041.9716796875,3694.0947265625,2,7,7,11,11
mcdpbdme-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9029.5771484375,3673.322509765625,2,5,9,9,11
mcdpbobe-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9045.3271484375,3665.38720703125,3,5,9,9,9
mcdpmlhh-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9030.5068359375,3617.4892578125,2,7,8,7,7
mcdpnppb-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9049.92578125,3612.535888671875,5,2,2,2,2
mceakhdc-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9051.0654296875,3621.259521484375,5,2,2,2,2
mceakneo-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9066.986328125,3654.7900390625,2,7,7,11,11
mcebmoba-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9068.755859375,3688.7685546875,5,2,2,2,2
mcebopcf-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9066.56640625,3681.064208984375,2,7,5,5,5
mcechlob-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9069.1103515625,3669.38330078125,2,7,7,11,11
