sample_id,method,subcluster,n_cells,fraction_of_epithelial_candidates,parent_annotation_cluster_key,parent_annotation_cluster_mix,parent_leiden_mix,parent_Tier_A_mix,parent_Tier_B_mix,parent_Tier_A_major,parent_Tier_B_major,ductal_epithelial_score_z,duodenum_epithelial_score_z,acinar_epithelial_score_z,islet_endocrine_score_z,panin_mucin_remodeling_score_z,intestinal_like_ductal_remodeling_score_z,proliferation_score_z,EPCAM_mean,EPCAM_frac_pos,SOX9_mean,SOX9_frac_pos,MUC5AC_mean,MUC5AC_frac_pos,TFF3_mean,TFF3_frac_pos,CEACAM6_mean,CEACAM6_frac_pos,CDX2_mean,CDX2_frac_pos,REG4_mean,REG4_frac_pos,DMBT1_mean,DMBT1_frac_pos,TMPRSS2_mean,TMPRSS2_frac_pos,ANPEP_mean,ANPEP_frac_pos,MKI67_mean,MKI67_frac_pos,UBE2C_mean,UBE2C_frac_pos,duodenum_panel_score,ductal_tumor_score,duodenum_minus_ductal_score,refined_Tier_A,refined_Tier_B,refinement_action
pdac_io_v1,epithelial_pca_kmeans_19,0,1229,0.024911320563494477,xenium_graphclust,5:0.94; 1:0.06,5:0.94; 1:0.06,pancreatic ductal epithelium:1.00,proliferative ductal/tumor epithelial:1.00,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0.7197307463072439,-0.16965977005087937,-0.04919330091181085,,0.45540982007961034,-0.30007848737445214,-0.02255220769082092,5.355484962463379,0.8689991863303499,0.8494011759757996,0.16029292107404394,1.0495638847351074,0.18958502847843775,0.24108663201332092,0.045565500406834825,6.301242828369141,0.9568755085435313,0.14059355854988098,0.026851098454027666,0.35572659969329834,0.06346623270951994,0.15624596178531647,0.030105777054515868,0.5427773594856262,0.10170870626525631,0.6554810404777527,0.12205044751830757,0.5670514702796936,0.10659072416598861,0.3210112154483795,0.061025223759153785,0.2988358698785305,2.110323630273342,-1.8114877603948116,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,kept
pdac_io_v1,epithelial_pca_kmeans_19,1,1003,0.020330394243437723,xenium_graphclust,1:0.73; 5:0.27,1:0.73; 5:0.27,pancreatic ductal epithelium:1.00,proliferative ductal/tumor epithelial:1.00,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,1.4977722375496325,0.06021455521058025,0.40165688064060207,,0.6883414813644886,0.09917169742274887,0.2804805493183331,6.412352561950684,0.9950149551345963,2.7467527389526367,0.6151545363908275,1.3743031024932861,0.3040877367896311,0.6336062550544739,0.15154536390827517,6.6983113288879395,0.9970089730807578,0.4471316933631897,0.11465603190428714,0.7480354309082031,0.16350947158524426,0.07848553359508514,0.019940179461615155,1.985164999961853,0.4556331006979063,1.514366865158081,0.3469591226321037,1.1431143283843994,0.259222333000997,0.643764853477478,0.1585244267198405,0.8147044144570827,2.863243356347084,-2.0485389418900013,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,kept
pdac_io_v1,epithelial_pca_kmeans_19,2,1325,0.026857200770244248,xenium_graphclust,5:0.66; 1:0.34,5:0.66; 1:0.34,pancreatic ductal epithelium:1.00,proliferative ductal/tumor epithelial:1.00,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0.9629932523797171,-0.1532455080352995,0.030345738334855852,,0.45586403443605533,-0.24007907467312947,-0.008589438551535822,6.076274871826172,0.96,1.5365639925003052,0.3041509433962264,0.7436181902885437,0.14566037735849058,0.3432055711746216,0.06943396226415094,6.610457897186279,0.9886792452830189,0.16248202323913574,0.033962264150943396,0.3565654456615448,0.06716981132075471,0.05280522629618645,0.010566037735849057,0.8904591798782349,0.17735849056603772,0.8070057034492493,0.16075471698113208,0.6800412535667419,0.13433962264150942,0.3507401943206787,0.07169811320754717,0.36557796876877546,2.3084614127874374,-1.942883444018662,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,kept
pdac_io_v1,epithelial_pca_kmeans_19,3,2366,0.04795783926218709,xenium_graphclust,1:1.00; 5:0.00,1:1.00; 5:0.00,pancreatic ductal epithelium:1.00,proliferative ductal/tumor epithelial:1.00,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,1.9082119391561692,0.4329869432631343,1.181461783199096,,1.2344630773071705,0.5448538978959576,2.7008788869391847,6.755868911743164,1.0,3.1413326263427734,0.7218934911242604,2.6512551307678223,0.5566356720202874,1.2518590688705444,0.3072696534234996,6.6799092292785645,0.9987320371935756,0.9442248344421387,0.2459847844463229,2.119074821472168,0.42772612003381233,0.18072421848773956,0.04945054945054945,2.1381618976593018,0.5236686390532544,2.99992299079895,0.6491969568892646,4.265077590942383,0.8693998309382924,2.592482328414917,0.6060862214708369,1.345546443015337,3.431089013814926,-2.085542570799589,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,kept
pdac_io_v1,epithelial_pca_kmeans_19,4,1274,0.025823451910408433,xenium_graphclust,5:0.94; 1:0.06,5:0.94; 1:0.06,pancreatic ductal epithelium:1.00,proliferative ductal/tumor epithelial:1.00,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0.4961751334312208,-0.19798686734554086,-0.12226715308444912,,0.25301276593808686,-0.37557586333453674,-0.13345019587966436,4.839030742645264,0.7551020408163265,0.5564018487930298,0.09497645211930926,0.4825780689716339,0.08084772370486656,0.18630023300647736,0.03218210361067504,5.8984479904174805,0.8767660910518054,0.1028192788362503,0.01805337519623234,0.2766731083393097,0.04631083202511774,0.018299564719200134,0.0031397174254317113,0.38791459798812866,0.06671899529042387,0.5162727236747742,0.08791208791208792,0.4601759612560272,0.07927786499215071,0.18538613617420197,0.03139717425431711,0.1964266374707222,1.7809320352971554,-1.5845053978264332,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,kept
pdac_io_v1,epithelial_pca_kmeans_19,5,3841,0.07785547785547786,xenium_graphclust,1:1.00; 5:0.00,1:1.00; 5:0.00,pancreatic ductal epithelium:1.00,proliferative ductal/tumor epithelial:1.00,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,1.9292944185056982,0.2519419344563511,0.6793628763600806,,1.1504029736813086,0.3466948563055903,0.39776501955101196,6.7613325119018555,1.0,3.3030765056610107,0.7086696172871648,2.623295545578003,0.5219994793022651,1.5147584676742554,0.3335068992449883,6.894165992736816,0.9986982556625879,0.7028007507324219,0.16818536839364748,1.208345651626587,0.24420723769851602,0.1266057938337326,0.03098151523040875,1.8625555038452148,0.4254100494662848,2.0434067249298096,0.43348086435824,1.5675594806671143,0.3491278312939339,0.5854910612106323,0.13954699297058057,0.9750769250094891,3.5838241279125214,-2.6087472029030323,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,kept
pdac_io_v1,epithelial_pca_kmeans_19,6,1045,0.021181716833890748,xenium_graphclust,5:0.85; 1:0.15,5:0.85; 1:0.15,pancreatic ductal epithelium:1.00,proliferative ductal/tumor epithelial:1.00,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0.6642964622939413,-0.15663019680425108,-0.07048288630159447,,0.3860827565505667,-0.274774041296932,-0.09935189658312202,5.3053717613220215,0.830622009569378,0.8574913144111633,0.15598086124401914,0.4826940596103668,0.08421052631578947,0.30064016580581665,0.05550239234449761,6.500375270843506,0.9511961722488038,0.15796853601932526,0.028708133971291867,0.33726465702056885,0.06028708133971292,0.057617682963609695,0.010526315789473684,0.7385997176170349,0.13492822966507176,0.6149236559867859,0.11004784688995216,0.46146610379219055,0.08229665071770335,0.21780182421207428,0.03923444976076555,0.3228626484051347,2.035300202667713,-1.7124375542625785,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,kept
pdac_io_v1,epithelial_pca_kmeans_19,7,4378,0.08874024526198439,xenium_graphclust,1:1.00; 5:0.00,1:1.00; 5:0.00,pancreatic ductal epithelium:1.00,proliferative ductal/tumor epithelial:1.00,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,1.8307691006394717,0.12492418991526995,0.5667344109196504,,1.1095190564597461,0.4906286056271742,-0.12349760803276401,6.737078666687012,0.9997715851987209,3.02976655960083,0.645043398812243,2.2390990257263184,0.4470077661032435,1.6318169832229614,0.3497030607583371,7.106113910675049,0.9997715851987209,0.5334221720695496,0.1258565555047967,1.055824875831604,0.21516674280493375,0.08352216333150864,0.019415258108725447,2.9958908557891846,0.6434444952032892,1.8288453817367554,0.38853357697578805,0.4600723087787628,0.1057560529922339,0.2562742233276367,0.06007309273640932,1.1671650167554617,3.5016991198062897,-2.334534103050828,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,kept
pdac_io_v1,epithelial_pca_kmeans_19,8,1700,0.034458295327860544,xenium_graphclust,1:0.59; 5:0.41,1:0.59; 5:0.41,pancreatic ductal epithelium:1.00,proliferative ductal/tumor epithelial:1.00,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,1.464709089416514,0.0010340225230788497,0.18799051836557437,,0.6598929186532969,-0.01979566664573836,0.5601374303184865,6.359921455383301,0.9970588235294118,2.499124050140381,0.5664705882352942,1.5080405473709106,0.32235294117647056,0.6236070990562439,0.14705882352941177,6.630527973175049,0.9970588235294118,0.3682142496109009,0.09294117647058824,0.46089786291122437,0.10294117647058823,0.13515570759773254,0.03411764705882353,1.5727193355560303,0.36941176470588233,1.1073247194290161,0.26,1.5030583143234253,0.3341176470588235,0.908443808555603,0.21823529411764706,0.634246788918972,2.815324917435646,-2.181078128516674,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,kept
pdac_io_v1,epithelial_pca_kmeans_19,9,2590,0.05249822641126989,xenium_graphclust,1:1.00; 5:0.00,1:1.00; 5:0.00,pancreatic ductal epithelium:1.00,proliferative ductal/tumor epithelial:1.00,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,1.9291229172635305,0.2456233442513731,0.3783159254423318,,0.9361712205882093,0.30845267842534324,0.430726497135042,6.607589244842529,1.0,3.309823751449585,0.7586872586872587,2.3210878372192383,0.511969111969112,1.0398471355438232,0.26216216216216215,6.893320083618164,0.9988416988416988,0.6943748593330383,0.18803088803088802,0.5725368857383728,0.14054054054054055,0.22621388733386993,0.061003861003861,2.646846055984497,0.6316602316602317,1.469901442527771,0.36177606177606175,1.2710661888122559,0.3162162162162162,0.8720285296440125,0.2305019305019305,1.0349929220974445,3.3910197019577026,-2.356026779860258,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,kept
