fov,label,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,area,eccentricity,euler_number,alignment_score
fov0,1,33.56983240223464,18496.301675977655,15.447076926236019,14.816909458946338,1.066776655372705,179,0.28271232778946725,1,
fov0,2,442.80530635617487,11099.31551822867,253.0319238172323,140.52575827466336,-1.168216089159083,5239,0.8316049029714574,1,
fov0,3,437.63713080168776,11084.286919831224,31.965879578531382,9.865292235944253,-0.5644508494442219,237,0.9511855938202842,1,0.499065616484269
fov0,4,471.7003367003367,11058.114478114478,38.554083140340325,11.945591766794806,0.6030504017807066,297,0.9507887570040688,1,0.9559789582074756
fov0,5,502.8333333333333,11274.88596491228,22.701891964892884,12.876185543618801,1.324099231700452,228,0.8235900246557417,1,
fov0,6,923.4513967793755,11065.301375230185,1316.6965095753285,439.7057417046762,-0.6526508846653513,25523,0.9425921509376249,1,0.3895435070966067
fov0,7,577.0649038461538,11383.0625,38.78443944942791,16.755677875308884,-0.5065181903413067,416,0.9018637243262616,1,0.5569453000752911
fov0,8,578.6746987951807,11287.37951807229,30.858107655744284,19.443368398779175,-1.2133592291923307,332,0.7765225508735076,1,
fov0,9,580.8920863309353,11221.187050359713,17.988077592931955,10.726128837229558,0.21391916227579336,139,0.8027683596513913,1,
fov0,10,579.1787709497206,11570.86592178771,16.696514117405197,13.668973913096663,-0.7055760101847465,179,0.5742609475915204,1,
fov0,11,675.5901852453688,11482.82791680208,312.0253577689917,79.3950305313715,1.0274995962146531,6154,0.967085780469532,1,0.5711037435781139
fov0,12,651.3885218047951,11241.605814612045,264.2977813933649,103.9014581018823,-1.502238582227651,5297,0.9194860198677236,1,0.5679481857505562
fov0,13,654.6725571725572,13470.102910602911,100.92597134243563,16.011591130633867,1.4933738770775153,962,0.9873353864679869,1,1.1434597302285776
fov0,14,672.6316254416961,13351.565371024735,130.31772138422568,22.124263098516906,-1.448045196749364,1132,0.985483416740602,1,1.1136155374821062
fov0,15,680.7412008281574,13542.60248447205,50.19047984516396,15.423861817203527,0.7898783030767658,483,0.9516105828068668,1,0.6154295908179969
fov0,16,717.9315332690453,11439.961427193828,121.67140627134395,22.08035164871878,0.840908410817454,1037,0.9833955080999845,1,0.42308136223594345
fov0,17,772.187602852441,13629.712013165112,217.5675007349251,58.02435730090829,0.18522421240661494,1823,0.9637807346944467,1,0.44798710571955874
fov0,18,687.3350515463917,11282.9793814433,22.968455329305815,11.161776269826463,-0.6990804393488027,194,0.8739804289174418,1,0.3278188805993308
fov0,19,696.875,13371.4921875,15.305465446082481,10.942657397372688,-0.5521670882631713,128,0.6991745902537303,1,
