cell_id,dapi_n_pixels,dapi_area_um2,dapi_total_intensity,dapi_mean,dapi_std,dapi_min,dapi_p10,dapi_p50,dapi_p90,dapi_max,dapi_iqr,dapi_nonzero_fraction,dapi_intensity_centroid_x,dapi_intensity_centroid_y,dapi_centroid_shift_um,dapi_polarity_score,dapi_inertia,dapi_entropy,dapi_lacunarity,xenium_dapi_image_kind,xenium_dapi_image_path,xenium_pixel_size_um
gllhddkk-1,595,26.867968749999996,1678496.0,2821.001680672269,669.1775976077147,1192.0,1836.4,2893.0,3644.8,4040.0,1027.0,1.0,4556.654187841376,885.149133487658,0.605884884972257,0.10358995435543818,186530640.89006525,5.405053173521581,0.5843844642789054,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
gmhpgcda-1,411,18.55921875,502236.0,1221.985401459854,248.02555550972846,666.0,848.0,1250.0,1541.0,1768.0,353.0,1.0,4257.950864807581,1470.346484620776,0.09526988604191525,0.019598405586364307,30315749.103614636,5.803894044299493,0.23635750614488396,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
gncmhnff-1,142,6.412187499999999,115569.0,813.8661971830986,159.12804786690793,507.0,617.0,814.0,1027.9,1154.0,234.0,1.0,4290.134849202641,1163.4649136013984,0.32723971979490113,0.11452698986468102,2591816.8961226624,4.6147604581539285,0.11906681339468757,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
gojgelhl-1,433,19.55265625,618405.0,1428.1870669745958,301.6597728992444,860.0,1040.2,1394.0,1864.2,2209.0,453.0,1.0,4511.4417321577275,1082.3317911401102,0.40467244000067026,0.0811046372357171,41439721.42089084,6.151534520097951,0.21927377020279276,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
hdndbmoi-1,518,23.390937499999996,1331024.0,2569.5444015444014,334.21390648384175,1284.0,2138.8,2584.5,2969.6,3344.0,428.25,1.0,1522.4692659091797,2013.0328103869651,0.5606651774286443,0.10273648660721278,109052972.1787,6.254999987796318,0.18845365388558213,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
hefjdacp-1,420,18.965625,790861.0,1883.002380952381,344.1812264795942,1059.0,1440.6,1885.0,2349.1000000000004,2920.0,480.5,1.0,1419.8263665486097,1937.5741689279155,0.3847095719250738,0.07828784763423499,51915660.141759425,5.839251261700058,0.2260671971570829,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
hhgjmame-1,225,10.160156249999998,214443.0,953.08,155.0975687179597,523.0,737.4,966.0,1149.3999999999999,1284.0,234.0,1.0,4632.739114648181,1761.612429934761,0.434887715244415,0.12091269107395529,7774038.800007461,4.838803430887581,0.25281991704826046,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
hkhgodbf-1,399,18.01734375,691071.0,1732.0075187969924,148.1824298792584,989.0,1534.4,1780.0,1864.0,1972.0,146.0,1.0,2338.6125175452307,810.447348318769,0.3458627768851261,0.0722110038608803,45781195.48692392,5.321043243211492,0.21878095207567136,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
homahjdc-1,402,18.1528125,805010.0,2002.5124378109454,309.4644243605448,964.0,1619.1,1994.0,2419.9,2874.0,316.0,1.0,5377.040371920845,808.0051175761791,0.6212028396468184,0.12921306017233644,52398643.44538826,5.758529113846379,0.21667761804335556,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
hpafdblo-1,159,7.179843749999999,180915.0,1137.8301886792453,171.27844142637647,729.0,894.6,1178.0,1338.0,1445.0,268.0,1.0,5269.92157297626,803.0149644169913,0.3415377712056822,0.11296039026001498,4694154.634961169,4.314605662419396,0.21286191457455989,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
iamngajj-1,387,17.475468749999997,621469.0,1605.8630490956073,383.3221155810677,818.0,1128.8,1594.0,2169.0,2503.0,594.5,1.0,5716.93616714993,692.6328032251006,0.5329390671617792,0.11298169377260983,36973879.36306075,5.550007080265904,0.3056549967781409,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
iddofjkb-1,542,24.474687499999998,1382980.0,2551.6236162361624,422.3107345193156,1194.0,2016.7,2571.5,3054.9,3738.0,515.0,1.0,5130.144271256634,485.4258314834632,0.553301500117528,0.09911701416015889,140504624.39020592,5.7625542939527135,0.36185109589127257,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
jcdplhfa-1,659,29.757968749999996,1305279.0,1980.6965098634294,365.3344971990205,998.0,1464.6,2024.0,2429.4,2747.0,555.5,1.0,1898.3259169591329,1301.1340271409408,0.32841032068664966,0.05335315373175402,129883006.4778534,6.213606197231545,0.2901049203724813,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
jcjjdgil-1,541,24.429531249999997,1248251.0,2307.3031423290204,413.3117102650873,1037.0,1702.0,2372.0,2759.0,3185.0,475.0,1.0,1844.9581707425027,1202.8434859655629,0.3669248274188496,0.06579069472066905,108084974.6845979,6.225970369162862,0.25070160419517434,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
jdnfopcm-1,327,14.766093749999998,680939.0,2082.382262996942,372.851944516098,1070.0,1543.4,2144.0,2520.8,2876.0,530.0,1.0,1920.3536291246353,1144.6898199031043,0.3890391257211849,0.08972333555574974,33781184.47074114,5.4346424305229935,0.25472713478685377,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
jfeegjhe-1,538,24.2940625,1526481.0,2837.325278810409,471.0509764839508,1363.0,2163.7,2893.0,3408.1,3934.0,558.25,1.0,2108.4661503402267,1026.137248310002,0.5936442929320883,0.10673851723568233,127186592.94457906,6.079581937622821,0.2574635728840107,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
jhlmapfa-1,440,19.86875,1094403.0,2487.2795454545453,456.8290624608775,1215.0,1820.9,2567.5,3019.4000000000005,3622.0,562.25,1.0,2179.6026773386952,889.970712479772,0.4585681787720357,0.091172441034955,83414566.23325959,5.207273581009206,0.4558018347546281,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
jlgcaimo-1,712,32.15125,1680539.0,2360.307584269663,348.62563152142843,1197.0,1914.5,2373.5,2801.7,3465.0,454.25,1.0,5643.388005730602,894.7918571214353,0.735063844793486,0.11488704822845242,210551345.1115529,5.333291435166642,0.5472323321318758,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
jndleckn-1,119,5.3735937499999995,197426.0,1659.0420168067226,231.84761711589584,1182.0,1325.0,1695.0,1940.2,2123.0,350.0,1.0,5478.83434862936,1174.13056961849,0.1717659006174535,0.06566734784289512,3880504.78316939,4.023884560723198,0.19696503277151878,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
jogbkhon-1,91,4.109218749999999,90918.0,999.0989010989011,196.29172363607995,686.0,766.0,942.0,1278.0,1409.0,315.5,1.0,5491.393507611254,1604.5756360126707,0.19249026157606522,0.08415386613504501,1238709.7644910798,3.5736381188359156,0.2544662673332314,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
johbaiga-1,462,20.862187499999997,1119950.0,2424.134199134199,447.51319040187633,1211.0,1865.2,2459.5,2986.7000000000003,3632.0,667.5,1.0,5487.831914639046,1526.646986606545,0.2975561011543385,0.05773429647756321,104485519.90590651,5.524608827483411,0.34491559441775244,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
jpenjejm-1,335,15.127343749999998,610405.0,1822.1044776119404,308.7745704443378,1175.0,1427.4,1814.0,2231.8,2687.0,465.0,1.0,5174.390511607048,1482.0865984878892,0.15683211026214805,0.03573539516638401,33759543.08685217,5.0805268286753344,0.33992041585539456,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
kboagdnn-1,499,22.53296875,1611956.0,3230.3727454909817,446.62073563783485,1644.0,2620.6,3301.0,3778.6,4073.0,637.0,1.0,5120.037583881011,1648.1271902970677,0.42274331191871606,0.07892461625962392,131493370.2177665,5.6652892615042445,0.3051044479753659,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
kckkapde-1,138,6.231562499999999,101744.0,737.2753623188406,44.616850023596974,658.0,688.4,731.0,792.3,874.0,48.0,1.0,5252.449265681514,1566.5819196955104,0.1257434535108558,0.04464078747438589,2514431.950994653,3.469521469203596,0.34142399395419776,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
kckkokaf-1,605,27.319531249999997,881417.0,1456.8876033057852,231.03210880928958,874.0,1171.6,1453.0,1760.4,2299.0,259.0,1.0,5259.422564943721,1568.762140678022,0.6312283301649892,0.10702735708941868,85320939.61230609,5.909631117500119,0.26900083391126556,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
kgjmkfkc-1,388,17.520625,664876.0,1713.5979381443299,317.7758777021267,824.0,1298.8,1735.0,2102.2,2645.0,449.5,1.0,2191.1872210382085,1934.3273429744793,0.16046212717081781,0.03397368757367502,39220360.52173187,5.415006521728102,0.30036217312365393,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
kkplngep-1,516,23.300624999999997,1039986.0,2015.4767441860465,609.1682738728895,758.0,1167.5,2094.0,2803.0,3419.0,956.5,1.0,1898.1635748101417,1909.6045328735195,0.7751272837322906,0.1423095939172737,89115141.81097919,5.632951248447959,0.44551188568109334,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
kmmhlijm-1,302,13.637187499999998,353422.0,1170.271523178808,203.44493157227618,706.0,916.1,1147.0,1453.6000000000001,1660.0,276.75,1.0,5666.18029643033,1919.200326026676,0.20571119357030754,0.04936742315914968,16388090.61017141,5.513050226459131,0.17086422755641148,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
knbhnaca-1,200,9.031249999999998,317606.0,1588.03,292.68383812571545,1008.0,1198.6000000000001,1552.0,1998.7,2167.0,445.5,1.0,5348.156661791654,2141.8100315327797,0.06935879129311527,0.020453730276418024,10729509.007033873,4.5710577976174935,0.2822919077592701,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
labaccjo-1,613,27.680781249999995,1822973.0,2973.854812398042,329.8179934050617,1725.0,2599.0,2994.0,3374.8,3718.0,406.0,1.0,5073.504174115579,1806.9245513167225,0.4292206932390458,0.0722996875891356,174559260.78480154,6.400418354927512,0.18832376635263395,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
lahjlbff-1,608,27.455,1326102.0,2181.0888157894738,532.8433029820383,1074.0,1438.0,2211.5,2888.3,3405.0,861.25,1.0,5034.709862702869,1754.1432989129041,0.3438308739641368,0.058153932471919655,143487492.09084067,5.7844635097485035,0.48134413182987124,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
lalhlndj-1,707,31.925468749999997,1206630.0,1706.6902404526168,410.0592104805624,662.0,1081.6,1776.0,2185.0,2323.0,651.0,1.0,5232.482920623969,2133.490961137631,0.4672638050026357,0.07328894002997506,130382693.60775548,6.191782287545994,0.3785997939427704,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
