phenotype,n_cells,n_with_fiber,median_distance_px,mean_distance_px,imageid,pathology,fiber_type,median_distance_um,mean_distance_um
Macrophages,6912,6096,46.60997007012779,53.50336027904944,JRP144,OA,FN,15.148240272791531,17.38859209069107
Monocytes,13090,12797,36.15454222558079,41.45537512602682,JRP144,OA,FN,11.750226223313758,13.472996915958717
Neutrophils,1037,958,46.16958568596933,52.95311185263484,JRP144,OA,FN,15.005115347940032,17.209761352106323
Plasma cells,193,180,36.12213255207355,43.78348822864977,JRP144,OA,FN,11.739693079423905,14.229633674311177
T cells,641,604,51.52836398260674,59.05153964625239,JRP144,OA,FN,16.746718294347193,19.191750385032027
Vascular cells,6556,6277,47.133328494389445,53.98801616870286,JRP144,OA,FN,15.31833176067657,17.546105254828433
B cells,1651,348,96.26616001676746,93.17802568710619,JRP144,OA,COL1A1bis,31.286502005449425,30.28285834830951
CD4 T cells,1760,1548,45.12277574169943,51.35340124626358,JRP144,OA,COL1A1bis,14.664902116052314,16.689855405035665
CD8 T cells,662,589,49.72243117037635,57.2467076862636,JRP144,OA,COL1A1bis,16.159790130372315,18.60517999803567
Dendritic cells,710,577,53.46670478849343,59.56107155375807,JRP144,OA,COL1A1bis,17.376679056260365,19.357348254971374
MERTK+ Macrophages,1389,195,124.12100789410485,116.35552720174739,JRP144,OA,COL1A1bis,40.33932756558408,37.815546340567906
Macrophages,6912,2057,111.0868779409939,106.54762411080033,JRP144,OA,COL1A1bis,36.10323533082302,34.62797783601011
Monocytes,13090,8044,71.10789925530727,75.91185060248436,JRP144,OA,COL1A1bis,23.110067257974865,24.67135144580742
Neutrophils,1037,729,61.8944403713993,68.30187531716872,JRP144,OA,COL1A1bis,20.115693120704773,22.198109478079836
Plasma cells,193,158,51.10044523320121,59.21923901919559,JRP144,OA,COL1A1bis,16.60764470079039,19.246252681238566
T cells,641,493,52.49240581150186,62.895570103451554,JRP144,OA,COL1A1bis,17.060031888738106,20.441060283621756
Vascular cells,6556,6476,42.38155506469022,47.09809004193155,JRP144,OA,COL1A1bis,13.774005396024322,15.306879263627755
B cells,1651,1216,77.60149088048064,80.48433215214503,JRP144,OA,MFAP5,25.22048453615621,26.157407949447137
CD4 T cells,1760,1729,46.661659619772074,50.64980266470494,JRP144,OA,MFAP5,15.165039376425925,16.46118586602911
CD8 T cells,662,653,46.8053485522217,51.229770368283866,JRP144,OA,MFAP5,15.211738279472053,16.649675369692257
Dendritic cells,710,674,45.857349187178365,51.82639072907717,JRP144,OA,MFAP5,14.90363848583297,16.84357698695008
MERTK+ Macrophages,1389,1335,72.97631136015495,76.17137845499619,JRP144,OA,MFAP5,23.71730119205036,24.75569799787376
Macrophages,6912,6637,64.98127225047935,67.73198608328669,JRP144,OA,MFAP5,21.11891348140579,22.012895477068174
Monocytes,13090,12858,48.862096488470726,54.3764864618698,JRP144,OA,MFAP5,15.880181358752987,17.672358100107687
Neutrophils,1037,984,52.44680012884472,58.20351536039019,JRP144,OA,MFAP5,17.045210041874537,18.916142492126813
Plasma cells,193,189,44.5959421540775,50.70937114265157,JRP144,OA,MFAP5,14.493681200075187,16.48054562136176
T cells,641,636,46.80769163281069,50.1927087662356,JRP144,OA,MFAP5,15.212499780663475,16.31263034902657
Vascular cells,6556,6517,52.04498122961717,55.81682061283195,JRP144,OA,MFAP5,16.91461889962558,18.140466699170382
B cells,4111,4104,38.84049419732172,42.87535062511305,S00292623,OA,COL6A1,12.623160614129558,13.934488953161742
CD4 T cells,3565,3522,40.34193731162586,45.05166434791446,S00292623,OA,COL6A1,13.111129626278405,14.6417909130722
CD8 T cells,3363,3340,38.899924603901624,43.33227552818048,S00292623,OA,COL6A1,12.642475496268029,14.082989546658657
Dendritic cells,2508,2409,37.90551918099431,43.031279859701336,S00292623,OA,COL6A1,12.319293733823152,13.985165954402934
MERTK+ Macrophages,4,3,32.157854021933474,37.90573939663011,S00292623,OA,COL6A1,10.451302557128379,12.319365303904787
Macrophages,7047,6927,47.15163102022711,52.628975464162274,S00292623,OA,COL6A1,15.32428008157381,17.10441702585274
Monocytes,61147,59937,43.82491738441897,49.86485087197226,S00292623,OA,COL6A1,14.243098149936165,16.206076533390984
Neutrophils,2928,2728,55.25952401468702,60.71636147973281,S00292623,OA,COL6A1,17.95934530477328,19.732817480913162
Plasma cells,2824,2816,36.91945885427619,42.38897770163245,S00292623,OA,COL6A1,11.998824127639763,13.776417753030547
T cells,662,648,48.8793886974228,55.15962358285139,S00292623,OA,COL6A1,15.88580132666241,17.9268776644267
Vascular cells,14188,13998,49.56438374780376,53.340522653020834,S00292623,OA,COL6A1,16.108424718036222,17.33566986223177
B cells,4111,3235,83.00766609143454,84.474883599907,S00292623,OA,COL4A1,26.977491479716228,27.454337169969776
CD4 T cells,3565,2805,77.82334826424996,79.90766785895684,S00292623,OA,COL4A1,25.292588185881236,25.969992054160976
CD8 T cells,3363,2809,78.08394778309847,80.4156752975738,S00292623,OA,COL4A1,25.377283029507,26.135094471711486
Dendritic cells,2508,1618,87.49261402164296,87.01599675337103,S00292623,OA,COL4A1,28.435099557033965,28.280198944845583
MERTK+ Macrophages,4,3,52.56770921043526,57.43645166469985,S00292623,OA,COL4A1,17.08450549339146,18.666846791027453
Macrophages,7047,3038,94.31768330293738,91.59793267599308,S00292623,OA,COL4A1,30.65324707345465,29.76932811969775
Monocytes,61147,39000,80.40591420426242,81.59503427358635,S00292623,OA,COL4A1,26.131922116385287,26.518386138915563
Neutrophils,2928,2165,54.23321765723791,61.882157453546014,S00292623,OA,COL4A1,17.62579573860232,20.111701172402455
Plasma cells,2824,2278,86.12271649379448,86.14704311065924,S00292623,OA,COL4A1,27.98988286048321,27.997789010964254
T cells,662,476,70.16568568847845,74.20384199049423,S00292623,OA,COL4A1,22.803847848755495,24.116248646910623
Vascular cells,14188,13576,41.1433603837956,48.90632887918074,S00292623,OA,COL4A1,13.37159212473357,15.894556885733742
B cells,4111,4103,40.470655537569556,44.549649197458876,S00292623,OA,CHP,13.152963049710106,14.478635989174135
CD4 T cells,3565,3532,45.17578205664398,49.03222424020954,S00292623,OA,CHP,14.682129168409295,15.9354728780681
CD8 T cells,3363,3349,43.7865062478462,47.56865623139573,S00292623,OA,CHP,14.230614530550016,15.459813275203611
Dendritic cells,2508,2399,43.914179833379116,48.1703607893837,S00292623,OA,CHP,14.272108445848213,15.655367256549702
MERTK+ Macrophages,4,4,61.416264531995964,69.92057893907501,S00292623,OA,CHP,19.96028597289869,22.724188155199382
Macrophages,7047,6851,61.847102875116846,65.31089644430502,S00292623,OA,CHP,20.100308434412977,21.226041344399132
Monocytes,61147,60535,46.64431277261934,52.06501543486937,S00292623,OA,CHP,15.159401651101286,16.921130016332548
Neutrophils,2928,2805,51.52094012676784,56.273837696899626,S00292623,OA,CHP,16.744305541199548,18.28899725149238
Plasma cells,2824,2819,41.81464151108756,45.93914124324789,S00292623,OA,CHP,13.589758491103456,14.930220904055565
T cells,662,648,48.86427756829972,54.128690377092404,S00292623,OA,CHP,15.880890209697409,17.59182437255503
Vascular cells,14188,14132,45.92017140125697,49.91105952399909,S00292623,OA,CHP,14.924055705408517,16.221094345299704
B cells,4111,4032,42.715523519583186,49.40462082965065,S00292623,OA,FN,13.882545143864537,16.056501769636462
CD4 T cells,3565,3537,40.823226599705926,47.31723291964605,S00292623,OA,FN,13.267548644904426,15.378100698884968
CD8 T cells,3363,3344,39.2043529435737,44.02322931957992,S00292623,OA,FN,12.741414706661454,14.307549528863474
Dendritic cells,2508,2416,42.63788869877807,49.08093210817855,S00292623,OA,FN,13.857313827102873,15.95130293515803
MERTK+ Macrophages,4,4,42.55290783650574,41.58727919546117,S00292623,OA,FN,13.829695046864366,13.515865738524882
Macrophages,7047,6927,43.077874598759216,48.98778987003071,S00292623,OA,FN,14.000309244596746,15.921031707759981
Monocytes,61147,60903,36.448193718061226,41.02227708120472,S00292623,OA,FN,11.8456629583699,13.332240051391535
Neutrophils,2928,2836,43.898410215589124,48.47196240534743,S00292623,OA,FN,14.266983320066466,15.753387781737917
Plasma cells,2824,2815,40.31013934483477,44.78147997874185,S00292623,OA,FN,13.1007952870713,14.553980993091102
T cells,662,657,41.70628455154998,46.93898769648949,S00292623,OA,FN,13.554542479253744,15.255171001359084
Vascular cells,14188,14142,40.899105003012494,45.08061404833029,S00292623,OA,FN,13.292209125979062,14.651199565707344
B cells,4111,3294,66.01429045404919,71.22454309686928,S00292623,OA,COL1A1bis,21.454644397565986,23.147976506482518
CD4 T cells,3565,3098,61.59661892356655,67.44996738126166,S00292623,OA,COL1A1bis,20.01890115015913,21.92123939891004
CD8 T cells,3363,2959,58.151405224509,64.55497422241379,S00292623,OA,COL1A1bis,18.899206697965425,20.980366622284482
Dendritic cells,2508,1809,70.62581965980085,74.50415836777765,S00292623,OA,COL1A1bis,22.95339138943528,24.213851469527736
MERTK+ Macrophages,4,2,68.57531513016353,68.57531513016353,S00292623,OA,COL1A1bis,22.28697741730315,22.28697741730315
Macrophages,7047,2767,86.58597874347078,86.343655168448,S00292623,OA,COL1A1bis,28.140443091628004,28.0616879297456
Monocytes,61147,38737,69.59342135863392,74.09973797547256,S00292623,OA,COL1A1bis,22.617861941556026,24.082414842028584
Neutrophils,2928,2101,51.368106761769496,58.82771204816023,S00292623,OA,COL1A1bis,16.694634697575086,19.119006415652077
Plasma cells,2824,2317,77.0119011453144,78.37667087940649,S00292623,OA,COL1A1bis,25.02886787222718,25.47241803580711
T cells,662,502,61.83633684877694,67.87875319425382,S00292623,OA,COL1A1bis,20.096809475852506,22.06059478813249
Vascular cells,14188,12668,41.760383157029494,49.49190218241475,S00292623,OA,COL1A1bis,13.572124526034585,16.084868209284792
B cells,4111,4065,42.97784647508757,48.355755295223595,S00292623,OA,MFAP5,13.96780010440346,15.71562047094767
CD4 T cells,3565,3537,44.20328043909154,48.186601914223765,S00292623,OA,MFAP5,14.366066142704751,15.660645622122724
CD8 T cells,3363,3352,41.44133548683769,45.97233776768103,S00292623,OA,MFAP5,13.468434033222248,14.941009774496337
Dendritic cells,2508,2409,44.40785630046445,49.561103391752994,S00292623,OA,MFAP5,14.432553297650948,16.107358602319724
MERTK+ Macrophages,4,3,64.2501654687128,77.01574123140061,S00292623,OA,MFAP5,20.88130377733166,25.0301159002052
Macrophages,7047,6769,63.34710545146696,66.67383670582304,S00292623,OA,MFAP5,20.587809271726762,21.66899692939249
Monocytes,61147,60297,47.37815184768305,52.67549871789763,S00292623,OA,MFAP5,15.397899350496992,17.119537083316732
Neutrophils,2928,2751,57.544699662826325,60.593839676729935,S00292623,OA,MFAP5,18.702027390418557,19.69299789493723
Plasma cells,2824,2805,41.834443802953565,46.93316722701375,S00292623,OA,MFAP5,13.59619423595991,15.253279348779468
T cells,662,609,47.15425762607781,52.36391379692063,S00292623,OA,MFAP5,15.325133728475288,17.018271983999206
Vascular cells,14188,14100,54.40238650582152,58.05179857158779,S00292623,OA,MFAP5,17.680775614391994,18.86683453576603
B cells,174,173,41.383078379468756,45.619801176294835,S00293087,OA,COL6A1,13.449500473327346,14.826435382295822
CD4 T cells,658,648,38.65565173068966,44.50652241481448,S00293087,OA,COL6A1,12.563086812474141,14.464619784814705
CD8 T cells,758,755,40.33137163225787,45.53425056820298,S00293087,OA,COL6A1,13.107695780483809,14.798631434665968
Dendritic cells,677,622,41.99870476305253,47.26426069404504,S00293087,OA,COL6A1,13.649579047992072,15.36088472556464
MERTK+ Macrophages,28,28,54.43187148373434,54.77073487233132,S00293087,OA,COL6A1,17.69035823221366,17.80048883350768
Macrophages,13582,13340,45.7332410160504,51.75011723182857,S00293087,OA,COL6A1,14.86330333021638,16.818788100344285
Monocytes,14623,14410,42.26570286600956,48.32418266735998,S00293087,OA,COL6A1,13.736353431453107,15.705359366891994
Neutrophils,807,736,46.176025330402766,52.58209378797437,S00293087,OA,COL6A1,15.007208232380899,17.08918048109167
Plasma cells,14,14,51.11425629567387,50.3313217942594,S00293087,OA,COL6A1,16.612133296094008,16.357679583134306
T cells,455,451,46.52425296209898,54.66454034340488,S00293087,OA,COL6A1,15.120382212682168,17.765975611606585
Vascular cells,12285,12182,43.27219419456512,46.92595189392023,S00293087,OA,COL6A1,14.063463113233663,15.250934365524074
B cells,174,122,80.52177550479492,82.63745123296809,S00293087,OA,COL4A1,26.16957703905835,26.85717165071463
CD4 T cells,658,461,86.45962680689432,86.0581784482968,S00293087,OA,COL4A1,28.099378712240654,27.968907995696462
CD8 T cells,758,566,84.54630545233206,85.05361093914435,S00293087,OA,COL4A1,27.47754927200792,27.642423555221914
Dendritic cells,677,428,83.32549474041181,82.43084098964249,S00293087,OA,COL4A1,27.08078579063384,26.79002332163381
MERTK+ Macrophages,28,12,55.372520020178115,62.41786628321515,S00293087,OA,COL4A1,17.99606900655789,20.285806542044924
Macrophages,13582,4265,99.9849234132157,96.67902933172992,S00293087,OA,COL4A1,32.4951001092951,31.420684532812224
Monocytes,14623,7242,93.08065241077836,91.36351667462651,S00293087,OA,COL4A1,30.251212033502966,29.693142919253617
Neutrophils,807,505,47.59144376962585,58.468843468857926,S00293087,OA,COL4A1,15.467219225128401,19.002374127378825
Plasma cells,14,10,105.86696118752735,107.16133466253844,S00293087,OA,COL4A1,34.406762385946394,34.82743376532499
T cells,455,215,75.84825010850352,78.00928863219272,S00293087,OA,COL4A1,24.650681285263644,25.353018805462636
Vascular cells,12285,11653,44.741365943409576,51.80416164568197,S00293087,OA,COL4A1,14.540943931608112,16.836352534846643
B cells,174,174,41.92328902766209,43.93488973746653,S00293087,OA,CHP,13.62506893399018,14.278839164676622
CD4 T cells,658,640,40.18721951270906,46.08638305209451,S00293087,OA,CHP,13.060846341630446,14.978074491930716
CD8 T cells,758,752,40.236530515821066,45.463898726109356,S00293087,OA,CHP,13.076872417641846,14.77576708598554
Dendritic cells,677,621,42.977797940644756,48.130368966666026,S00293087,OA,CHP,13.967784330709547,15.642369914166458
MERTK+ Macrophages,28,25,40.58753170853952,47.65381185508951,S00293087,OA,CHP,13.190947805275345,15.487488852904091
Macrophages,13582,12881,47.83384910567969,55.495286759365996,S00293087,OA,CHP,15.5460009593459,18.03596819679395
Monocytes,14623,14386,38.59905426801515,44.07457933260175,S00293087,OA,CHP,12.544692637104925,14.32423828309557
Neutrophils,807,783,42.38810553818478,48.48339089122187,S00293087,OA,CHP,13.776134299910055,15.75710203964711
Plasma cells,14,14,32.0217184888975,32.59198392564449,S00293087,OA,CHP,10.407058508891687,10.59239477583446
T cells,455,452,41.87400137097892,47.205286061538324,S00293087,OA,CHP,13.609050445568148,15.341717969999955
Vascular cells,12285,12230,44.444068433940714,48.002623946734296,S00293087,OA,CHP,14.444322241030733,15.600852782688646
B cells,174,121,58.70441862010274,67.10247200644847,S00293087,OA,FN,19.078936051533393,21.808303402095753
CD4 T cells,658,367,64.23802633145779,71.60214573863655,S00293087,OA,FN,20.87735855772378,23.27069736505688
CD8 T cells,758,453,57.51700394707594,65.64408721054389,S00293087,OA,FN,18.693026282799682,21.334328343426765
Dendritic cells,677,351,60.170991578419546,69.03257998709066,S00293087,OA,FN,19.555572262986352,22.435588495804463
MERTK+ Macrophages,28,24,37.78216343108538,48.90309379379452,S00293087,OA,FN,12.27920311510275,15.893505482983219
Macrophages,13582,10924,49.224750631842426,57.85351873741036,S00293087,OA,FN,15.99804395534879,18.80239358965837
Monocytes,14623,12632,47.806760235120755,55.594199854454345,S00293087,OA,FN,15.537197076414246,18.068114952697663
Neutrophils,807,657,46.08257128883485,56.47102302457587,S00293087,OA,FN,14.976835668871326,18.35308248298716
Plasma cells,14,14,51.94174156655522,51.69523094373407,S00293087,OA,FN,16.881066009130446,16.80095005671357
T cells,455,355,53.016482591441836,61.17036216791523,S00293087,OA,FN,17.230356842218598,19.88036770457245
Vascular cells,12285,8410,53.53904842103055,62.820195881988745,S00293087,OA,FN,17.40019073683493,20.416563661646343
B cells,174,161,49.409557965966336,55.612871095729595,S00293087,OA,COL1A1bis,16.05810633893906,18.07418310611212
CD4 T cells,658,583,52.00249449519065,60.06130577350877,S00293087,OA,COL1A1bis,16.900810710936963,19.51992437639035
CD8 T cells,758,704,49.18085673897569,57.088431370305265,S00293087,OA,COL1A1bis,15.9837784401671,18.553740195349214
Dendritic cells,677,555,54.27941477634453,61.56637787202309,S00293087,OA,COL1A1bis,17.640809802311974,20.009072808407506
MERTK+ Macrophages,28,15,59.03747998167362,62.39751066182578,S00293087,OA,COL1A1bis,19.187180994043928,20.279190965093377
Macrophages,13582,6799,92.11979243390125,90.35732287303146,S00293087,OA,COL1A1bis,29.93893254101791,29.366129933735227
Monocytes,14623,10500,65.69144260734132,71.53888686700053,S00293087,OA,COL1A1bis,21.34971884738593,23.25013823177517
Neutrophils,807,554,53.04211172405692,60.74340581771313,S00293087,OA,COL1A1bis,17.2386863103185,19.741606890756767
Plasma cells,14,11,63.95042864425599,67.0778452848614,S00293087,OA,COL1A1bis,20.7838893093832,21.800299717579954
T cells,455,266,72.61351459267063,78.18367861333363,S00293087,OA,COL1A1bis,23.599392242617956,25.409695549333428
Vascular cells,12285,11391,42.75425069820096,48.25562624151451,S00293087,OA,COL1A1bis,13.895131476915314,15.683078528492217
B cells,174,172,38.364982220754094,44.014267895288484,S00293087,OA,MFAP5,12.468619221745081,14.304637065968757
CD4 T cells,658,649,44.347232288413345,49.19140002449255,S00293087,OA,MFAP5,14.412850493734338,15.98720500796008
CD8 T cells,758,755,44.413770331522855,48.576709241595644,S00293087,OA,MFAP5,14.434475357744928,15.787430503518586
Dendritic cells,677,619,44.588044484609505,50.525376490840394,S00293087,OA,MFAP5,14.491114457498089,16.42074735952313
MERTK+ Macrophages,28,28,48.23929938129152,49.27391495427526,S00293087,OA,MFAP5,15.677772298919743,16.01402236013946
Macrophages,13582,13091,53.98856522318152,59.16341292466143,S00293087,OA,MFAP5,17.546283697533994,19.228109200514965
Monocytes,14623,14278,45.93066427241708,51.68787366443316,S00293087,OA,MFAP5,14.927465888535552,16.79855894094078
Neutrophils,807,723,48.12883051612739,55.65292819732425,S00293087,OA,MFAP5,15.641869917741401,18.087201664130383
Plasma cells,14,14,49.007218761056365,52.18681383286314,S00293087,OA,MFAP5,15.92734609734332,16.96071449568052
T cells,455,439,48.51799784248093,51.542542682909115,S00293087,OA,MFAP5,15.768349298806303,16.751326371945463
Vascular cells,12285,12160,50.68047245697636,54.985539165950804,S00293087,OA,MFAP5,16.471153548517318,17.870300228934013
