imageid,pathology,phenotype,fiber_type,feature_fiber,cross_morans_i
S00293087,OA,T cells,COL6A1,COL4A1_rich_density_near_COL6A1,-0.009085065932394705
S00293087,OA,T cells,COL6A1,alignment_score,0.015893964607188206
S00293087,OA,T cells,COL6A1,area,0.005780155541889723
S00293087,OA,CD4 T cells,COL6A1,COL4A1_rich_density_near_COL6A1,0.051357571571254534
S00293087,OA,CD4 T cells,COL6A1,alignment_score,0.00969353036696882
S00293087,OA,CD4 T cells,COL6A1,area,0.0006659605043525609
S00293087,OA,CD8 T cells,COL6A1,COL4A1_rich_density_near_COL6A1,0.03601874856178818
S00293087,OA,CD8 T cells,COL6A1,alignment_score,0.013287579363976497
S00293087,OA,CD8 T cells,COL6A1,area,0.0006004392841866037
S00293087,OA,Vascular cells,COL6A1,COL4A1_rich_density_near_COL6A1,0.37230601653824996
S00293087,OA,Vascular cells,COL6A1,alignment_score,0.0016250367574557768
S00293087,OA,Vascular cells,COL6A1,area,0.011880725937437971
