radius,K,L,L_minus_r,radius_um,imageid,pathology,phenotype,fiber_type,cell_fiber_pair
30.769230769230766,9555.286493275793,55.15017820576947,24.380947436538705,10.0,JRP112,RA,Monocytes,COL6A1,Monocytes vs COL6A1
61.53846153846153,37637.73739183056,109.45530551512333,47.916843976661795,20.0,JRP112,RA,Monocytes,COL6A1,Monocytes vs COL6A1
92.3076923076923,82047.7446662716,161.6063373335267,69.2986450258344,30.0,JRP112,RA,Monocytes,COL6A1,Monocytes vs COL6A1
123.07692307692307,142948.2422447021,213.31160005748413,90.23467698056106,40.0,JRP112,RA,Monocytes,COL6A1,Monocytes vs COL6A1
153.84615384615384,221461.37185776798,265.50582681017056,111.65967296401672,50.0,JRP112,RA,Monocytes,COL6A1,Monocytes vs COL6A1
30.769230769230766,10050.480121604718,56.56118088937366,25.791950120142893,10.0,JRP112,RA,Macrophages,COL6A1,Macrophages vs COL6A1
61.53846153846153,39846.24121012346,112.62083512586057,51.08237358739903,20.0,JRP112,RA,Macrophages,COL6A1,Macrophages vs COL6A1
92.3076923076923,87324.34346304282,166.721929657725,74.4142373500327,30.0,JRP112,RA,Macrophages,COL6A1,Macrophages vs COL6A1
123.07692307692307,152063.05288132682,220.00721137138865,96.93028829446558,40.0,JRP112,RA,Macrophages,COL6A1,Macrophages vs COL6A1
153.84615384615384,232375.43346883144,271.96947949976436,118.12332565361052,50.0,JRP112,RA,Macrophages,COL6A1,Macrophages vs COL6A1
30.769230769230766,9726.88467768992,55.643180666442284,24.873949897211517,10.0,JRP112,RA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
61.53846153846153,38580.1916302605,110.8172207140075,49.27875917554597,20.0,JRP112,RA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
92.3076923076923,84556.86848418105,164.05879184992625,71.75109954223394,30.0,JRP112,RA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
123.07692307692307,149013.067430091,217.78965203509966,94.7127289581766,40.0,JRP112,RA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
153.84615384615384,228059.59339253587,269.4320382135348,115.58588436738094,50.0,JRP112,RA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
30.769230769230766,11313.917063568604,60.01109608061971,29.241865311388942,10.0,JRP112,RA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
61.53846153846153,45080.93594441235,119.79026500314895,58.25180346468741,20.0,JRP112,RA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
92.3076923076923,99684.78277630715,178.13099634758188,85.82330403988958,30.0,JRP112,RA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
123.07692307692307,173334.45138316686,234.89161222041463,111.81468914349156,40.0,JRP112,RA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
153.84615384615384,267515.166398819,291.80939355827104,137.9632397121172,50.0,JRP112,RA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
30.769230769230766,11888.627373121477,61.51640127656848,30.747170507337714,10.0,JRP112,RA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
61.53846153846153,46925.49302601712,122.21639965335983,60.677938114898296,20.0,JRP112,RA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
92.3076923076923,104196.2534352632,182.1172632447458,89.8095709370535,30.0,JRP112,RA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
123.07692307692307,183145.385467243,241.4476895792639,118.37076650234084,40.0,JRP112,RA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
153.84615384615384,283016.3401073033,300.14479673602324,146.2986428898694,50.0,JRP112,RA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
30.769230769230766,10253.726534809914,57.130224279754565,26.360993510523798,10.0,JRP112,RA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
61.53846153846153,40152.99869138607,113.05351141558141,51.51504987711988,20.0,JRP112,RA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
92.3076923076923,89720.10717958675,168.9934824327014,76.68579012500909,30.0,JRP112,RA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
123.07692307692307,156443.63202204547,223.15365715828213,100.07673408135906,40.0,JRP112,RA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
153.84615384615384,244373.05217635017,278.9020588390117,125.05590499285788,50.0,JRP112,RA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
30.769230769230766,11104.672379144584,59.453570129251254,28.684339360020488,10.0,JRP112,RA,B cells,COL6A1,B cells vs COL6A1
61.53846153846153,41009.360277367276,114.252723391431,52.71426185296947,20.0,JRP112,RA,B cells,COL6A1,B cells vs COL6A1
92.3076923076923,90590.7483561795,169.81145661750836,77.50376430981605,30.0,JRP112,RA,B cells,COL6A1,B cells vs COL6A1
123.07692307692307,161066.45420101375,226.42668726267985,103.34976418575678,40.0,JRP112,RA,B cells,COL6A1,B cells vs COL6A1
153.84615384615384,249124.55797949363,281.60044335199433,127.75428950584049,50.0,JRP112,RA,B cells,COL6A1,B cells vs COL6A1
30.769230769230766,12494.846358983043,63.06530839068215,32.29607762145138,10.0,JRP112,RA,Monocytes,CHP,Monocytes vs CHP
61.53846153846153,47203.6468693841,122.57808720343739,61.03962566497586,20.0,JRP112,RA,Monocytes,CHP,Monocytes vs CHP
92.3076923076923,100248.41315706936,178.6338741172356,86.32618180954329,30.0,JRP112,RA,Monocytes,CHP,Monocytes vs CHP
123.07692307692307,171870.513793043,233.89759230016273,110.82066922323966,40.0,JRP112,RA,Monocytes,CHP,Monocytes vs CHP
153.84615384615384,260388.4143993092,287.89617321357684,134.050019367423,50.0,JRP112,RA,Monocytes,CHP,Monocytes vs CHP
30.769230769230766,12687.515676558478,63.54967876362861,32.780447994397846,10.0,JRP112,RA,Macrophages,CHP,Macrophages vs CHP
61.53846153846153,47206.84186485356,122.58223550375374,61.0437739652922,20.0,JRP112,RA,Macrophages,CHP,Macrophages vs CHP
