imageid,pathology,COL6A1_region,fiber_type,feature,morans_i
JRP122,RA,COL6A1-rich,FN,alignment_score,0.4146633980730721
JRP122,RA,COL6A1-rich,FN,area,0.11886299614962248
JRP122,RA,COL6A1-rich,FN,major_axis_length,0.08990718120899578
JRP122,RA,COL6A1-rich,FN,minor_axis_length,0.0924503254717223
JRP122,RA,COL6A1-rich,FN,eccentricity,-0.03457189998211559
JRP122,RA,COL6A1-rich,COL1A1bis,alignment_score,0.1647695492836155
JRP122,RA,COL6A1-rich,COL1A1bis,area,-0.017087994244245154
JRP122,RA,COL6A1-rich,COL1A1bis,major_axis_length,-0.022041417521719862
JRP122,RA,COL6A1-rich,COL1A1bis,minor_axis_length,-0.020506760505055767
JRP122,RA,COL6A1-rich,COL1A1bis,eccentricity,0.02452234183244249
JRP122,RA,COL6A1-rich,MFAP5,alignment_score,0.3091792686534697
JRP122,RA,COL6A1-rich,MFAP5,area,-0.05611685802603616
JRP122,RA,COL6A1-rich,MFAP5,major_axis_length,-0.06276078959473741
JRP122,RA,COL6A1-rich,MFAP5,minor_axis_length,-0.04288019707655109
JRP122,RA,COL6A1-rich,MFAP5,eccentricity,-3.692033898873712e-05
JRP122,RA,COL6A1-poor,COL6A1,alignment_score,0.341564189311343
JRP122,RA,COL6A1-poor,COL6A1,area,-0.00097447506103709
JRP122,RA,COL6A1-poor,COL6A1,major_axis_length,0.006198964178215734
JRP122,RA,COL6A1-poor,COL6A1,minor_axis_length,0.007494350438109019
JRP122,RA,COL6A1-poor,COL6A1,eccentricity,0.04598064106258441
JRP122,RA,COL6A1-poor,COL4A1,alignment_score,0.35009295906522897
JRP122,RA,COL6A1-poor,COL4A1,area,0.009742284030494507
JRP122,RA,COL6A1-poor,COL4A1,major_axis_length,0.022156579134090665
JRP122,RA,COL6A1-poor,COL4A1,minor_axis_length,0.009172513059961663
JRP122,RA,COL6A1-poor,COL4A1,eccentricity,0.0363620735954781
JRP122,RA,COL6A1-poor,CHP,alignment_score,0.3591009573070514
JRP122,RA,COL6A1-poor,CHP,area,-0.014098701602943568
JRP122,RA,COL6A1-poor,CHP,major_axis_length,-0.0031776157684991905
JRP122,RA,COL6A1-poor,CHP,minor_axis_length,-0.012067237318548122
JRP122,RA,COL6A1-poor,CHP,eccentricity,0.028854699030464215
JRP122,RA,COL6A1-poor,FN,alignment_score,0.2834230168426277
JRP122,RA,COL6A1-poor,FN,area,0.014079978117677196
JRP122,RA,COL6A1-poor,FN,major_axis_length,0.008239149444957539
JRP122,RA,COL6A1-poor,FN,minor_axis_length,0.01616898962905974
JRP122,RA,COL6A1-poor,FN,eccentricity,0.02816157388469378
JRP122,RA,COL6A1-poor,COL1A1bis,alignment_score,0.27773705063385584
JRP122,RA,COL6A1-poor,COL1A1bis,area,0.030086108208892074
JRP122,RA,COL6A1-poor,COL1A1bis,major_axis_length,0.030188639395323034
JRP122,RA,COL6A1-poor,COL1A1bis,minor_axis_length,0.02473964686769749
JRP122,RA,COL6A1-poor,COL1A1bis,eccentricity,0.02178916629348067
JRP122,RA,COL6A1-poor,MFAP5,alignment_score,0.37820055253883467
JRP122,RA,COL6A1-poor,MFAP5,area,-0.004056596026889849
JRP122,RA,COL6A1-poor,MFAP5,major_axis_length,-0.008741383472151257
JRP122,RA,COL6A1-poor,MFAP5,minor_axis_length,-0.0037692868101388537
JRP122,RA,COL6A1-poor,MFAP5,eccentricity,0.018081222887223965
JRP141,RA,COL6A1-rich,COL6A1,alignment_score,0.31710055617191985
JRP141,RA,COL6A1-rich,COL6A1,area,0.004567178629769136
JRP141,RA,COL6A1-rich,COL6A1,major_axis_length,0.007104302614701556
JRP141,RA,COL6A1-rich,COL6A1,minor_axis_length,-0.0021274469625669383
JRP141,RA,COL6A1-rich,COL6A1,eccentricity,0.019357441691086125
JRP141,RA,COL6A1-rich,COL4A1,alignment_score,-0.5
JRP141,RA,COL6A1-rich,COL4A1,area,-0.33333333333333337
JRP141,RA,COL6A1-rich,COL4A1,major_axis_length,-0.33333333333333326
JRP141,RA,COL6A1-rich,COL4A1,minor_axis_length,-0.3333333333333334
JRP141,RA,COL6A1-rich,COL4A1,eccentricity,-0.3333333333333333
JRP141,RA,COL6A1-rich,CHP,alignment_score,0.06467646207010484
JRP141,RA,COL6A1-rich,CHP,area,-0.009647110883966062
JRP141,RA,COL6A1-rich,CHP,major_axis_length,0.008698041905495977
JRP141,RA,COL6A1-rich,CHP,minor_axis_length,-0.0150473912178908
JRP141,RA,COL6A1-rich,CHP,eccentricity,-0.04516887489127717
JRP141,RA,COL6A1-rich,FN,alignment_score,0.3415177374586762
JRP141,RA,COL6A1-rich,FN,area,-0.017191466420585402
JRP141,RA,COL6A1-rich,FN,major_axis_length,-0.03043883793252903
JRP141,RA,COL6A1-rich,FN,minor_axis_length,-0.011550223414961727
JRP141,RA,COL6A1-rich,FN,eccentricity,0.1155541632296602
JRP141,RA,COL6A1-rich,COL1A1bis,alignment_score,0.2963711803246319
JRP141,RA,COL6A1-rich,COL1A1bis,area,0.0828224126455156
JRP141,RA,COL6A1-rich,COL1A1bis,major_axis_length,0.042738946808839724
JRP141,RA,COL6A1-rich,COL1A1bis,minor_axis_length,0.05680078477195454
JRP141,RA,COL6A1-rich,COL1A1bis,eccentricity,-0.05448256033099713
JRP141,RA,COL6A1-rich,MFAP5,alignment_score,0.22388646675196713
JRP141,RA,COL6A1-rich,MFAP5,area,0.07627550008945053
JRP141,RA,COL6A1-rich,MFAP5,major_axis_length,0.050497011366153
JRP141,RA,COL6A1-rich,MFAP5,minor_axis_length,0.05642019305963703
JRP141,RA,COL6A1-rich,MFAP5,eccentricity,-0.04629700939366862
JRP141,RA,COL6A1-poor,COL6A1,alignment_score,0.3355724024676995
JRP141,RA,COL6A1-poor,COL6A1,area,0.01755451549628056
JRP141,RA,COL6A1-poor,COL6A1,major_axis_length,0.012939397750026026
JRP141,RA,COL6A1-poor,COL6A1,minor_axis_length,0.04378061133569337
JRP141,RA,COL6A1-poor,COL6A1,eccentricity,0.0671041750048915
JRP141,RA,COL6A1-poor,COL4A1,alignment_score,0.3065254852247512
JRP141,RA,COL6A1-poor,COL4A1,area,0.11169075315086074
JRP141,RA,COL6A1-poor,COL4A1,major_axis_length,0.08115614987227923
JRP141,RA,COL6A1-poor,COL4A1,minor_axis_length,0.13390587070201532
JRP141,RA,COL6A1-poor,COL4A1,eccentricity,0.005688478175383095
JRP141,RA,COL6A1-poor,CHP,alignment_score,0.35826531269966416
JRP141,RA,COL6A1-poor,CHP,area,-0.010310232019317592
JRP141,RA,COL6A1-poor,CHP,major_axis_length,-0.024657842570057036
JRP141,RA,COL6A1-poor,CHP,minor_axis_length,-0.023457426099159004
JRP141,RA,COL6A1-poor,CHP,eccentricity,0.028045300139808674
JRP141,RA,COL6A1-poor,FN,alignment_score,0.33903244635036556
JRP141,RA,COL6A1-poor,FN,area,0.010173724997973106
JRP141,RA,COL6A1-poor,FN,major_axis_length,0.0020128387288918977
JRP141,RA,COL6A1-poor,FN,minor_axis_length,0.0225289592215886
JRP141,RA,COL6A1-poor,FN,eccentricity,0.04070670237012917
JRP141,RA,COL6A1-poor,COL1A1bis,alignment_score,0.37470586551721163
JRP141,RA,COL6A1-poor,COL1A1bis,area,0.015796114318920935
JRP141,RA,COL6A1-poor,COL1A1bis,major_axis_length,0.022084691501605788
JRP141,RA,COL6A1-poor,COL1A1bis,minor_axis_length,0.0389204602605517
JRP141,RA,COL6A1-poor,COL1A1bis,eccentricity,0.04987006291014805
JRP141,RA,COL6A1-poor,MFAP5,alignment_score,0.3984687992728177
JRP141,RA,COL6A1-poor,MFAP5,area,0.02088113598216657
JRP141,RA,COL6A1-poor,MFAP5,major_axis_length,0.01881629633929676
JRP141,RA,COL6A1-poor,MFAP5,minor_axis_length,0.038609684487029165
JRP141,RA,COL6A1-poor,MFAP5,eccentricity,0.04103691335451218
JRP144,OA,COL6A1-rich,COL6A1,alignment_score,0.20378684915735668
JRP144,OA,COL6A1-rich,COL6A1,area,-0.002720871092899544
JRP144,OA,COL6A1-rich,COL6A1,major_axis_length,-0.01955574276578787
