phenotype,n_cells,n_with_fiber,median_density,mean_density,imageid,pathology,fiber_type
Dendritic cells,2508,2399,9.41401488388561e-05,9.537345037786332e-05,S00292623,OA,CHP
MERTK+ Macrophages,4,4,6.05186671106932e-05,7.060511162914208e-05,S00292623,OA,CHP
Macrophages,7047,6851,6.724296345632579e-05,6.63929794196424e-05,S00292623,OA,CHP
Monocytes,61147,60535,8.069155614759094e-05,8.595280289929725e-05,S00292623,OA,CHP
Neutrophils,2928,2805,6.724296345632579e-05,7.437239566021573e-05,S00292623,OA,CHP
Plasma cells,2824,2819,0.00010758874153012126,0.00010718800304623823,S00292623,OA,CHP
T cells,662,648,8.069155614759094e-05,8.314052827346948e-05,S00292623,OA,CHP
Vascular cells,14188,14132,8.069155614759094e-05,9.073708009671315e-05,S00292623,OA,CHP
B cells,4111,4032,0.00012103733422138642,0.00011819218303942977,S00292623,OA,FN
CD4 T cells,3565,3537,0.00012103733422138642,0.00012204493305180352,S00292623,OA,FN
CD8 T cells,3363,3344,0.00013448592691265158,0.00013072160790576635,S00292623,OA,FN
Dendritic cells,2508,2416,0.00012103733422138642,0.00011926163013673674,S00292623,OA,FN
MERTK+ Macrophages,4,4,7.396725980195837e-05,7.396725980195837e-05,S00292623,OA,FN
Macrophages,7047,6927,0.00010758874153012126,0.0001097826075242211,S00292623,OA,FN
Monocytes,61147,60903,0.00013448592691265158,0.00013558892217549364,S00292623,OA,FN
Neutrophils,2928,2836,0.00010758874153012126,0.00011436994306344608,S00292623,OA,FN
Plasma cells,2824,2815,0.00013448592691265158,0.00012864785221683415,S00292623,OA,FN
T cells,662,657,0.00010758874153012126,0.00011027027218850138,S00292623,OA,FN
Vascular cells,14188,14142,0.00013448592691265158,0.00012973964448286058,S00292623,OA,FN
B cells,4111,3294,4.034577807379547e-05,5.35902330496498e-05,S00292623,OA,COL1A1bis
CD4 T cells,3565,3098,5.379437076506063e-05,5.690690819554389e-05,S00292623,OA,COL1A1bis
CD8 T cells,3363,2959,5.379437076506063e-05,5.883929739138855e-05,S00292623,OA,COL1A1bis
Dendritic cells,2508,1809,4.034577807379547e-05,4.74157679297342e-05,S00292623,OA,COL1A1bis
MERTK+ Macrophages,4,2,5.379437076506063e-05,5.379437076506063e-05,S00292623,OA,COL1A1bis
Macrophages,7047,2767,2.6897185382530314e-05,2.948775274951417e-05,S00292623,OA,COL1A1bis
Monocytes,61147,38737,2.6897185382530314e-05,4.320408572867804e-05,S00292623,OA,COL1A1bis
Neutrophils,2928,2101,4.034577807379547e-05,5.216210463642064e-05,S00292623,OA,COL1A1bis
Plasma cells,2824,2317,4.034577807379547e-05,4.425208056892774e-05,S00292623,OA,COL1A1bis
T cells,662,502,4.034577807379547e-05,5.074030788298049e-05,S00292623,OA,COL1A1bis
Vascular cells,14188,12668,4.034577807379547e-05,4.977614189417031e-05,S00292623,OA,COL1A1bis
B cells,4111,4065,9.41401488388561e-05,9.630052547536191e-05,S00292623,OA,MFAP5
CD4 T cells,3565,3537,9.41401488388561e-05,9.59576289933443e-05,S00292623,OA,MFAP5
CD8 T cells,3363,3352,9.41401488388561e-05,0.00010187148479233699,S00292623,OA,MFAP5
Dendritic cells,2508,2409,9.41401488388561e-05,9.765163277526366e-05,S00292623,OA,MFAP5
MERTK+ Macrophages,4,3,0.00013448592691265158,0.00010310587729969954,S00292623,OA,MFAP5
Macrophages,7047,6769,5.379437076506063e-05,6.594956209098177e-05,S00292623,OA,MFAP5
Monocytes,61147,60297,8.069155614759094e-05,8.938517682391204e-05,S00292623,OA,MFAP5
Neutrophils,2928,2751,8.069155614759094e-05,8.123419293011745e-05,S00292623,OA,MFAP5
Plasma cells,2824,2805,9.41401488388561e-05,9.994150254881362e-05,S00292623,OA,MFAP5
T cells,662,609,8.069155614759094e-05,9.146809676062444e-05,S00292623,OA,MFAP5
Vascular cells,14188,14100,9.41401488388561e-05,9.16154378563186e-05,S00292623,OA,MFAP5
B cells,174,173,0.00010758874153012126,0.00010743326647010663,S00293087,OA,COL6A1
CD4 T cells,658,648,0.00012103733422138642,0.00011989586416271422,S00293087,OA,COL6A1
CD8 T cells,758,755,0.00012103733422138642,0.00012588239013135215,S00293087,OA,COL6A1
Dendritic cells,677,622,0.00012103733422138642,0.00012594542190774846,S00293087,OA,COL6A1
MERTK+ Macrophages,28,28,8.069155614759094e-05,8.261278367491453e-05,S00293087,OA,COL6A1
Macrophages,13582,13340,8.069155614759094e-05,8.9084324824861e-05,S00293087,OA,COL6A1
Monocytes,14623,14410,9.41401488388561e-05,0.00010294659718269912,S00293087,OA,COL6A1
Neutrophils,807,736,8.069155614759094e-05,9.245907475244796e-05,S00293087,OA,COL6A1
Plasma cells,14,14,0.00010086444518448868,0.0001268010168033572,S00293087,OA,COL6A1
T cells,455,451,8.069155614759094e-05,8.087047312352795e-05,S00293087,OA,COL6A1
Vascular cells,12285,12182,0.00010758874153012126,0.00011574268223096549,S00293087,OA,COL6A1
B cells,174,122,2.6897185382530314e-05,2.6676716649886624e-05,S00293087,OA,COL4A1
CD4 T cells,658,461,2.6897185382530314e-05,2.7918228211585154e-05,S00293087,OA,COL4A1
CD8 T cells,758,566,2.6897185382530314e-05,2.547153951419832e-05,S00293087,OA,COL4A1
Dendritic cells,677,428,2.6897185382530314e-05,2.589168312523946e-05,S00293087,OA,COL4A1
MERTK+ Macrophages,28,12,4.034577807379547e-05,4.48286423042172e-05,S00293087,OA,COL4A1
Macrophages,13582,4265,1.3448592691265157e-05,2.130332760191967e-05,S00293087,OA,COL4A1
Monocytes,14623,7242,1.3448592691265157e-05,2.290829045007553e-05,S00293087,OA,COL4A1
Neutrophils,807,505,2.6897185382530314e-05,2.924070252477058e-05,S00293087,OA,COL4A1
Plasma cells,14,10,1.3448592691265157e-05,1.6138311229518188e-05,S00293087,OA,COL4A1
T cells,455,215,1.3448592691265157e-05,2.445767321992873e-05,S00293087,OA,COL4A1
Vascular cells,12285,11653,2.6897185382530314e-05,3.01874915494227e-05,S00293087,OA,COL4A1
B cells,174,174,0.00010758874153012126,0.00011601343465281036,S00293087,OA,CHP
CD4 T cells,658,640,0.00010758874153012126,0.00011431303787575383,S00293087,OA,CHP
CD8 T cells,758,752,0.00012103733422138642,0.00012575864867683058,S00293087,OA,CHP
Dendritic cells,677,621,0.00010758874153012126,0.0001147786493779474,S00293087,OA,CHP
MERTK+ Macrophages,28,25,9.41401488388561e-05,9.252631771590427e-05,S00293087,OA,CHP
Macrophages,13582,12881,8.069155614759094e-05,8.9102538425429e-05,S00293087,OA,CHP
Monocytes,14623,14386,0.00010758874153012126,0.00011572651432154787,S00293087,OA,CHP
Neutrophils,807,783,9.41401488388561e-05,0.00010240167257384786,S00293087,OA,CHP
Plasma cells,14,14,0.0001546588159495493,0.00017387109122278527,S00293087,OA,CHP
T cells,455,452,9.41401488388561e-05,9.949578309643958e-05,S00293087,OA,CHP
Vascular cells,12285,12230,0.00010758874153012126,0.0001094592285430274,S00293087,OA,CHP
B cells,174,121,5.379437076506063e-05,6.390860163204517e-05,S00293087,OA,FN
CD4 T cells,658,367,5.379437076506063e-05,6.222264411380991e-05,S00293087,OA,FN
CD8 T cells,758,453,6.724296345632579e-05,7.3714913139981e-05,S00293087,OA,FN
Dendritic cells,677,351,4.034577807379547e-05,5.843049531105233e-05,S00293087,OA,FN
MERTK+ Macrophages,28,24,9.41401488388561e-05,9.189871672364524e-05,S00293087,OA,FN
Macrophages,13582,10924,5.379437076506063e-05,6.625438601847464e-05,S00293087,OA,FN
Monocytes,14623,12632,6.724296345632579e-05,8.002721781325358e-05,S00293087,OA,FN
Neutrophils,807,657,6.724296345632579e-05,7.94224347672889e-05,S00293087,OA,FN
Plasma cells,14,14,7.396725980195837e-05,8.837646625688532e-05,S00293087,OA,FN
T cells,455,355,4.034577807379547e-05,5.121830230588871e-05,S00293087,OA,FN
Vascular cells,12285,8410,6.724296345632579e-05,7.201153698847236e-05,S00293087,OA,FN
B cells,174,161,8.069155614759094e-05,8.194453062193242e-05,S00293087,OA,COL1A1bis
CD4 T cells,658,583,6.724296345632579e-05,7.732364099677669e-05,S00293087,OA,COL1A1bis
CD8 T cells,758,704,6.724296345632579e-05,8.181863991006914e-05,S00293087,OA,COL1A1bis
Dendritic cells,677,555,5.379437076506063e-05,7.019923067854984e-05,S00293087,OA,COL1A1bis
MERTK+ Macrophages,28,15,6.724296345632579e-05,5.469094361114498e-05,S00293087,OA,COL1A1bis
Macrophages,13582,6799,2.6897185382530314e-05,3.550555064100744e-05,S00293087,OA,COL1A1bis
Monocytes,14623,10500,5.379437076506063e-05,6.332109766388255e-05,S00293087,OA,COL1A1bis
Neutrophils,807,554,5.379437076506063e-05,6.267918109900114e-05,S00293087,OA,COL1A1bis
Plasma cells,14,11,6.724296345632579e-05,7.213336079860403e-05,S00293087,OA,COL1A1bis
T cells,455,266,2.6897185382530314e-05,3.877846088045254e-05,S00293087,OA,COL1A1bis
Vascular cells,12285,11391,6.724296345632579e-05,7.429606614595954e-05,S00293087,OA,COL1A1bis
B cells,174,172,0.00010758874153012126,0.00010493029878882467,S00293087,OA,MFAP5
CD4 T cells,658,649,9.41401488388561e-05,9.314549175229104e-05,S00293087,OA,MFAP5
CD8 T cells,758,755,9.41401488388561e-05,9.816582029345998e-05,S00293087,OA,MFAP5
Dendritic cells,677,619,9.41401488388561e-05,9.190233777714316e-05,S00293087,OA,MFAP5
MERTK+ Macrophages,28,28,6.724296345632579e-05,6.43611221653404e-05,S00293087,OA,MFAP5
Macrophages,13582,13091,6.724296345632579e-05,7.040812380173775e-05,S00293087,OA,MFAP5
Monocytes,14623,14278,8.069155614759094e-05,8.377725370023029e-05,S00293087,OA,MFAP5
Neutrophils,807,723,6.724296345632579e-05,7.929647391820659e-05,S00293087,OA,MFAP5
Plasma cells,14,14,6.724296345632579e-05,8.837646625688532e-05,S00293087,OA,MFAP5
T cells,455,439,5.379437076506063e-05,6.947928980362045e-05,S00293087,OA,MFAP5
Vascular cells,12285,12160,8.069155614759094e-05,9.067182756584562e-05,S00293087,OA,MFAP5
