imageid,pathology,phenotype,COL6A1_zone,n_cells,fraction
JRP144,OA,Macrophages,COL6A1-rich,1035,0.15830529213826858
JRP144,OA,Monocytes,COL6A1-poor,9239,0.7096551194408173
JRP144,OA,Monocytes,COL6A1-rich,3780,0.2903448805591827
JRP144,OA,Neutrophils,COL6A1-poor,848,0.8565656565656565
JRP144,OA,Neutrophils,COL6A1-rich,142,0.14343434343434344
JRP144,OA,Plasma cells,COL6A1-poor,117,0.609375
JRP144,OA,Plasma cells,COL6A1-rich,75,0.390625
JRP144,OA,T cells,COL6A1-poor,368,0.7345309381237525
JRP144,OA,T cells,COL6A1-rich,133,0.2654690618762475
JRP144,OA,Vascular cells,COL6A1-poor,4733,0.730852378011118
JRP144,OA,Vascular cells,COL6A1-rich,1743,0.26914762198888204
S00292623,OA,B cells,COL6A1-poor,2009,0.4895224171539961
S00292623,OA,B cells,COL6A1-rich,2095,0.5104775828460039
S00292623,OA,CD4 T cells,COL6A1-poor,1800,0.5110732538330494
S00292623,OA,CD4 T cells,COL6A1-rich,1722,0.4889267461669506
S00292623,OA,CD8 T cells,COL6A1-poor,1763,0.5278443113772455
S00292623,OA,CD8 T cells,COL6A1-rich,1577,0.4721556886227545
S00292623,OA,Dendritic cells,COL6A1-poor,1200,0.49813200498132004
S00292623,OA,Dendritic cells,COL6A1-rich,1209,0.50186799501868
S00292623,OA,MERTK+ Macrophages,COL6A1-poor,3,1.0
S00292623,OA,Macrophages,COL6A1-poor,4969,0.7173379529377797
S00292623,OA,Macrophages,COL6A1-rich,1958,0.2826620470622203
S00292623,OA,Monocytes,COL6A1-poor,38965,0.6500992709011129
S00292623,OA,Monocytes,COL6A1-rich,20972,0.34990072909888714
S00292623,OA,Neutrophils,COL6A1-poor,2170,0.7954545454545454
S00292623,OA,Neutrophils,COL6A1-rich,558,0.20454545454545456
S00292623,OA,Plasma cells,COL6A1-poor,1390,0.49360795454545453
S00292623,OA,Plasma cells,COL6A1-rich,1426,0.5063920454545454
S00292623,OA,T cells,COL6A1-poor,489,0.7546296296296297
S00292623,OA,T cells,COL6A1-rich,159,0.24537037037037038
S00292623,OA,Vascular cells,COL6A1-poor,9699,0.6928846978139734
S00292623,OA,Vascular cells,COL6A1-rich,4299,0.30711530218602656
S00293087,OA,B cells,COL6A1-poor,122,0.7052023121387283
S00293087,OA,B cells,COL6A1-rich,51,0.2947976878612717
S00293087,OA,CD4 T cells,COL6A1-poor,437,0.6743827160493827
S00293087,OA,CD4 T cells,COL6A1-rich,211,0.3256172839506173
S00293087,OA,CD8 T cells,COL6A1-poor,467,0.6185430463576159
S00293087,OA,CD8 T cells,COL6A1-rich,288,0.38145695364238413
S00293087,OA,Dendritic cells,COL6A1-poor,401,0.6446945337620579
S00293087,OA,Dendritic cells,COL6A1-rich,221,0.3553054662379421
S00293087,OA,MERTK+ Macrophages,COL6A1-poor,26,0.9285714285714286
S00293087,OA,MERTK+ Macrophages,COL6A1-rich,2,0.07142857142857142
S00293087,OA,Macrophages,COL6A1-poor,11137,0.8348575712143929
S00293087,OA,Macrophages,COL6A1-rich,2203,0.1651424287856072
S00293087,OA,Monocytes,COL6A1-poor,10898,0.7562803608605135
S00293087,OA,Monocytes,COL6A1-rich,3512,0.24371963913948647
S00293087,OA,Neutrophils,COL6A1-poor,611,0.8301630434782609
S00293087,OA,Neutrophils,COL6A1-rich,125,0.16983695652173914
S00293087,OA,Plasma cells,COL6A1-poor,8,0.5714285714285714
S00293087,OA,Plasma cells,COL6A1-rich,6,0.42857142857142855
S00293087,OA,T cells,COL6A1-poor,387,0.8580931263858093
S00293087,OA,T cells,COL6A1-rich,64,0.1419068736141907
S00293087,OA,Vascular cells,COL6A1-poor,8870,0.728123460843868
S00293087,OA,Vascular cells,COL6A1-rich,3312,0.271876539156132
