feature
xenium_epithelial_identity_score
xenium_panin_like_remodeling_score
xenium_proliferation_score
xenium_desmoplastic_context_score
xenium_immune_context_score
xenium_checkpoint_context_score
xenium_nuclear_dapi_texture_score
topology__skeleton_n_edges
topology__skeleton_leaf_fraction
topology__skeleton_branchpoint_fraction
topology__skeleton_avg_degree
topology__skeleton_degree_cv
topology__skeleton_mean_edge_length
topology__skeleton_edge_length_cv
topology__skeleton_diameter
topology__skeleton_tortuosity
geometry__mean_edge_length
geometry__edge_length_std
geometry__edge_length_cv
geometry__orientation_entropy
geometry__orientation_coherence
geometry__mean_radial_distance
geometry__radial_distance_cv
geometry__node_cloud_anisotropy
geometry__node_cloud_elongation
geometry__minor_axis_span
geometry__span_ratio
geometry__spatial_entropy
geometry__nearest_neighbor_distance_cv
geometry__hull_circularity
geometry__cell_density_hull
geometry__edge_density_hull
geometry__cells_per_major_axis_span
state__AGR3_expr_z__mean
state__AGR3_expr_z__median
state__AGR3_expr_z__std
state__AGR3_expr_z__iqr
state__AGR3_expr_z__p10
state__AGR3_expr_z__p90
state__EPCAM_expr_z__mean
state__EPCAM_expr_z__median
state__EPCAM_expr_z__std
state__EPCAM_expr_z__iqr
state__EPCAM_expr_z__p10
state__EPCAM_expr_z__p90
state__KRT7_expr_z__mean
state__KRT7_expr_z__median
state__KRT7_expr_z__std
state__KRT7_expr_z__iqr
state__KRT7_expr_z__p10
state__KRT7_expr_z__p90
state__MKI67_expr_z__mean
state__MKI67_expr_z__median
state__MKI67_expr_z__std
state__MKI67_expr_z__iqr
state__MKI67_expr_z__p10
state__MKI67_expr_z__p90
state__TFF2_expr_z__mean
state__TFF2_expr_z__median
state__TFF2_expr_z__std
state__TFF2_expr_z__iqr
state__TFF2_expr_z__p10
state__TFF2_expr_z__p90
state__TOP2A_expr_z__mean
state__TOP2A_expr_z__median
state__TOP2A_expr_z__std
state__TOP2A_expr_z__iqr
state__TOP2A_expr_z__p10
state__TOP2A_expr_z__p90
state__UBE2C_expr_z__mean
state__UBE2C_expr_z__median
state__UBE2C_expr_z__std
state__UBE2C_expr_z__iqr
state__UBE2C_expr_z__p10
state__UBE2C_expr_z__p90
state__dapi_area_um2__mean
state__dapi_area_um2__median
state__dapi_area_um2__std
state__dapi_area_um2__iqr
state__dapi_area_um2__p10
state__dapi_area_um2__p90
state__dapi_entropy_z__mean
state__dapi_entropy_z__median
state__dapi_entropy_z__std
state__dapi_entropy_z__iqr
state__dapi_entropy_z__p10
state__dapi_entropy_z__p90
state__dapi_inertia_z__mean
state__dapi_inertia_z__median
state__dapi_inertia_z__std
state__dapi_inertia_z__iqr
state__dapi_inertia_z__p10
state__dapi_inertia_z__p90
state__dapi_iqr_z__mean
state__dapi_iqr_z__median
state__dapi_iqr_z__std
state__dapi_iqr_z__iqr
state__dapi_iqr_z__p10
state__dapi_iqr_z__p90
state__dapi_lacunarity_z__mean
state__dapi_lacunarity_z__median
state__dapi_lacunarity_z__std
state__dapi_lacunarity_z__iqr
state__dapi_lacunarity_z__p10
state__dapi_lacunarity_z__p90
state__dapi_mean_z__mean
state__dapi_mean_z__median
state__dapi_mean_z__std
state__dapi_mean_z__iqr
state__dapi_mean_z__p10
state__dapi_mean_z__p90
state__dapi_polarity_score_z__mean
state__dapi_polarity_score_z__median
state__dapi_polarity_score_z__std
state__dapi_polarity_score_z__iqr
state__dapi_polarity_score_z__p10
state__dapi_polarity_score_z__p90
state__dapi_std_z__mean
state__dapi_std_z__median
state__dapi_std_z__std
state__dapi_std_z__iqr
state__dapi_std_z__p10
state__dapi_std_z__p90
state__dapi_total_intensity_z__mean
state__dapi_total_intensity_z__median
state__dapi_total_intensity_z__std
state__dapi_total_intensity_z__iqr
state__dapi_total_intensity_z__p10
state__dapi_total_intensity_z__p90
state__nucleus_boundary_circularity__mean
state__nucleus_boundary_circularity__median
state__nucleus_boundary_circularity__std
state__nucleus_boundary_circularity__iqr
state__nucleus_boundary_circularity__p10
state__nucleus_boundary_circularity__p90
state__nucleus_boundary_feret_diameter_max__mean
state__nucleus_boundary_feret_diameter_max__median
state__nucleus_boundary_feret_diameter_max__std
state__nucleus_boundary_feret_diameter_max__iqr
