sample_id,disease_group,gene,present
normal_nondiseased_v1,NormalPancreas,KRT7,True
normal_nondiseased_v1,NormalPancreas,KRT8,False
normal_nondiseased_v1,NormalPancreas,KRT18,False
normal_nondiseased_v1,NormalPancreas,KRT19,False
normal_nondiseased_v1,NormalPancreas,SOX9,False
normal_nondiseased_v1,NormalPancreas,MUC1,False
normal_nondiseased_v1,NormalPancreas,MUC5AC,False
normal_nondiseased_v1,NormalPancreas,TFF1,False
normal_nondiseased_v1,NormalPancreas,TFF2,True
normal_nondiseased_v1,NormalPancreas,TFF3,False
normal_nondiseased_v1,NormalPancreas,CEACAM5,False
normal_nondiseased_v1,NormalPancreas,CEACAM6,False
normal_nondiseased_v1,NormalPancreas,AGR2,False
normal_nondiseased_v1,NormalPancreas,AGR3,True
normal_nondiseased_v1,NormalPancreas,S100P,False
normal_nondiseased_v1,NormalPancreas,MKI67,True
normal_nondiseased_v1,NormalPancreas,UBE2C,True
normal_nondiseased_v1,NormalPancreas,TOP2A,True
normal_nondiseased_v1,NormalPancreas,CENPF,True
normal_nondiseased_v1,NormalPancreas,CDK1,True
normal_nondiseased_v1,NormalPancreas,ACTA2,True
normal_nondiseased_v1,NormalPancreas,PDGFRA,True
normal_nondiseased_v1,NormalPancreas,FAP,False
normal_nondiseased_v1,NormalPancreas,THY1,True
normal_nondiseased_v1,NormalPancreas,PDPN,True
normal_nondiseased_v1,NormalPancreas,DCN,False
normal_nondiseased_v1,NormalPancreas,LUM,False
normal_nondiseased_v1,NormalPancreas,VIM,False
normal_nondiseased_v1,NormalPancreas,PECAM1,True
normal_nondiseased_v1,NormalPancreas,VWF,True
normal_nondiseased_v1,NormalPancreas,KDR,False
normal_nondiseased_v1,NormalPancreas,CDH5,False
normal_nondiseased_v1,NormalPancreas,PTPRC,True
normal_nondiseased_v1,NormalPancreas,CD3D,True
normal_nondiseased_v1,NormalPancreas,CD3E,True
normal_nondiseased_v1,NormalPancreas,CD4,True
normal_nondiseased_v1,NormalPancreas,CD8A,True
normal_nondiseased_v1,NormalPancreas,FOXP3,True
normal_nondiseased_v1,NormalPancreas,GZMB,True
normal_nondiseased_v1,NormalPancreas,NKG7,True
normal_nondiseased_v1,NormalPancreas,CD19,True
normal_nondiseased_v1,NormalPancreas,MS4A1,True
normal_nondiseased_v1,NormalPancreas,CD79A,True
normal_nondiseased_v1,NormalPancreas,MZB1,True
normal_nondiseased_v1,NormalPancreas,JCHAIN,False
normal_nondiseased_v1,NormalPancreas,SDC1,False
normal_nondiseased_v1,NormalPancreas,LST1,False
normal_nondiseased_v1,NormalPancreas,LYZ,False
