fov,label,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,area,eccentricity,euler_number,alignment_score
fov0,1,449.37226277372264,14012.209245742093,24.275540074840112,21.680589944117575,0.19382293824760252,411,0.44984959314989353,1,
fov0,2,475.70575916230365,14130.4554973822,119.90755707980337,25.633718541550508,1.204551327638342,1910,0.9768820481317136,1,0.8963316317571651
fov0,3,486.1154791154791,14036.618345618346,68.91882297062368,28.572693978699263,-1.3823201784743628,1221,0.9100106994926962,1,1.1160208715345254
fov0,4,612.8021804392479,13956.70011060199,335.5022607811171,84.3388898606795,-0.09149835641469757,6329,0.9678882160499281,1,0.5460107604929108
fov0,5,522.4426020408164,13857.620535714286,107.36176435759617,47.33513873930905,1.5276566432234022,1568,0.8975592664428929,1,1.1968765980879563
fov0,6,1496.9851111096107,13656.631126896562,2205.8482964593,469.59095063177426,-0.3635330665657459,148097,0.9770773675297932,-17,0.21036517870311733
fov0,7,560.522491349481,13828.368512110726,48.34927046553172,21.5348997664839,-0.14334474783905585,578,0.8953303067707331,1,0.5560283636675583
fov0,9,649.7186147186147,14071.452380952382,100.58678273272928,42.616282459006285,0.37891549654174045,1386,0.9058134470812409,1,0.7087641800159151
fov0,10,631.7203647416413,11227.683890577508,22.596365701969884,18.577069516931562,-1.5704783385247323,329,0.5693049528640304,1,
fov0,11,637.7543859649123,13900.22105263158,31.22324264430993,13.295321704415993,-1.4787271965757733,285,0.9048102991676913,1,0.8965298224842722
fov0,14,705.0645724258289,13777.724258289703,62.483174233782584,16.78674534081053,-0.7503873143981791,573,0.9632350019329848,1,0.23835737734343124
fov0,15,716.3317422434368,14000.26968973747,24.54772211190337,21.757676027054806,-1.4396949283227882,419,0.46303124882867963,1,
fov0,16,731.1395498392283,13869.14726688103,119.86468857083807,28.200541050771818,-1.1407070343301784,1555,0.9719301015064257,1,0.17023311318822865
fov0,17,733.1851106639839,14049.728370221328,45.069773070406335,18.462885049669108,-0.7451262885723543,497,0.9122422501296387,1,0.37345883839681426
fov0,18,726.872641509434,14095.299528301886,33.000490819402785,17.872424313862165,-0.984328428814074,424,0.840648854467522,1,
fov0,19,748.6475195822454,14009.01044386423,26.165444958683455,18.833923659936303,1.4233786117807627,383,0.6941800619975989,1,
fov0,20,825.0727434679335,13918.001187648457,220.21708361583018,44.33391803673486,-0.7968405324955669,3368,0.9795256996537305,1,0.14902743797841742
fov0,21,815.1099088838268,13853.48861047836,129.71006882969604,31.222257137064915,-0.8599620962176726,1756,0.9705975669031635,1,0.11714935016754494
fov0,23,817.5096153846154,13667.634615384615,16.87961959071811,8.284514240464311,0.5467318613351073,104,0.8712723670801941,1,0.6768375729960996
fov0,24,845.5876288659794,13759.137457044673,65.00321510447762,20.062529214375097,-1.213196917578111,873,0.9511792415537887,1,0.5577266480468932
fov0,25,881.9798515376458,13646.511134676564,103.1377967266242,15.083049769376757,0.0914920000659041,943,0.9892488850410494,1,0.6022564642196772
fov0,26,863.2184466019418,13931.291262135923,30.86401811457012,20.782981540841686,1.4984327217328919,412,0.7393033574223502,1,
fov0,27,987.2086894586895,13624.369658119658,89.12975178890638,45.90006685409452,0.16894810166629973,1404,0.857202009087888,1,
