,annotation_level1,annotation_level2,annotation_level3,Ki67_status,Tier_A,Tier_B
40331_1_1126725,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1126756,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1126775,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1126855,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1126867,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1126915,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1126974,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127054,Lymphocytes,T cells,CD8 T cells,Unknown,T cells,CD8 T cells
40331_1_1127095,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127156,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127183,Endothelial cells,Endothelial cells,Endothelial cells,Unknown,Endothelial cells,Endothelial cells
40331_1_1127200,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127253,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1127276,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127311,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127324,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127349,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1127491,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127547,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1127548,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127622,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127659,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127698,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1127699,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127707,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127708,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1127727,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1127737,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127775,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1127819,Endothelial cells,Endothelial cells,Endothelial cells,Unknown,Endothelial cells,Endothelial cells
40331_1_1127835,Endothelial cells,Endothelial cells,Endothelial cells,Unknown,Endothelial cells,Endothelial cells
40331_1_1127890,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1127923,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127931,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1127932,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128026,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128027,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1128028,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128133,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128168,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128207,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128248,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128294,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1128302,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128374,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1128375,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128405,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128455,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128510,Endothelial cells,Endothelial cells,Endothelial cells,Unknown,Endothelial cells,Endothelial cells
40331_1_1128554,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1128573,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128610,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1128623,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128655,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128669,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128708,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128709,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128727,Endothelial cells,Endothelial cells,Endothelial cells,Unknown,Endothelial cells,Endothelial cells
40331_1_1128753,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1128810,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1128825,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128877,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128893,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128894,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1128928,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
40331_1_1128929,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1128948,Endothelial cells,Endothelial cells,Endothelial cells,Unknown,Endothelial cells,Endothelial cells
40331_1_1128949,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1128959,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129053,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1129054,Endothelial cells,Endothelial cells,Endothelial cells,Unknown,Endothelial cells,Endothelial cells
40331_1_1129120,Endothelial cells,Endothelial cells,Endothelial cells,Unknown,Endothelial cells,Endothelial cells
40331_1_1129177,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129191,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1129210,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1129211,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129251,Fibroblasts,Fibroblasts,aSMA+FAP-Thy1-PDPN- fibroblasts,Unknown,Fibroblasts,aSMA+FAP-Thy1-PDPN- fibroblasts
40331_1_1129264,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129265,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129266,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129286,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1129287,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129299,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129300,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129345,Fibroblasts,Fibroblasts,aSMA+FAP-Thy1-PDPN- fibroblasts,Unknown,Fibroblasts,aSMA+FAP-Thy1-PDPN- fibroblasts
40331_1_1129395,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129396,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129397,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1129408,Endothelial cells,Endothelial cells,Endothelial cells,Unknown,Endothelial cells,Endothelial cells
40331_1_1129426,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129459,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129580,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129591,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1129612,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129631,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129675,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1129688,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
