,annotation_level1,annotation_level2,annotation_level3,Ki67_status,Tier_A,Tier_B
40331_1_1167039,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167040,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167041,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167042,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167045,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1167046,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167047,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167049,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167050,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167051,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167052,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167053,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167054,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167055,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167056,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1167057,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167059,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167060,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167062,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167063,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167064,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167065,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167066,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167067,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167068,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167069,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167070,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167071,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167072,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1167073,Endothelial cells,Endothelial cells,Endothelial cells,Unknown,Endothelial cells,Endothelial cells
40331_1_1167074,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167075,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167076,Endothelial cells,Endothelial cells,Endothelial cells,Unknown,Endothelial cells,Endothelial cells
40331_1_1167077,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167080,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167081,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167082,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167083,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167084,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167085,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167086,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167088,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167089,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167090,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167091,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167092,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167095,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167096,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167099,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167100,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1167101,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167102,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167105,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167106,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167107,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167108,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167109,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1167110,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167111,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167112,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167113,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167115,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167116,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167117,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167120,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167121,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167122,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167123,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167124,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167125,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167126,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167127,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167130,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167131,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167132,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167133,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
40331_1_1167134,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167135,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167136,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167137,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167138,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1167140,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167141,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167147,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167148,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167149,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167150,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167151,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167152,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167153,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167154,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167155,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167156,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167157,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167158,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167159,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167161,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1167162,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167163,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167165,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167166,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167167,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167168,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167169,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1167170,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167171,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167172,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167176,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167177,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167178,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167179,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167180,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167181,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167183,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167184,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167185,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167186,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167187,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167189,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167190,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167191,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1167192,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1167193,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167194,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167196,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167197,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167199,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167200,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167201,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167202,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167203,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167204,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167205,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167206,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1167207,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167208,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167209,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1167210,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167211,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167212,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167213,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167214,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167215,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167216,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167217,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167218,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167219,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167220,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167221,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167224,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167225,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167226,Vimentin only mesenchyme,Vimentin only mesenchyme,Vimentin only mesenchyme,Unknown,Vimentin only mesenchyme,Vimentin only mesenchyme
40331_1_1167227,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167228,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167229,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167230,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167234,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167235,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167236,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167237,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167240,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167241,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167242,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167243,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167244,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167245,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167248,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167249,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167250,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167251,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167252,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167256,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167257,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167258,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167259,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167260,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167263,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167264,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167265,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167266,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167267,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167269,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167270,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic ductal epithelium,pancreatic ductal epithelium
40331_1_1167271,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167272,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167276,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167277,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167278,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167279,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167280,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167281,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167282,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167283,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167284,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167285,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167286,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167287,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
40331_1_1167288,Epithelial_tumor,Epithelial_tumor,Epithelial_tumor,Unknown,pancreatic acinar epithelium,pancreatic acinar epithelium
