,annotation,annotation_level2,annotated_clusters_update3
exp_30537,tumour,stroma-immune,Unknown
exp_30538,tumour,tumour,tumour
exp_30539,tumour,tumour,tumour
exp_30540,tumour,tumour,tumour
exp_30541,tumour,tumour,tumour
exp_30542,tumour,tumour,tumour
exp_30543,tumour,tumour,tumour
exp_30544,tumour,tumour,tumour
exp_30545,stroma-fib,stroma-fib,myCAFs
exp_30546,tumour,tumour,tumour
exp_30547,tumour,tumour,tumour
exp_30548,tumour,tumour,tumour
exp_30549,tumour,tumour,tumour
exp_30550,stroma-fib,stroma-fib,myCAFs
exp_30551,tumour,tumour,tumour
exp_30552,stroma-immune,vessel,vessel
exp_30553,stroma-fib,stroma-immune,other immune cells
exp_30554,stroma-immune,vessel,vessel
exp_30555,stroma-immune,stroma-immune,other immune cells
exp_30556,tumour,tumour,tumour
exp_30557,stroma-fib,stroma-fib,myCAFs
exp_30558,stroma-fib,stroma-fib,myCAFs
exp_30559,tumour,tumour,tumour
exp_30560,tumour,tumour,tumour
exp_30561,tumour,tumour,tumour
exp_30562,tumour,tumour,tumour
exp_30563,stroma-immune,vessel,vessel
exp_30564,stroma-fib,stroma-immune,Unknown
exp_30565,stroma-fib,stroma-fib,myCAFs
exp_30566,stroma-immune,vessel,vessel
exp_30567,tumour,stroma-immune,other immune cells
exp_30568,stroma-fib,stroma-fib,myCAFs
exp_30569,stroma-immune,vessel,vessel
exp_30570,tumour,tumour,tumour
exp_30571,tumour,tumour,tumour
exp_30572,tumour,stroma-immune,T cells
exp_30573,tumour,stroma-immune,Unknown
exp_30574,stroma-fib,stroma-fib,myCAFs
exp_30575,tumour,stroma-immune,other immune cells
exp_30576,tumour,tumour,tumour
exp_30577,tumour,tumour,tumour
exp_30578,tumour,tumour,tumour
exp_30579,tumour,stroma-immune,Unknown
exp_30580,stroma-immune,vessel,vessel
exp_30581,stroma-immune,stroma-immune,other immune cells
exp_30582,stroma-fib,stroma-immune,CD4 T cells
exp_30583,stroma-fib,stroma-fib,myCAFs
exp_30584,stroma-fib,stroma-fib,myCAFs
exp_30585,stroma-fib,stroma-fib,myCAFs
exp_30586,tumour,tumour,tumour
exp_30587,stroma-fib,stroma-immune,other immune cells
exp_30588,tumour,tumour,tumour
exp_30589,stroma-fib,stroma-fib,myCAFs
exp_30590,tumour,tumour,tumour
exp_30591,tumour,tumour,tumour
exp_30592,tumour,tumour,tumour
exp_30593,tumour,tumour,tumour
exp_30594,tumour,tumour,tumour
exp_30595,tumour,tumour,tumour
exp_30596,tumour,tumour,tumour
exp_30597,tumour,tumour,tumour
exp_30598,stroma-fib,stroma-fib,PDPN+ CAFs
exp_30599,tumour,tumour,tumour
exp_30600,tumour,tumour,tumour
exp_30601,stroma-fib,stroma-fib,myCAFs
