,annotation,annotation_level2,annotated_clusters_update3
exp_0,noise,noise,noise
exp_1,noise,noise,noise
exp_2,noise,noise,noise
exp_3,noise,noise,noise
exp_4,noise,noise,noise
exp_5,noise,noise,noise
exp_6,noise,noise,noise
exp_7,noise,noise,noise
exp_8,noise,noise,noise
exp_9,noise,noise,noise
exp_10,noise,noise,noise
exp_11,noise,noise,noise
exp_12,noise,noise,noise
exp_13,noise,noise,noise
exp_14,noise,noise,noise
exp_15,noise,noise,noise
exp_16,noise,noise,noise
exp_17,noise,noise,noise
exp_18,noise,noise,noise
exp_19,noise,noise,noise
exp_20,noise,noise,noise
exp_21,noise,noise,noise
exp_22,noise,noise,noise
exp_23,noise,noise,noise
exp_24,noise,noise,noise
exp_25,noise,noise,noise
exp_26,noise,noise,noise
exp_27,noise,noise,noise
exp_28,noise,noise,noise
exp_29,noise,noise,noise
exp_30,noise,noise,noise
exp_31,noise,noise,noise
exp_32,noise,noise,noise
exp_33,noise,noise,noise
exp_34,noise,noise,noise
exp_35,noise,noise,noise
exp_36,noise,noise,noise
exp_37,noise,noise,noise
exp_38,noise,noise,noise
exp_39,noise,noise,noise
exp_40,noise,noise,noise
exp_41,noise,noise,noise
exp_42,noise,noise,noise
exp_43,noise,noise,noise
exp_44,noise,noise,noise
exp_45,noise,noise,noise
exp_46,noise,noise,noise
exp_47,noise,noise,noise
exp_48,noise,noise,noise
exp_49,noise,noise,noise
exp_50,noise,noise,noise
exp_51,noise,noise,noise
exp_52,noise,noise,noise
exp_53,noise,noise,noise
exp_54,noise,noise,noise
exp_55,noise,noise,noise
exp_56,noise,noise,noise
exp_57,noise,noise,noise
exp_58,noise,noise,noise
exp_59,noise,noise,noise
exp_60,noise,noise,noise
exp_61,noise,noise,noise
exp_62,noise,noise,noise
exp_63,noise,noise,noise
exp_64,noise,noise,noise
exp_65,noise,noise,noise
exp_66,noise,noise,noise
exp_67,noise,noise,noise
exp_68,noise,noise,noise
exp_69,noise,noise,noise
exp_70,noise,noise,noise
exp_71,noise,noise,noise
exp_72,tumour,tumour,tumour
exp_73,noise,noise,noise
exp_74,tumour,tumour,tumour
exp_75,noise,noise,noise
exp_76,noise,noise,noise
exp_77,noise,noise,noise
exp_78,noise,noise,noise
exp_79,noise,noise,noise
exp_80,noise,noise,noise
exp_81,noise,noise,noise
exp_82,noise,noise,noise
exp_83,noise,noise,noise
exp_84,noise,noise,noise
exp_85,noise,noise,noise
exp_86,noise,noise,noise
exp_87,noise,noise,noise
exp_88,noise,noise,noise
exp_89,noise,noise,noise
exp_90,tumour,tumour,tumour
exp_91,noise,noise,noise
exp_92,tumour,tumour,tumour
exp_93,noise,noise,noise
exp_94,noise,noise,noise
exp_95,noise,noise,noise
exp_96,noise,noise,noise
exp_97,noise,noise,noise
exp_98,noise,noise,noise
exp_99,noise,noise,noise
exp_100,noise,noise,noise
exp_101,noise,noise,noise
exp_102,noise,noise,noise
exp_103,noise,noise,noise
exp_104,noise,noise,noise
exp_105,noise,noise,noise
exp_106,noise,noise,noise
exp_107,noise,noise,noise
exp_108,noise,noise,noise
exp_109,tumour,tumour,tumour
exp_110,noise,noise,noise
exp_111,noise,noise,noise
exp_112,noise,noise,noise
exp_113,noise,noise,noise
exp_114,noise,noise,noise
exp_115,noise,noise,noise
exp_116,noise,noise,noise
exp_117,noise,noise,noise
exp_118,tumour,tumour,tumour
exp_119,noise,noise,noise
exp_120,noise,noise,noise
exp_121,noise,noise,noise
exp_122,noise,noise,noise
exp_123,noise,noise,noise
exp_124,noise,noise,noise
exp_125,noise,noise,noise
exp_126,noise,noise,noise
exp_127,noise,noise,noise
exp_128,noise,noise,noise
exp_129,tumour,tumour,tumour
exp_130,noise,noise,noise
exp_131,noise,noise,noise
exp_132,noise,noise,noise
exp_133,noise,noise,noise
exp_134,noise,noise,noise
exp_135,noise,noise,noise
exp_136,noise,noise,noise
exp_137,noise,noise,noise
exp_138,noise,noise,noise
exp_139,noise,noise,noise
exp_140,noise,noise,noise
exp_141,noise,noise,noise
exp_142,noise,noise,noise
exp_143,noise,noise,noise
exp_144,noise,noise,noise
exp_145,tumour,tumour,tumour
exp_146,noise,noise,noise
exp_147,noise,noise,noise
exp_148,noise,noise,noise
exp_149,noise,noise,noise
exp_150,noise,noise,noise
exp_151,noise,noise,noise
exp_152,noise,noise,noise
exp_153,noise,noise,noise
exp_154,tumour,tumour,tumour
exp_155,noise,noise,noise
exp_156,noise,noise,noise
exp_157,noise,noise,noise
exp_158,noise,noise,noise
exp_159,noise,noise,noise
exp_160,noise,noise,noise
exp_161,noise,noise,noise
exp_162,noise,noise,noise
exp_163,tumour,tumour,tumour
exp_164,noise,noise,noise
exp_165,noise,noise,noise
exp_166,noise,noise,noise
exp_167,noise,noise,noise
exp_168,noise,noise,noise
exp_169,noise,noise,noise
exp_170,noise,noise,noise
exp_171,noise,noise,noise
exp_172,noise,noise,noise
exp_173,noise,noise,noise
exp_174,noise,noise,noise
exp_175,tumour,tumour,tumour
exp_176,noise,noise,noise
exp_177,noise,noise,noise
exp_178,noise,noise,noise
exp_179,noise,noise,noise
exp_180,noise,noise,noise
exp_181,noise,noise,noise
exp_182,noise,noise,noise
exp_183,noise,noise,noise
exp_184,noise,noise,noise
exp_185,noise,noise,noise
exp_186,noise,noise,noise
exp_187,noise,noise,noise
exp_188,noise,noise,noise
exp_189,noise,noise,noise
exp_190,stroma-fib,stroma-fib,CD90+ CAFs
exp_191,noise,noise,noise
exp_192,noise,noise,noise
exp_193,noise,noise,noise
exp_194,noise,noise,noise
exp_195,noise,noise,noise
exp_196,stroma-fib,stroma-fib,myCAFs
exp_197,noise,noise,noise
exp_198,noise,noise,noise
exp_199,noise,noise,noise
exp_200,noise,noise,noise
exp_201,noise,noise,noise
exp_202,noise,noise,noise
exp_203,tumour,tumour,tumour
exp_204,noise,noise,noise
exp_205,noise,noise,noise
exp_206,noise,noise,noise
exp_207,noise,noise,noise
exp_208,noise,noise,noise
exp_209,noise,noise,noise
exp_210,noise,noise,noise
exp_211,noise,noise,noise
exp_212,noise,noise,noise
exp_213,noise,noise,noise
exp_214,noise,noise,noise
exp_215,noise,noise,noise
exp_216,noise,noise,noise
exp_217,noise,noise,noise
exp_218,noise,noise,noise
exp_219,noise,noise,noise
exp_220,noise,noise,noise
exp_221,noise,noise,noise
exp_222,noise,noise,noise
exp_223,noise,noise,noise
exp_224,noise,noise,noise
exp_225,noise,noise,noise
exp_226,tumour,tumour,tumour
exp_227,noise,noise,noise
exp_228,tumour,tumour,tumour
exp_229,noise,noise,noise
exp_230,noise,noise,noise
exp_231,noise,noise,noise
exp_232,noise,noise,noise
exp_233,noise,noise,noise
exp_234,noise,noise,noise
exp_235,stroma-fib,stroma-fib,CD90+ CAFs
exp_236,noise,noise,noise
exp_237,noise,noise,noise
exp_238,noise,noise,noise
exp_239,noise,noise,noise
exp_240,noise,noise,noise
exp_241,noise,noise,noise
exp_242,noise,noise,noise
exp_243,noise,noise,noise
exp_244,noise,noise,noise
exp_245,noise,noise,noise
exp_246,tumour,tumour,tumour
exp_247,tumour,tumour,tumour
exp_248,noise,noise,noise
exp_249,noise,noise,noise
exp_250,noise,noise,noise
exp_251,tumour,tumour,tumour
exp_252,tumour,tumour,tumour
exp_253,noise,noise,noise
exp_254,noise,noise,noise
exp_255,noise,noise,noise
exp_256,tumour,tumour,tumour
exp_257,noise,noise,noise
exp_258,noise,noise,noise
exp_259,noise,noise,noise
exp_260,noise,noise,noise
exp_261,noise,noise,noise
exp_262,noise,noise,noise
exp_263,noise,noise,noise
exp_264,noise,noise,noise
exp_265,noise,noise,noise
exp_266,noise,noise,noise
exp_267,noise,noise,noise
exp_268,noise,noise,noise
exp_269,noise,noise,noise
exp_270,noise,noise,noise
exp_271,noise,noise,noise
exp_272,noise,noise,noise
exp_273,noise,noise,noise
exp_274,noise,noise,noise
exp_275,noise,noise,noise
exp_276,noise,noise,noise
exp_277,noise,noise,noise
exp_278,noise,noise,noise
exp_279,noise,noise,noise
exp_280,noise,noise,noise
exp_281,noise,noise,noise
exp_282,noise,noise,noise
exp_283,tumour,tumour,tumour
exp_284,noise,noise,noise
exp_285,noise,noise,noise
exp_286,noise,noise,noise
exp_287,noise,noise,noise
exp_288,tumour,tumour,tumour
exp_289,noise,noise,noise
exp_290,noise,noise,noise
exp_291,noise,noise,noise
exp_292,stroma-fib,stroma-fib,PDPN+ CAFs
exp_293,noise,noise,noise
exp_294,noise,noise,noise
exp_295,noise,noise,noise
exp_296,tumour,tumour,tumour
exp_297,noise,noise,noise
exp_298,noise,noise,noise
exp_299,noise,noise,noise
exp_300,noise,noise,noise
exp_301,noise,noise,noise
exp_302,noise,noise,noise
exp_303,noise,noise,noise
exp_304,noise,noise,noise
exp_305,noise,noise,noise
exp_306,noise,noise,noise
exp_307,noise,noise,noise
exp_308,noise,noise,noise
exp_309,noise,noise,noise
exp_310,noise,noise,noise
exp_311,noise,noise,noise
exp_312,noise,noise,noise
exp_313,noise,noise,noise
exp_314,noise,noise,noise
exp_315,noise,noise,noise
exp_316,noise,noise,noise
exp_317,noise,noise,noise
exp_318,tumour,tumour,tumour
exp_319,tumour,tumour,tumour
exp_320,noise,noise,noise
exp_321,noise,noise,noise
exp_322,noise,noise,noise
exp_323,noise,noise,noise
exp_324,noise,noise,noise
exp_325,tumour,tumour,tumour
exp_326,noise,noise,noise
exp_327,noise,noise,noise
exp_328,noise,noise,noise
exp_329,noise,noise,noise
exp_330,noise,noise,noise
exp_331,noise,noise,noise
exp_332,noise,noise,noise
exp_333,noise,noise,noise
exp_334,noise,noise,noise
exp_335,noise,noise,noise
exp_336,noise,noise,noise
exp_337,noise,noise,noise
exp_338,noise,noise,noise
exp_339,noise,noise,noise
exp_340,noise,noise,noise
exp_341,noise,noise,noise
exp_342,noise,noise,noise
exp_343,noise,noise,noise
exp_344,noise,noise,noise
exp_345,noise,noise,noise
exp_346,noise,noise,noise
exp_347,noise,noise,noise
exp_348,noise,noise,noise
exp_349,noise,noise,noise
exp_350,noise,noise,noise
exp_351,noise,noise,noise
exp_352,tumour,tumour,tumour
exp_353,noise,noise,noise
exp_354,tumour,tumour,tumour
exp_355,noise,noise,noise
exp_356,noise,noise,noise
exp_357,tumour,tumour,tumour
exp_358,noise,noise,noise
exp_359,noise,noise,noise
exp_360,noise,noise,noise
exp_361,tumour,tumour,tumour
exp_362,noise,noise,noise
exp_363,noise,noise,noise
exp_364,tumour,tumour,tumour
exp_365,noise,noise,noise
exp_366,noise,noise,noise
exp_367,noise,noise,noise
exp_368,noise,noise,noise
exp_369,noise,noise,noise
exp_370,noise,noise,noise
exp_371,noise,noise,noise
exp_372,noise,noise,noise
exp_373,noise,noise,noise
exp_374,noise,noise,noise
exp_375,noise,noise,noise
exp_376,noise,noise,noise
exp_377,noise,noise,noise
exp_378,noise,noise,noise
exp_379,tumour,tumour,tumour
exp_380,noise,noise,noise
exp_381,noise,noise,noise
exp_382,noise,noise,noise
exp_383,noise,noise,noise
exp_384,noise,noise,noise
exp_385,noise,noise,noise
exp_386,noise,noise,noise
exp_387,noise,noise,noise
exp_388,noise,noise,noise
exp_389,noise,noise,noise
exp_390,tumour,tumour,tumour
exp_391,tumour,tumour,tumour
exp_392,noise,noise,noise
exp_393,noise,noise,noise
exp_394,noise,noise,noise
exp_395,noise,noise,noise
exp_396,noise,noise,noise
exp_397,noise,noise,noise
exp_398,noise,noise,noise
exp_399,noise,noise,noise
exp_400,noise,noise,noise
exp_401,noise,noise,noise
exp_402,noise,noise,noise
exp_403,noise,noise,noise
exp_404,noise,noise,noise
exp_405,tumour,tumour,tumour
exp_406,noise,noise,noise
exp_407,noise,noise,noise
exp_408,noise,noise,noise
exp_409,noise,noise,noise
exp_410,noise,noise,noise
exp_411,noise,noise,noise
exp_412,noise,noise,noise
exp_413,noise,noise,noise
exp_414,noise,noise,noise
exp_415,noise,noise,noise
exp_416,noise,noise,noise
exp_417,tumour,tumour,tumour
exp_418,noise,noise,noise
exp_419,stroma-fib,stroma-immune,other immune cells
exp_420,noise,noise,noise
exp_421,noise,noise,noise
exp_422,noise,noise,noise
exp_423,tumour,tumour,tumour
exp_424,noise,noise,noise
exp_425,noise,noise,noise
exp_426,noise,noise,noise
exp_427,stroma-fib,stroma-fib,myCAFs
exp_428,noise,noise,noise
exp_429,noise,noise,noise
exp_430,noise,noise,noise
exp_431,noise,noise,noise
exp_432,noise,noise,noise
exp_433,noise,noise,noise
exp_434,noise,noise,noise
exp_435,noise,noise,noise
exp_436,noise,noise,noise
exp_437,noise,noise,noise
exp_438,noise,noise,noise
exp_439,noise,noise,noise
exp_440,noise,noise,noise
exp_441,noise,noise,noise
exp_442,noise,noise,noise
exp_443,noise,noise,noise
exp_444,noise,noise,noise
exp_445,noise,noise,noise
exp_446,tumour,tumour,tumour
exp_447,noise,noise,noise
exp_448,tumour,tumour,tumour
exp_449,noise,noise,noise
exp_450,noise,noise,noise
exp_451,noise,noise,noise
exp_452,noise,noise,noise
exp_453,noise,noise,noise
exp_454,noise,noise,noise
exp_455,noise,noise,noise
exp_456,noise,noise,noise
exp_457,stroma-fib,stroma-fib,myCAFs
exp_458,tumour,tumour,tumour
exp_459,noise,noise,noise
exp_460,noise,noise,noise
exp_461,noise,noise,noise
exp_462,noise,noise,noise
exp_463,noise,noise,noise
exp_464,noise,noise,noise
exp_465,tumour,tumour,tumour
exp_466,noise,noise,noise
exp_467,noise,noise,noise
exp_468,noise,noise,noise
exp_469,noise,noise,noise
exp_470,tumour,tumour,tumour
exp_471,stroma-fib,stroma-immune,other immune cells
exp_472,noise,noise,noise
exp_473,noise,noise,noise
exp_474,noise,noise,noise
exp_475,noise,noise,noise
exp_476,noise,noise,noise
exp_477,noise,noise,noise
exp_478,noise,noise,noise
exp_479,noise,noise,noise
exp_480,noise,noise,noise
exp_481,noise,noise,noise
exp_482,noise,noise,noise
exp_483,noise,noise,noise
exp_484,noise,noise,noise
exp_485,noise,noise,noise
exp_486,noise,noise,noise
exp_487,tumour,tumour,tumour
exp_488,noise,noise,noise
exp_489,noise,noise,noise
exp_490,noise,noise,noise
exp_491,tumour,tumour,tumour
exp_492,noise,noise,noise
exp_493,noise,noise,noise
exp_494,noise,noise,noise
exp_495,tumour,tumour,tumour
exp_496,noise,noise,noise
exp_497,noise,noise,noise
exp_498,noise,noise,noise
exp_499,noise,noise,noise
exp_500,noise,noise,noise
exp_501,noise,noise,noise
exp_502,noise,noise,noise
exp_503,noise,noise,noise
exp_504,noise,noise,noise
exp_505,noise,noise,noise
exp_506,noise,noise,noise
exp_507,noise,noise,noise
exp_508,noise,noise,noise
exp_509,noise,noise,noise
exp_510,noise,noise,noise
exp_511,stroma-fib,stroma-fib,myCAFs
exp_512,noise,noise,noise
exp_513,noise,noise,noise
exp_514,tumour,tumour,tumour
exp_515,tumour,tumour,tumour
exp_516,noise,noise,noise
exp_517,noise,noise,noise
exp_518,noise,noise,noise
exp_519,stroma-fib,stroma-fib,myCAFs
exp_520,noise,noise,noise
exp_521,noise,noise,noise
exp_522,noise,noise,noise
exp_523,noise,noise,noise
exp_524,noise,noise,noise
exp_525,noise,noise,noise
exp_526,noise,noise,noise
exp_527,noise,noise,noise
exp_528,noise,noise,noise
exp_529,noise,noise,noise
exp_530,noise,noise,noise
exp_531,tumour,tumour,tumour
exp_532,noise,noise,noise
exp_533,noise,noise,noise
exp_534,noise,noise,noise
exp_535,noise,noise,noise
exp_536,noise,noise,noise
exp_537,noise,noise,noise
exp_538,noise,noise,noise
exp_539,noise,noise,noise
exp_540,noise,noise,noise
exp_541,tumour,tumour,tumour
exp_542,noise,noise,noise
exp_543,noise,noise,noise
exp_544,noise,noise,noise
exp_545,noise,noise,noise
exp_546,tumour,tumour,tumour
exp_547,noise,noise,noise
exp_548,noise,noise,noise
exp_549,noise,noise,noise
exp_550,noise,noise,noise
exp_551,noise,noise,noise
exp_552,noise,noise,noise
exp_553,noise,noise,noise
exp_554,noise,noise,noise
exp_555,noise,noise,noise
exp_556,noise,noise,noise
exp_557,noise,noise,noise
exp_558,noise,noise,noise
exp_559,noise,noise,noise
exp_560,noise,noise,noise
exp_561,stroma-fib,stroma-fib,CD90+ CAFs
exp_562,noise,noise,noise
exp_563,noise,noise,noise
exp_564,noise,noise,noise
exp_565,tumour,tumour,tumour
exp_566,noise,noise,noise
exp_567,noise,noise,noise
exp_568,noise,noise,noise
exp_569,noise,noise,noise
exp_570,noise,noise,noise
exp_571,noise,noise,noise
exp_572,noise,noise,noise
exp_573,noise,noise,noise
exp_574,noise,noise,noise
exp_575,noise,noise,noise
exp_576,noise,noise,noise
exp_577,noise,noise,noise
exp_578,noise,noise,noise
exp_579,noise,noise,noise
exp_580,noise,noise,noise
exp_581,noise,noise,noise
exp_582,noise,noise,noise
exp_583,tumour,tumour,tumour
exp_584,noise,noise,noise
exp_585,tumour,tumour,tumour
exp_586,noise,noise,noise
exp_587,noise,noise,noise
exp_588,noise,noise,noise
exp_589,noise,noise,noise
exp_590,noise,noise,noise
exp_591,noise,noise,noise
exp_592,noise,noise,noise
exp_593,noise,noise,noise
exp_594,noise,noise,noise
exp_595,noise,noise,noise
exp_596,noise,noise,noise
exp_597,noise,noise,noise
exp_598,noise,noise,noise
exp_599,stroma-fib,stroma-fib,myCAFs
exp_600,noise,noise,noise
exp_601,noise,noise,noise
exp_602,noise,noise,noise
exp_603,noise,noise,noise
exp_604,noise,noise,noise
exp_605,noise,noise,noise
exp_606,noise,noise,noise
exp_607,tumour,tumour,tumour
exp_608,noise,noise,noise
exp_609,noise,noise,noise
exp_610,noise,noise,noise
exp_611,noise,noise,noise
exp_612,noise,noise,noise
exp_613,noise,noise,noise
exp_614,noise,noise,noise
exp_615,noise,noise,noise
exp_616,noise,noise,noise
exp_617,tumour,tumour,tumour
exp_618,noise,noise,noise
exp_619,noise,noise,noise
exp_620,noise,noise,noise
exp_621,noise,noise,noise
exp_622,noise,noise,noise
exp_623,noise,noise,noise
exp_624,noise,noise,noise
exp_625,noise,noise,noise
exp_626,noise,noise,noise
exp_627,noise,noise,noise
exp_628,noise,noise,noise
exp_629,noise,noise,noise
exp_630,noise,noise,noise
exp_631,noise,noise,noise
exp_632,noise,noise,noise
exp_633,noise,noise,noise
exp_634,noise,noise,noise
exp_635,noise,noise,noise
exp_636,noise,noise,noise
exp_637,noise,noise,noise
exp_638,noise,noise,noise
exp_639,noise,noise,noise
exp_640,noise,noise,noise
exp_641,noise,noise,noise
exp_642,noise,noise,noise
exp_643,noise,noise,noise
exp_644,noise,noise,noise
exp_645,noise,noise,noise
exp_646,noise,noise,noise
exp_647,noise,noise,noise
exp_648,noise,noise,noise
exp_649,noise,noise,noise
exp_650,noise,noise,noise
exp_651,noise,noise,noise
exp_652,noise,noise,noise
exp_653,noise,noise,noise
exp_654,noise,noise,noise
exp_655,noise,noise,noise
exp_656,noise,noise,noise
exp_657,noise,noise,noise
exp_658,noise,noise,noise
exp_659,noise,noise,noise
exp_660,noise,noise,noise
exp_661,tumour,tumour,tumour
exp_662,tumour,tumour,tumour
exp_663,stroma-fib,stroma-fib,CD90+ CAFs
exp_664,tumour,tumour,tumour
exp_665,noise,noise,noise
exp_666,tumour,tumour,tumour
exp_667,noise,noise,noise
exp_668,noise,noise,noise
exp_669,noise,noise,noise
exp_670,noise,noise,noise
exp_671,noise,noise,noise
exp_672,noise,noise,noise
exp_673,noise,noise,noise
exp_674,noise,noise,noise
exp_675,noise,noise,noise
exp_676,noise,noise,noise
exp_677,noise,noise,noise
exp_678,noise,noise,noise
exp_679,noise,noise,noise
exp_680,tumour,tumour,tumour
exp_681,noise,noise,noise
exp_682,noise,noise,noise
exp_683,noise,noise,noise
exp_684,noise,noise,noise
exp_685,noise,noise,noise
exp_686,noise,noise,noise
exp_687,noise,noise,noise
exp_688,noise,noise,noise
exp_689,noise,noise,noise
exp_690,noise,noise,noise
exp_691,tumour,tumour,tumour
exp_692,noise,noise,noise
exp_693,noise,noise,noise
exp_694,noise,noise,noise
exp_695,noise,noise,noise
exp_696,stroma-fib,stroma-fib,myCAFs
exp_697,noise,noise,noise
exp_698,noise,noise,noise
exp_699,noise,noise,noise
exp_700,noise,noise,noise
exp_701,noise,noise,noise
exp_702,noise,noise,noise
exp_703,noise,noise,noise
exp_704,noise,noise,noise
exp_705,noise,noise,noise
exp_706,noise,noise,noise
exp_707,noise,noise,noise
exp_708,noise,noise,noise
exp_709,noise,noise,noise
exp_710,noise,noise,noise
exp_711,noise,noise,noise
exp_712,noise,noise,noise
exp_713,noise,noise,noise
exp_714,tumour,tumour,tumour
exp_715,noise,noise,noise
exp_716,noise,noise,noise
exp_717,noise,noise,noise
exp_718,noise,noise,noise
exp_719,noise,noise,noise
exp_720,noise,noise,noise
exp_721,noise,noise,noise
exp_722,noise,noise,noise
exp_723,noise,noise,noise
exp_724,tumour,tumour,tumour
exp_725,noise,noise,noise
exp_726,noise,noise,noise
exp_727,noise,noise,noise
exp_728,tumour,tumour,tumour
exp_729,noise,noise,noise
exp_730,noise,noise,noise
exp_731,noise,noise,noise
exp_732,noise,noise,noise
exp_733,noise,noise,noise
exp_734,noise,noise,noise
exp_735,noise,noise,noise
exp_736,noise,noise,noise
exp_737,noise,noise,noise
exp_738,noise,noise,noise
exp_739,noise,noise,noise
exp_740,noise,noise,noise
exp_741,tumour,tumour,tumour
exp_742,noise,noise,noise
exp_743,noise,noise,noise
exp_744,noise,noise,noise
exp_745,noise,noise,noise
exp_746,noise,noise,noise
exp_747,noise,noise,noise
exp_748,noise,noise,noise
exp_749,noise,noise,noise
exp_750,noise,noise,noise
exp_751,noise,noise,noise
exp_752,noise,noise,noise
exp_753,tumour,tumour,tumour
exp_754,noise,noise,noise
exp_755,noise,noise,noise
exp_756,noise,noise,noise
exp_757,noise,noise,noise
exp_758,noise,noise,noise
exp_759,noise,noise,noise
exp_760,noise,noise,noise
exp_761,noise,noise,noise
exp_762,noise,noise,noise
exp_763,tumour,tumour,tumour
exp_764,tumour,tumour,tumour
exp_765,noise,noise,noise
exp_766,tumour,tumour,tumour
exp_767,noise,noise,noise
exp_768,noise,noise,noise
exp_769,noise,noise,noise
exp_770,noise,noise,noise
exp_771,noise,noise,noise
exp_772,noise,noise,noise
exp_773,noise,noise,noise
exp_774,noise,noise,noise
exp_775,noise,noise,noise
exp_776,tumour,tumour,tumour
exp_777,noise,noise,noise
exp_778,noise,noise,noise
exp_779,noise,noise,noise
exp_780,noise,noise,noise
exp_781,noise,noise,noise
exp_782,noise,noise,noise
exp_783,tumour,tumour,tumour
exp_784,noise,noise,noise
exp_785,noise,noise,noise
exp_786,noise,noise,noise
exp_787,tumour,tumour,tumour
exp_788,noise,noise,noise
exp_789,noise,noise,noise
exp_790,noise,noise,noise
exp_791,noise,noise,noise
exp_792,noise,noise,noise
exp_793,noise,noise,noise
exp_794,tumour,tumour,tumour
exp_795,noise,noise,noise
exp_796,noise,noise,noise
exp_797,noise,noise,noise
exp_798,tumour,tumour,tumour
exp_799,noise,noise,noise
exp_800,noise,noise,noise
exp_801,noise,noise,noise
exp_802,tumour,tumour,tumour
exp_803,noise,noise,noise
exp_804,noise,noise,noise
exp_805,noise,noise,noise
exp_806,noise,noise,noise
exp_807,noise,noise,noise
exp_808,noise,noise,noise
exp_809,tumour,tumour,tumour
exp_810,noise,noise,noise
exp_811,noise,noise,noise
exp_812,noise,noise,noise
exp_813,tumour,tumour,tumour
exp_814,noise,noise,noise
exp_815,noise,noise,noise
exp_816,noise,noise,noise
exp_817,noise,noise,noise
exp_818,noise,noise,noise
exp_819,noise,noise,noise
exp_820,tumour,tumour,tumour
exp_821,noise,noise,noise
exp_822,tumour,tumour,tumour
exp_823,noise,noise,noise
exp_824,noise,noise,noise
exp_825,tumour,tumour,tumour
exp_826,tumour,tumour,tumour
exp_827,noise,noise,noise
exp_828,noise,noise,noise
exp_829,noise,noise,noise
exp_830,noise,noise,noise
exp_831,noise,noise,noise
exp_832,noise,noise,noise
exp_833,noise,noise,noise
exp_834,tumour,stroma-immune,T cells
exp_835,noise,noise,noise
exp_836,tumour,tumour,tumour
exp_837,tumour,tumour,tumour
exp_838,noise,noise,noise
exp_839,noise,noise,noise
exp_840,noise,noise,noise
exp_841,noise,noise,noise
exp_842,noise,noise,noise
exp_843,noise,noise,noise
exp_844,noise,noise,noise
exp_845,tumour,tumour,tumour
exp_846,noise,noise,noise
exp_847,noise,noise,noise
exp_848,noise,noise,noise
exp_849,noise,noise,noise
exp_850,tumour,tumour,tumour
exp_851,noise,noise,noise
exp_852,tumour,tumour,tumour
exp_853,noise,noise,noise
exp_854,noise,noise,noise
exp_855,noise,noise,noise
exp_856,tumour,tumour,tumour
exp_857,noise,noise,noise
exp_858,noise,noise,noise
exp_859,tumour,tumour,tumour
exp_860,noise,noise,noise
exp_861,noise,noise,noise
exp_862,noise,noise,noise
exp_863,noise,noise,noise
exp_864,noise,noise,noise
exp_865,tumour,tumour,tumour
exp_866,noise,noise,noise
exp_867,tumour,tumour,tumour
exp_868,tumour,tumour,tumour
exp_869,noise,noise,noise
exp_870,noise,noise,noise
exp_871,noise,noise,noise
exp_872,noise,noise,noise
exp_873,noise,noise,noise
exp_874,tumour,tumour,tumour
exp_875,noise,noise,noise
exp_876,noise,noise,noise
exp_877,noise,noise,noise
exp_878,noise,noise,noise
exp_879,noise,noise,noise
exp_880,noise,noise,noise
exp_881,noise,noise,noise
exp_882,noise,noise,noise
exp_883,noise,noise,noise
exp_884,noise,noise,noise
exp_885,noise,noise,noise
exp_886,noise,noise,noise
exp_887,noise,noise,noise
exp_888,noise,noise,noise
exp_889,noise,noise,noise
exp_890,tumour,tumour,tumour
exp_891,noise,noise,noise
exp_892,noise,noise,noise
exp_893,noise,noise,noise
exp_894,noise,noise,noise
exp_895,tumour,tumour,tumour
exp_896,tumour,tumour,tumour
exp_897,tumour,tumour,tumour
exp_898,tumour,tumour,tumour
exp_899,noise,noise,noise
exp_900,tumour,tumour,tumour
exp_901,tumour,tumour,tumour
exp_902,noise,noise,noise
exp_903,tumour,tumour,tumour
exp_904,noise,noise,noise
exp_905,noise,noise,noise
exp_906,noise,noise,noise
exp_907,noise,noise,noise
exp_908,noise,noise,noise
exp_909,noise,noise,noise
exp_910,noise,noise,noise
exp_911,noise,noise,noise
exp_912,noise,noise,noise
exp_913,noise,noise,noise
exp_914,noise,noise,noise
exp_915,tumour,tumour,tumour
exp_916,noise,noise,noise
exp_917,noise,noise,noise
exp_918,noise,noise,noise
exp_919,noise,noise,noise
exp_920,noise,noise,noise
exp_921,noise,noise,noise
exp_922,noise,noise,noise
exp_923,noise,noise,noise
exp_924,noise,noise,noise
exp_925,noise,noise,noise
exp_926,noise,noise,noise
exp_927,noise,noise,noise
exp_928,noise,noise,noise
exp_929,noise,noise,noise
exp_930,noise,noise,noise
exp_931,tumour,tumour,tumour
exp_932,tumour,tumour,tumour
exp_933,tumour,tumour,tumour
exp_934,noise,noise,noise
exp_935,tumour,tumour,tumour
exp_936,noise,noise,noise
exp_937,tumour,tumour,tumour
exp_938,noise,noise,noise
exp_939,noise,noise,noise
exp_940,noise,noise,noise
exp_941,noise,noise,noise
exp_942,noise,noise,noise
exp_943,noise,noise,noise
exp_944,noise,noise,noise
exp_945,noise,noise,noise
exp_946,noise,noise,noise
exp_947,tumour,tumour,tumour
exp_948,tumour,stroma-immune,other immune cells
exp_949,noise,noise,noise
exp_950,noise,noise,noise
exp_951,noise,noise,noise
exp_952,noise,noise,noise
exp_953,tumour,tumour,tumour
exp_954,noise,noise,noise
exp_955,noise,noise,noise
exp_956,tumour,tumour,tumour
exp_957,noise,noise,noise
exp_958,noise,noise,noise
exp_959,noise,noise,noise
exp_960,noise,noise,noise
