,svm_prob_CD4 T cells,svm_prob_CD90+ CAFs,svm_prob_Dendritic cells,svm_prob_Macrophages,svm_prob_Monocytes,svm_prob_PDPN+ CAFs,svm_prob_T cells,svm_prob_myCAFs,svm_prob_other immune cells,svm_prob_tumour,svm_prob_vessel
exp_15134,2.551931263664137e-09,3.521933625158497e-09,2.7230440013565623e-09,1.82579417916017e-09,3.0521151017690842e-09,6.343625154309563e-09,2.425866069240813e-09,8.38206795790552e-09,1.0180170690553959e-08,0.9999996403708385,3.186226133469418e-07
exp_15135,0.8515952905280827,0.00021018227417694994,0.000246849031759696,0.00013154744582212404,0.0001961746912232088,0.0187339254259449,0.08720160981824032,0.023702014032469597,0.00453476235473135,0.013060447065292946,0.00038719733225584495
exp_15136,2.161180454274197e-05,1.1749784306620045e-05,1.964135857038466e-05,5.6149253733563695e-06,3.582500860899926e-05,0.0013024117447705073,0.00022226528845971266,0.0011738866573905943,0.025987016816555412,0.9711577991166369,6.217749478433966e-05
exp_15137,8.852385937483173e-05,0.00040532967764267,0.001954757958742719,0.00012582640618537868,0.00048818977689200503,0.0022193453645603847,0.00015251982779990961,0.9302667699854432,0.027965638930754235,0.03621650681631798,0.00011659139628658243
exp_15138,0.030112419590350003,0.0002756618315548259,0.00040401220266830947,0.00023987560368252038,0.00026482720686254655,0.0005650400812655303,0.0947100904763604,0.005783297425727781,0.012077530020945115,0.8544735985576689,0.0010936470029137147
exp_15139,4.6744299696017164e-07,3.914599980038311e-06,1.101069167245295e-06,1.9797009367169442e-06,8.948112966966902e-07,3.020393677178298e-06,3.1388237528575197e-05,7.215091847946848e-06,0.0005545233695920907,0.9993936462328347,1.8490501422956113e-06
exp_15140,0.0035981733285978773,0.0015573071789591994,0.0003436502194572157,0.00012276004010319152,0.00011638368131386199,0.0012171735853784079,0.4174171378651355,0.012245892769410606,0.00330278821788319,0.5599482025490892,0.00013053056467179745
exp_15141,0.0016267980225994289,0.005540016793549328,0.3665028341969114,0.0655118897891437,0.006554416536427076,0.01216532268191963,0.0018777756528931598,0.515099296288528,0.01059336097477211,0.013165169772949086,0.0013631192903067555
exp_15142,2.732043290358256e-09,3.45033617597012e-09,1.994669306304744e-09,1.7625057121737304e-09,2.0557662348613775e-09,8.985134220689525e-09,3.6536559253986336e-09,8.559719000759664e-09,8.265438104099518e-09,0.9999999415005687,1.704016336845637e-08
exp_15143,7.001390021827765e-08,8.470050394293207e-08,6.191771665216787e-08,6.32098612773796e-08,1.1386596166380496e-07,1.4831976237779295e-07,7.358099074372535e-08,9.226091158730323e-08,2.5636180014908676e-07,0.9999923893489902,6.646419601157281e-06
exp_15144,0.0003630995922453061,0.0005703572264558783,0.0005197797265683037,0.00039274937514574435,0.0015364206624186613,0.0020692909359419343,0.00046098777757850516,0.007463480836291933,0.026042589198447104,0.7588975708112489,0.2016836738576576
exp_15145,4.120527554774124e-05,1.4681866137327218e-06,2.306275361635987e-06,1.3115927468219451e-06,2.0622443798937397e-06,1.601563640654779e-05,0.00019795219183342563,8.480692976851333e-05,0.00266067116581511,0.9969902027943842,1.99770714238081e-06
exp_15146,0.0006103403476041903,0.0007783614301604981,0.0002495958439663527,0.00012929374875620544,0.00017877191914170905,0.0005505744484789379,0.026646116877965163,0.025021123114498507,0.025473186818876576,0.9198288562830538,0.0005337791674982882
exp_15147,4.406343200699461e-09,3.8432672723879585e-09,5.8709426775063775e-09,2.7926213070465285e-09,4.0194684199678446e-09,6.512035732297817e-09,4.434043197433922e-09,1.0572784108286827e-08,1.756014880362333e-08,0.9999999102567765,2.973156882770916e-08
exp_15148,0.6972280065646235,0.0015634272306268354,0.010529794656694295,0.06572346865606267,0.0008884017422637721,0.0033062097395784454,0.033315255617805524,0.12934608280987947,0.004911018169589585,0.05223288065947341,0.0009554541534019575
exp_15149,1.1292941117189209e-08,1.3292801484286587e-08,1.4710214287395734e-08,7.497369893886113e-09,1.0705108926426727e-08,8.409056638163979e-09,1.0308028471349158e-08,1.8357118100398704e-08,2.747622011836691e-08,4.344140538397629e-08,0.9999998345097356
exp_15150,0.00011415945708195157,0.00011231593523759426,8.340798653561475e-05,0.0005683252777160716,0.0005339141474507009,0.0003198957581798954,0.00019920325681110532,0.00043377715370070943,0.046887852330721236,0.9503819979060038,0.0003651507905612021
exp_15151,7.187899463724501e-07,5.282896293387783e-07,3.0512589550703586e-06,1.2293812129631032e-06,2.2340624569162796e-05,7.350709649878165e-05,9.164067153358638e-06,1.1627073820408678e-05,0.0007707454501774229,0.999098209362217,8.878605819942474e-06
exp_15152,0.0035299269129698265,2.7942004141897096e-05,4.689506174758121e-05,4.801869322144894e-05,0.0021670131242707237,0.0021900357002418176,0.008094729302346023,0.009099456877761078,0.8859312952322084,0.08851069228818931,0.0003539948029021935
exp_15153,0.0019857333129256484,0.002822923463580502,0.0031929173245639855,0.03901070518307745,0.050363636443954383,0.03850324429923636,0.0023799779852139696,0.7797973059102055,0.06052629054944651,0.018831186136378124,0.0025860793914178762
exp_15154,0.024066245498783216,0.0014527230696428893,0.06115982194369732,0.002264941943384602,0.15191395042039277,0.0020604673221445266,0.015799894034649205,0.15423671383990223,0.3496923495356837,0.23155657466081483,0.005796317730905139
exp_15155,0.06295927030224435,0.0009278195724610592,0.0019887852579439707,0.0009874155333067227,0.0013375744132612041,0.0017967335842395437,0.10994254352503058,0.020873734185447558,0.5216702853819165,0.22381246121785178,0.05370337702629675
exp_15156,2.293810956608817e-08,1.9729131131588113e-08,2.0736377668859476e-08,1.354446534002387e-08,1.9128071838357616e-08,2.9546220585450366e-08,2.22518543172652e-08,5.2992419038422215e-08,8.162013861927112e-08,0.9999993520489133,3.6546429864158327e-07
exp_15157,0.00025721708046087235,0.00010531634999392148,0.000305387849004149,8.426964519319069e-06,9.063800217599525e-05,2.0738944192899942e-05,3.5964320584693086e-05,0.0017935507711518911,0.038175792330932615,0.0011748295430669235,0.9580321378439164
exp_15158,0.0012323665899854883,0.0018703703006513243,0.004139265514288587,0.786453197399307,0.003411604506061069,0.005235038738340891,0.0009922628365105252,0.1405359004447336,0.0128783023274926,0.03984224110975456,0.00340945023287387
exp_15159,0.0003567566773555857,0.0007951446878144373,0.015763029518451058,0.0002776180024706173,0.00036524373027761254,0.0006120387013928284,0.0006051080126603246,0.8627148719092628,0.09132070176956229,0.02564463436548298,0.0015448526252695575
