cell_id,group
aadmaifh-1,acinar epithelial
aadmbfgg-1,acinar epithelial
aadmccmp-1,ductal/tumor epithelial
aadmhpfd-1,acinar epithelial
aadmjigm-1,endothelial
aadmjohl-1,acinar epithelial
aadmolkd-1,acinar epithelial
aadmpcka-1,myeloid/macrophage
aadnbolh-1,acinar epithelial
aadnhogd-1,myeloid/macrophage
aadnnhgo-1,activated fibroblast/stellate
aadpbcfg-1,Tregs
aadpcaio-1,activated fibroblast/stellate
aadpokeh-1,activated fibroblast/stellate
aaeabpom-1,activated fibroblast/stellate
aaeccdje-1,myeloid/macrophage
aaecijnc-1,myeloid/macrophage
aaedalbo-1,activated fibroblast/stellate
aaedalmd-1,activated fibroblast/stellate
aaedfamb-1,Unknown
aaedinck-1,activated fibroblast/stellate
aaedlhah-1,activated fibroblast/stellate
aaeebhhf-1,endothelial
aaeebjfd-1,activated fibroblast/stellate
aaeefaol-1,acinar epithelial
aaeepeea-1,myeloid/macrophage
aaefehpg-1,acinar epithelial
aaefmefg-1,acinar epithelial
aaefpmep-1,ductal/tumor epithelial
aaegfbmh-1,acinar epithelial
aaegiflh-1,ductal/tumor epithelial
aaegoalo-1,ductal/tumor epithelial
aaeheapc-1,ductal/tumor epithelial
aaehpkjm-1,ductal/tumor epithelial
aaeideep-1,ductal/tumor epithelial
aaeijcoc-1,acinar epithelial
aaeikpob-1,ductal/tumor epithelial
aaeinelj-1,acinar epithelial
aaeipcog-1,endothelial
aaekhokk-1,Unknown
aaelfndd-1,endothelial
aaelglna-1,ductal/tumor epithelial
aaelmfdk-1,acinar epithelial
aaemlhpe-1,activated fibroblast/stellate
aaenidam-1,activated fibroblast/stellate
aaenjfeb-1,activated fibroblast/stellate
aaeogjfa-1,Unknown
aaeokjmg-1,Unknown
aaepboib-1,ductal/tumor epithelial
aaepifon-1,ductal/tumor epithelial
aaepokio-1,ductal/tumor epithelial
aaepomjm-1,ductal/tumor epithelial
aafabclj-1,ductal/tumor epithelial
aafacokc-1,myeloid/macrophage
aafafdca-1,Tregs
aafbbbfa-1,activated fibroblast/stellate
aafbhemj-1,endothelial
aafbjceb-1,activated fibroblast/stellate
aafcgapp-1,endothelial
aafcknjd-1,endothelial
aafdbhie-1,endothelial
aafdmblf-1,endothelial
aafeincn-1,endothelial
aaffaehb-1,activated fibroblast/stellate
aaffebpi-1,Tregs
aaffgfkd-1,activated fibroblast/stellate
aafgdpjb-1,activated fibroblast/stellate
aafgoipi-1,activated fibroblast/stellate
aafgpjag-1,Unknown
aafgpkdn-1,Unknown
aafhfngk-1,myeloid/macrophage
aafhfpgn-1,Unknown
aafhhojh-1,activated fibroblast/stellate
aafiiehn-1,activated fibroblast/stellate
aafiinnh-1,activated fibroblast/stellate
aafijjnh-1,mast cell
aafikohd-1,myeloid/macrophage
aafikpgm-1,activated fibroblast/stellate
aafilpef-1,Unknown
aafimhic-1,activated fibroblast/stellate
aafinjlb-1,Tregs
aafjlamc-1,Tregs
aafkdobb-1,activated fibroblast/stellate
aafkeija-1,Tregs
aafkfodf-1,myeloid/macrophage
aafkkgog-1,Unknown
aafldcnf-1,myeloid/macrophage
aafldpag-1,Tregs
aaflkcga-1,activated fibroblast/stellate
aaflllde-1,activated fibroblast/stellate
aafmabmh-1,Unknown
aafmanjo-1,activated fibroblast/stellate
aafmmbfl-1,Tregs
aafncbgj-1,activated fibroblast/stellate
aafnlpim-1,mast cell
aafnnbod-1,Unknown
aafnnknn-1,Unknown
aafnohab-1,activated fibroblast/stellate
aafnpmbm-1,myeloid/macrophage
aafoboji-1,Tregs
aafokmnp-1,Tregs
aafpfmld-1,activated fibroblast/stellate
aagakadi-1,activated fibroblast/stellate
aagbaanp-1,activated fibroblast/stellate
aagbafma-1,activated fibroblast/stellate
aagbdefm-1,activated fibroblast/stellate
aagblkfk-1,activated fibroblast/stellate
aagcegkc-1,activated fibroblast/stellate
aagcgnhi-1,activated fibroblast/stellate
aagciceg-1,myeloid/macrophage
aagdbhee-1,activated fibroblast/stellate
aagebgbi-1,Tregs
aagehgpi-1,activated fibroblast/stellate
aagejida-1,activated fibroblast/stellate
aagelbhf-1,myeloid/macrophage
aagfdihc-1,myeloid/macrophage
aagfllia-1,activated fibroblast/stellate
aaggadai-1,Unknown
aagganfh-1,myeloid/macrophage
aaggjpdc-1,activated fibroblast/stellate
aaggmjmc-1,activated fibroblast/stellate
aaghbfcn-1,Tregs
aaghccfm-1,activated fibroblast/stellate
aaghnmkn-1,activated fibroblast/stellate
aagiamdm-1,Tregs
aagichln-1,Tregs
aagiclfg-1,Tregs
aagiikch-1,activated fibroblast/stellate
aagiplgg-1,activated fibroblast/stellate
aagipmfh-1,activated fibroblast/stellate
aagkajok-1,Tregs
aagkfbpg-1,activated fibroblast/stellate
aagkknfp-1,Unknown
aagkmedm-1,Unknown
aagkonik-1,endothelial
aagllcfe-1,Tregs
aaglombe-1,Tregs
aagmcjml-1,Tregs
aagmpndb-1,activated fibroblast/stellate
aagncdje-1,activated fibroblast/stellate
aagnibnd-1,activated fibroblast/stellate
aagnkmfl-1,activated fibroblast/stellate
aagohdck-1,activated fibroblast/stellate
aagojngm-1,myeloid/macrophage
aagokikh-1,activated fibroblast/stellate
aagpfbjp-1,myeloid/macrophage
aagpmgna-1,myeloid/macrophage
aahabmfn-1,endothelial
aahacemf-1,activated fibroblast/stellate
aahadddn-1,myeloid/macrophage
aahagpin-1,activated fibroblast/stellate
aahbcgen-1,activated fibroblast/stellate
aahcfhho-1,endothelial
aahcndla-1,myeloid/macrophage
aahdainc-1,Unknown
aahdhkln-1,activated fibroblast/stellate
aahdnboa-1,endothelial
aahdobhf-1,myeloid/macrophage
aahedahg-1,myeloid/macrophage
aahefkkk-1,myeloid/macrophage
aahehnag-1,activated fibroblast/stellate
aahekbpi-1,endothelial
aahekgcf-1,myeloid/macrophage
aahelddm-1,myeloid/macrophage
aahemphe-1,Unknown
aahenobd-1,mast cell
aahfbecl-1,Tregs
aahfbmpe-1,myeloid/macrophage
aahgbhmk-1,myeloid/macrophage
aahgehij-1,myeloid/macrophage
aahgmghl-1,activated fibroblast/stellate
aahhdbkd-1,activated fibroblast/stellate
aahhehii-1,activated fibroblast/stellate
aahhffdj-1,activated fibroblast/stellate
aahhngna-1,Unknown
aahicnma-1,activated fibroblast/stellate
aahidolp-1,activated fibroblast/stellate
aahigahd-1,activated fibroblast/stellate
aahijfmj-1,activated fibroblast/stellate
aahikphd-1,myeloid/macrophage
aahjapfb-1,Tregs
aahjiokc-1,myeloid/macrophage
aahjjcfn-1,myeloid/macrophage
aahkpapb-1,Tregs
aahkpbpk-1,mast cell
aahlbhha-1,Unknown
aahllcif-1,activated fibroblast/stellate
aahlmobe-1,Tregs
aahloekm-1,activated fibroblast/stellate
aahlolbp-1,endothelial
aahmnbpc-1,Unknown
aahnfknl-1,activated fibroblast/stellate
aahnnagm-1,activated fibroblast/stellate
aahopfgf-1,activated fibroblast/stellate
aahpcfed-1,activated fibroblast/stellate
aahpgkcc-1,activated fibroblast/stellate
aahpodfc-1,Tregs
aaiacpja-1,myeloid/macrophage
aaiahbge-1,activated fibroblast/stellate
aaiakkgh-1,activated fibroblast/stellate
aaiaollj-1,activated fibroblast/stellate
aaibcoib-1,Unknown
aaichaln-1,Tregs
aaicmoem-1,activated fibroblast/stellate
aaicogmo-1,activated fibroblast/stellate
aaidapll-1,myeloid/macrophage
aaieekbb-1,activated fibroblast/stellate
aaiefooa-1,endocrine/islet
aaiehoek-1,activated fibroblast/stellate
aaieknnf-1,activated fibroblast/stellate
aaifaogj-1,myeloid/macrophage
aaifokob-1,endothelial
aaigahnh-1,myeloid/macrophage
aaigfcdc-1,Unknown
aaigloni-1,myeloid/macrophage
aaigoijn-1,Tregs
aaihamfp-1,myeloid/macrophage
aaihcnkl-1,myeloid/macrophage
aaiifbmn-1,activated fibroblast/stellate
aaiihgok-1,ductal/tumor epithelial
aaiijogm-1,activated fibroblast/stellate
aaiimmpk-1,acinar epithelial
aaiipccb-1,ductal/tumor epithelial
aaijbhag-1,ductal/tumor epithelial
aaijicil-1,activated fibroblast/stellate
aaijkdbg-1,ductal/tumor epithelial
aaijpaej-1,ductal/tumor epithelial
aaijpdej-1,myeloid/macrophage
aaiknobb-1,ductal/tumor epithelial
aailaanm-1,Unknown
aailedpl-1,ductal/tumor epithelial
aailhkfg-1,activated fibroblast/stellate
aaimcfai-1,ductal/tumor epithelial
aaimeocg-1,acinar epithelial
aaimkgmn-1,myeloid/macrophage
aaimmeef-1,activated fibroblast/stellate
aainaklp-1,ductal/tumor epithelial
aaincmnp-1,myeloid/macrophage
aainebff-1,ductal/tumor epithelial
aainfhdn-1,ductal/tumor epithelial
aainglhb-1,ductal/tumor epithelial
aainokfc-1,acinar epithelial
aaiobclh-1,activated fibroblast/stellate
aaiobeag-1,myeloid/macrophage
aaiobepn-1,myeloid/macrophage
aaioomjd-1,ductal/tumor epithelial
aaippngg-1,activated fibroblast/stellate
aajaelba-1,ductal/tumor epithelial
aajbemha-1,ductal/tumor epithelial
aajciakn-1,acinar epithelial
aajcmehi-1,endothelial
aajcooip-1,ductal/tumor epithelial
aajdacpg-1,ductal/tumor epithelial
aajdccmd-1,ductal/tumor epithelial
aajdhmbb-1,myeloid/macrophage
aajdnhhk-1,ductal/tumor epithelial
aajemlon-1,activated fibroblast/stellate
aajfajgg-1,ductal/tumor epithelial
aajfiefl-1,myeloid/macrophage
aajfnloo-1,Tregs
aajgbokp-1,ductal/tumor epithelial
aajgpnlg-1,Tregs
aajhadfo-1,endothelial
aajhepkd-1,ductal/tumor epithelial
aajhhcan-1,mast cell
aajhmcnn-1,ductal/tumor epithelial
aajidmhg-1,activated fibroblast/stellate
aajifgjc-1,activated fibroblast/stellate
aajiieho-1,endothelial
aajiodgd-1,Tregs
aajipboa-1,endothelial
aajjfhfj-1,endothelial
aajjghnh-1,ductal/tumor epithelial
aajkdonh-1,endothelial
aajkgadg-1,activated fibroblast/stellate
aajkidpn-1,Tregs
aajkkamj-1,ductal/tumor epithelial
aajknafh-1,endothelial
aajlbiam-1,B cells
aajlpglp-1,endothelial
aajlpmko-1,activated fibroblast/stellate
aajmodop-1,ductal/tumor epithelial
aajnchbo-1,acinar epithelial
aajnchdi-1,endothelial
aajnedgo-1,activated fibroblast/stellate
aajnemdo-1,Unknown
aajnligg-1,activated fibroblast/stellate
aajnmfbi-1,activated fibroblast/stellate
aajnoenn-1,activated fibroblast/stellate
aajnphhg-1,activated fibroblast/stellate
aajohigk-1,myeloid/macrophage
aajohiob-1,Tregs
aajpjdom-1,activated fibroblast/stellate
aajplklp-1,activated fibroblast/stellate
aakaglba-1,endothelial
aakajhei-1,endothelial
aakamiim-1,myeloid/macrophage
aakanjnj-1,activated fibroblast/stellate
aakbbejo-1,Tregs
aakbmpae-1,activated fibroblast/stellate
aakcojgf-1,ductal/tumor epithelial
aakcppnc-1,activated fibroblast/stellate
aakdijdf-1,activated fibroblast/stellate
aakebdme-1,myeloid/macrophage
aakehnal-1,endothelial
aakfboia-1,Unknown
aakfcjgi-1,myeloid/macrophage
aakfeien-1,endothelial
aakfelna-1,endothelial
aakffdbo-1,activated fibroblast/stellate
aakfpejd-1,ductal/tumor epithelial
aakgfgcc-1,activated fibroblast/stellate
aakhdlmm-1,activated fibroblast/stellate
aakhfdhi-1,activated fibroblast/stellate
aakhpckb-1,activated fibroblast/stellate
aakigipi-1,myeloid/macrophage
aakjhhhp-1,Tregs
aakkanfn-1,activated fibroblast/stellate
aaklgggo-1,Tregs
aaklhaoo-1,activated fibroblast/stellate
aakmdmce-1,Tregs
aakmmkdo-1,activated fibroblast/stellate
aakndolb-1,Unknown
aaknegag-1,activated fibroblast/stellate
aaknfbkc-1,activated fibroblast/stellate
aakoaclj-1,myeloid/macrophage
aakoclhl-1,activated fibroblast/stellate
aakpclmb-1,myeloid/macrophage
aalacibn-1,Unknown
aalafall-1,Tregs
aalamnmj-1,myeloid/macrophage
aalancjf-1,activated fibroblast/stellate
