cell_id,group
aadphdmn-1,B lineage
aadpncbg-1,B lineage
aaeaadgb-1,B lineage
aaebdann-1,B lineage
aaebjofh-1,B lineage
aaeblobg-1,Myeloid cells
aaebmcnp-1,B lineage
aaebpejo-1,Myeloid cells
aaebpfdi-1,B lineage
aaebpghe-1,Mucosa gland
aaecbkmg-1,B lineage
aaecbnbo-1,Endothelial cells
aaecjgpc-1,Myeloid cells
aaecmbdi-1,B lineage
aaecmjkg-1,Myeloid cells
aaedbmad-1,Endothelial cells
aaedclpc-1,Mucosa gland
aaednada-1,B lineage
aaedoihl-1,Mucosa gland
aaeehanb-1,Mucosa gland
aaeehdea-1,Mucosa gland
aaeelimn-1,Mucosa gland
aaefjckp-1,Mucosa gland
aaefojim-1,Mucosa gland
aaefomfi-1,B lineage
aaegapll-1,Mucosa gland
aaegbobl-1,Mucosa gland
aaegfnem-1,Mucosa gland
aaeglohe-1,Myeloid cells
aaegmelm-1,B lineage
aaehdece-1,Mucosa gland
aaehjpoa-1,Mucosa gland
aaehocoa-1,Submucosa
aaeigckf-1,Mucosa gland
aaeikefl-1,Mucosa gland
aaeilllj-1,Mucosa gland
aaeilnme-1,Mucosa gland
aaeipcgj-1,Mucosa gland
aaeiphcd-1,Mucosa gland
aaejkpbg-1,Mucosa gland
aaejlfki-1,Mucosa gland
aaejnkeo-1,Mucosa gland
aaekbcbe-1,Mucosa gland
aaekcaio-1,Mucosa gland
aaekgbhi-1,Mucosa gland
aaekgnlm-1,Mucosa gland
aaeklgim-1,Mucosa gland
aaekoihh-1,Mucosa gland
aaeldlap-1,Mucosa gland
aaelehod-1,Mucosa gland
aaelfhpd-1,Mucosa gland
aaelhnak-1,Mucosa gland
aaelmehj-1,Mucosa gland
aaemgmbf-1,Mucosa gland
aaemiaml-1,Mucosa gland
aaemlepn-1,Mucosa gland
aaenhfek-1,Mucosa gland
aaenkeha-1,Mucosa gland
aaenkjbd-1,Mucosa gland
aaenlfho-1,Mucosa gland
aaennaad-1,Mucosa gland
aaeoheaj-1,Mucosa gland
aaeohpck-1,Mucosa gland
aaeoiili-1,Mucosa gland
aaeokeho-1,Mucosa gland
aaeopngg-1,Mucosa gland
aaepaakd-1,Endothelial cells
aaepihif-1,Mucosa gland
aaepjjli-1,Mucosa gland
aaepkmoj-1,Mucosa gland
aaepoifb-1,Mucosa gland
aafadmaa-1,Mucosa gland
aafaedkc-1,Mucosa gland
aafafpcj-1,Mucosa gland
aafbfllk-1,Mucosa gland
aafbiboo-1,Mucosa gland
aafbmolj-1,Mucosa gland
aafcnjpd-1,Mucosa gland
aafdcfgd-1,Mucosa gland
aafdhjcg-1,Mucosa gland
aafdichm-1,Mucosa gland
aafdojaf-1,Mucosa gland
aafedjbd-1,Mucosa gland
aafefnah-1,Submucosa
aaffnpcd-1,Mucosa gland
aafgafbn-1,Mucosa gland
aafgcnlj-1,Mucosa gland
aafgegcm-1,Mucosa gland
aafggkab-1,Mucosa gland
aafgkpjn-1,Mucosa gland
aafgmioc-1,Mucosa gland
aafgnkno-1,Mucosa gland
aafhehnn-1,T cells
aafhffgh-1,Mucosa gland
aafhhcod-1,Mucosa gland
aafialom-1,B lineage
aafiffoi-1,Mucosa gland
aafiipao-1,Mucosa gland
aafijchl-1,Mucosa gland
aafikndm-1,B lineage
aafimdek-1,Mucosa gland
aafinjao-1,Mucosa gland
aafjclad-1,Mucosa gland
aafjdfnn-1,Mucosa gland
aafjfiga-1,Mucosa gland
aafjibif-1,Mucosa gland
aafjimff-1,Mucosa gland
aafjjbpd-1,Mucosa gland
aafjkeih-1,Mucosa gland
aafjkmal-1,Mucosa gland
aafkcklk-1,Mucosa gland
aafkjkjk-1,Mucosa gland
aafkjpje-1,Mucosa gland
aaflbjjg-1,Mucosa gland
aaflcfbf-1,Mucosa gland
aaflgfok-1,Mucosa gland
aaflhanh-1,Mucosa gland
aafmdahm-1,Endothelial cells
aafmhhcn-1,Endothelial cells
aafmhjnh-1,Mucosa gland
aafmlimn-1,Mucosa gland
