cell_id,group
aadplaeg-1,pancreatic ductal epithelium
aaeadnda-1,pancreatic ductal epithelium
aaeakhag-1,pancreatic ductal epithelium
aaebbchp-1,pancreatic ductal epithelium
aaebcapf-1,pancreatic ductal epithelium
aaecbnoi-1,pancreatic ductal epithelium
aaecgdlp-1,pancreatic ductal epithelium
aaecppmk-1,pancreatic ductal epithelium
aaednajd-1,pancreatic ductal epithelium
aaeeejnh-1,pancreatic ductal epithelium
aaeefccn-1,pancreatic ductal epithelium
aaeeicce-1,pancreatic ductal epithelium
aaeekdad-1,pancreatic ductal epithelium
aaefedcp-1,pancreatic ductal epithelium
aaefnakn-1,pancreatic ductal epithelium
aaefohhl-1,pancreatic ductal epithelium
aaegibmi-1,pancreatic ductal epithelium
aaegobab-1,pancreatic ductal epithelium
aaegojpj-1,pancreatic ductal epithelium
aaehmejm-1,pancreatic ductal epithelium
aaeicedo-1,pancreatic ductal epithelium
aaeicmjl-1,pancreatic ductal epithelium
aaeifnlc-1,T cells
aaeiojci-1,pancreatic ductal epithelium
aaejcpeh-1,pancreatic ductal epithelium
aaejolgl-1,pancreatic ductal epithelium
aaekealg-1,pancreatic ductal epithelium
aaekfhbc-1,pancreatic ductal epithelium
aaekgpgf-1,pancreatic ductal epithelium
aaekldme-1,pancreatic ductal epithelium
aaekpplb-1,pancreatic ductal epithelium
aaelcpod-1,pancreatic ductal epithelium
aaelfade-1,pancreatic ductal epithelium
aaemcdnp-1,pancreatic ductal epithelium
aaemocon-1,pancreatic ductal epithelium
aaemogdf-1,pancreatic ductal epithelium
aaenehhl-1,pancreatic ductal epithelium
aaennnln-1,pancreatic ductal epithelium
aaeobjac-1,pancreatic ductal epithelium
aaeochem-1,pancreatic ductal epithelium
aaeodeph-1,pancreatic ductal epithelium
aaepgmlo-1,pancreatic ductal epithelium
aafaejfj-1,pancreatic ductal epithelium
aafajfik-1,pancreatic ductal epithelium
aafbbahh-1,pancreatic ductal epithelium
aafbbbnp-1,pancreatic ductal epithelium
aafbhcdl-1,pancreatic ductal epithelium
aafbkofh-1,pancreatic ductal epithelium
aafdomkn-1,pancreatic ductal epithelium
aaffblgm-1,pancreatic ductal epithelium
aaffnmje-1,pancreatic ductal epithelium
aafgmnhf-1,pancreatic ductal epithelium
aafhdfla-1,pancreatic ductal epithelium
aafhfcig-1,pancreatic ductal epithelium
aafhfmck-1,pancreatic ductal epithelium
aafhjpfc-1,pancreatic ductal epithelium
aaficjae-1,pancreatic ductal epithelium
aafjndkf-1,Myeloid cells
aafjoogb-1,T cells
aafkfbko-1,pancreatic ductal epithelium
aafkhlko-1,pancreatic ductal epithelium
aafkjpep-1,pancreatic ductal epithelium
aaflkdle-1,pancreatic ductal epithelium
aafllmcp-1,pancreatic ductal epithelium
aafnbhhl-1,pancreatic ductal epithelium
aafnegab-1,pancreatic ductal epithelium
aafojlkj-1,pancreatic ductal epithelium
aafokgpn-1,pancreatic ductal epithelium
aagabakn-1,pancreatic ductal epithelium
aagabhia-1,T cells
aagapbgb-1,T cells
aagbaghd-1,T cells
aagbfhge-1,pancreatic ductal epithelium
aagbgapm-1,pancreatic ductal epithelium
aagbiaho-1,pancreatic ductal epithelium
aagbmdbk-1,pancreatic ductal epithelium
aagbmedb-1,pancreatic ductal epithelium
aagbnoha-1,pancreatic ductal epithelium
aagbokfk-1,pancreatic ductal epithelium
aagcfelo-1,pancreatic ductal epithelium
aagdfggg-1,T cells
aageaiop-1,pancreatic ductal epithelium
aagehmda-1,pancreatic ductal epithelium
aageklkn-1,pancreatic ductal epithelium
aagfdmob-1,pancreatic ductal epithelium
aaggbjjc-1,pancreatic ductal epithelium
aagifacm-1,pancreatic ductal epithelium
aagigomf-1,pancreatic ductal epithelium
aagikdon-1,pancreatic ductal epithelium
aaginbjn-1,pancreatic ductal epithelium
aagipoff-1,pancreatic ductal epithelium
aagjblao-1,pancreatic ductal epithelium
aagjbpjn-1,pancreatic ductal epithelium
aagjdbnk-1,pancreatic ductal epithelium
aagjdmli-1,pancreatic ductal epithelium
aagjekie-1,pancreatic ductal epithelium
aagjlkjp-1,pancreatic ductal epithelium
aagjoflp-1,pancreatic ductal epithelium
aagkajla-1,pancreatic ductal epithelium
aagkebcc-1,pancreatic ductal epithelium
aagkhkag-1,pancreatic ductal epithelium
aagkinhg-1,pancreatic ductal epithelium
aaglenml-1,pancreatic ductal epithelium
aaglpjdp-1,pancreatic ductal epithelium
aagmcnjk-1,pancreatic ductal epithelium
aagmkjnb-1,pancreatic ductal epithelium
aagmlndg-1,pancreatic ductal epithelium
aagmncdi-1,pancreatic ductal epithelium
aagmnmcp-1,pancreatic ductal epithelium
aagmpedi-1,pancreatic ductal epithelium
aagndcgp-1,pancreatic ductal epithelium
aagnfeaa-1,pancreatic ductal epithelium
aagnkkkl-1,pancreatic ductal epithelium
aagoiepi-1,pancreatic ductal epithelium
aagojend-1,pancreatic ductal epithelium
aagokbcm-1,pancreatic ductal epithelium
aagopepf-1,pancreatic ductal epithelium
aagpgdpg-1,pancreatic ductal epithelium
aagpjbmm-1,pancreatic ductal epithelium
aahagppc-1,pancreatic ductal epithelium
aahakpnd-1,pancreatic ductal epithelium
aahapgki-1,pancreatic ductal epithelium
aahcendg-1,pancreatic ductal epithelium
aahdndfi-1,pancreatic ductal epithelium
aahdocgo-1,pancreatic ductal epithelium
aahefgcj-1,pancreatic ductal epithelium
aaheofbg-1,pancreatic ductal epithelium
aahffncb-1,pancreatic ductal epithelium
aahgidgm-1,pancreatic ductal epithelium
aahgliba-1,pancreatic ductal epithelium
aahgompd-1,pancreatic ductal epithelium
aahhgfjk-1,T cells
aahhmfdm-1,pancreatic ductal epithelium
aahifbej-1,pancreatic ductal epithelium
aahiinfc-1,pancreatic ductal epithelium
aahjakah-1,pancreatic ductal epithelium
aahjejfn-1,pancreatic ductal epithelium
aahjigmd-1,pancreatic ductal epithelium
aahkdifj-1,pancreatic ductal epithelium
aahkmphl-1,pancreatic ductal epithelium
aahlnjdk-1,pancreatic ductal epithelium
aahmeehp-1,pancreatic ductal epithelium
aahmghai-1,pancreatic ductal epithelium
aahmjmkc-1,T cells
aahnkfli-1,T cells
aahnmaph-1,T cells
aahnobgo-1,T cells
aahocjik-1,T cells
aahodafp-1,T cells
aahodicg-1,T cells
aahpbapi-1,T cells
aahphici-1,pancreatic ductal epithelium
aaiabbnm-1,pancreatic ductal epithelium
aaibcfpe-1,pancreatic ductal epithelium
aaicdgfj-1,pancreatic ductal epithelium
aaicepmn-1,pancreatic ductal epithelium
aaickcmg-1,pancreatic ductal epithelium
aaidpnhb-1,pancreatic ductal epithelium
aaifadbo-1,pancreatic ductal epithelium
aaifcpje-1,pancreatic ductal epithelium
aaifdgeg-1,pancreatic ductal epithelium
aaifhkbh-1,pancreatic ductal epithelium
aaifocaf-1,pancreatic ductal epithelium
aaigicjn-1,pancreatic ductal epithelium
aaihenik-1,pancreatic ductal epithelium
aaihkokd-1,pancreatic ductal epithelium
aaihlfho-1,pancreatic ductal epithelium
aaiiajoi-1,pancreatic ductal epithelium
aaijdphp-1,pancreatic ductal epithelium
aaijmdjm-1,pancreatic ductal epithelium
aaijmphm-1,pancreatic ductal epithelium
