cell_id,group
aaddkalk-1,intestinal-like/PanIN-like ductal epithelial
aaddnhjp-1,ductal/tumor epithelial
aaddojjn-1,intestinal-like/PanIN-like ductal epithelial
aadebibb-1,intestinal-like/PanIN-like ductal epithelial
aadeokma-1,ductal/tumor epithelial
aadepmng-1,ductal/tumor epithelial
aadfichm-1,intestinal-like/PanIN-like ductal epithelial
aadgapme-1,mast cell
aadgkbll-1,intestinal-like/PanIN-like ductal epithelial
aadgpdeb-1,intestinal-like/PanIN-like ductal epithelial
aadhaeba-1,Tregs
aadhbchi-1,intestinal-like/PanIN-like ductal epithelial
aadhhjff-1,intestinal-like/PanIN-like ductal epithelial
aadhhpac-1,intestinal-like/PanIN-like ductal epithelial
aadijlgc-1,intestinal-like/PanIN-like ductal epithelial
aadjajjl-1,intestinal-like/PanIN-like ductal epithelial
aadjdmhl-1,intestinal-like/PanIN-like ductal epithelial
aadjhgko-1,intestinal-like/PanIN-like ductal epithelial
aadkbdfd-1,intestinal-like/PanIN-like ductal epithelial
aadkldko-1,ductal/tumor epithelial
aadlelbf-1,ductal/tumor epithelial
aadmaakc-1,intestinal-like/PanIN-like ductal epithelial
aadmiaam-1,ductal/tumor epithelial
aadnaepe-1,ductal/tumor epithelial
aadnfajg-1,intestinal-like/PanIN-like ductal epithelial
aadohklo-1,intestinal-like/PanIN-like ductal epithelial
aadplaeg-1,intestinal-like/PanIN-like ductal epithelial
aaeadnda-1,intestinal-like/PanIN-like ductal epithelial
aaeakhag-1,intestinal-like/PanIN-like ductal epithelial
aaebbchp-1,intestinal-like/PanIN-like ductal epithelial
aaebcapf-1,intestinal-like/PanIN-like ductal epithelial
aaecbnoi-1,intestinal-like/PanIN-like ductal epithelial
aaecgdlp-1,ductal/tumor epithelial
aaecppmk-1,intestinal-like/PanIN-like ductal epithelial
aaednajd-1,intestinal-like/PanIN-like ductal epithelial
aaeeejnh-1,intestinal-like/PanIN-like ductal epithelial
aaeefccn-1,intestinal-like/PanIN-like ductal epithelial
aaeeicce-1,ductal/tumor epithelial
aaeekdad-1,intestinal-like/PanIN-like ductal epithelial
aaefedcp-1,intestinal-like/PanIN-like ductal epithelial
aaefnakn-1,intestinal-like/PanIN-like ductal epithelial
aaefohhl-1,ductal/tumor epithelial
aaegibmi-1,intestinal-like/PanIN-like ductal epithelial
aaegobab-1,intestinal-like/PanIN-like ductal epithelial
aaegojpj-1,intestinal-like/PanIN-like ductal epithelial
aaehmejm-1,intestinal-like/PanIN-like ductal epithelial
aaeicedo-1,ductal/tumor epithelial
aaeicmjl-1,intestinal-like/PanIN-like ductal epithelial
aaeifnlc-1,Tregs
aaeiojci-1,ductal/tumor epithelial
aaejcpeh-1,intestinal-like/PanIN-like ductal epithelial
aaejolgl-1,intestinal-like/PanIN-like ductal epithelial
aaekealg-1,intestinal-like/PanIN-like ductal epithelial
aaekfhbc-1,intestinal-like/PanIN-like ductal epithelial
aaekgpgf-1,intestinal-like/PanIN-like ductal epithelial
aaekldme-1,intestinal-like/PanIN-like ductal epithelial
aaekpplb-1,intestinal-like/PanIN-like ductal epithelial
aaelcpod-1,intestinal-like/PanIN-like ductal epithelial
aaelfade-1,intestinal-like/PanIN-like ductal epithelial
aaemcdnp-1,ductal/tumor epithelial
aaemocon-1,ductal/tumor epithelial
aaemogdf-1,intestinal-like/PanIN-like ductal epithelial
aaenehhl-1,ductal/tumor epithelial
aaennnln-1,ductal/tumor epithelial
aaeobjac-1,ductal/tumor epithelial
aaeochem-1,intestinal-like/PanIN-like ductal epithelial
aaeodeph-1,ductal/tumor epithelial
aaepgmlo-1,ductal/tumor epithelial
aafaejfj-1,intestinal-like/PanIN-like ductal epithelial
aafajfik-1,intestinal-like/PanIN-like ductal epithelial
aafbbahh-1,ductal/tumor epithelial
aafbbbnp-1,intestinal-like/PanIN-like ductal epithelial
aafbhcdl-1,ductal/tumor epithelial
aafbkofh-1,intestinal-like/PanIN-like ductal epithelial
aafdomkn-1,intestinal-like/PanIN-like ductal epithelial
aaffblgm-1,intestinal-like/PanIN-like ductal epithelial
aaffnmje-1,ductal/tumor epithelial
aafgmnhf-1,intestinal-like/PanIN-like ductal epithelial
aafhdfla-1,intestinal-like/PanIN-like ductal epithelial
aafhfcig-1,intestinal-like/PanIN-like ductal epithelial
aafhfmck-1,ductal/tumor epithelial
aafhjpfc-1,intestinal-like/PanIN-like ductal epithelial
aaficjae-1,intestinal-like/PanIN-like ductal epithelial
aafjndkf-1,myeloid/macrophage
aafjoogb-1,Tregs
aafkfbko-1,intestinal-like/PanIN-like ductal epithelial
aafkhlko-1,intestinal-like/PanIN-like ductal epithelial
aafkjpep-1,ductal/tumor epithelial
aaflkdle-1,ductal/tumor epithelial
aafllmcp-1,intestinal-like/PanIN-like ductal epithelial
aafnbhhl-1,ductal/tumor epithelial
aafnegab-1,intestinal-like/PanIN-like ductal epithelial
aafojlkj-1,ductal/tumor epithelial
aafokgpn-1,intestinal-like/PanIN-like ductal epithelial
aagabakn-1,intestinal-like/PanIN-like ductal epithelial
aagabhia-1,Tregs
aagapbgb-1,Tregs
aagbaghd-1,Tregs
aagbfhge-1,ductal/tumor epithelial
aagbgapm-1,ductal/tumor epithelial
aagbiaho-1,intestinal-like/PanIN-like ductal epithelial
aagbmdbk-1,ductal/tumor epithelial
aagbmedb-1,intestinal-like/PanIN-like ductal epithelial
aagbnoha-1,intestinal-like/PanIN-like ductal epithelial
