cell_id,group
aadnbolh-1,pancreatic acinar epithelium
aadnhogd-1,Myeloid cells
aadnnhgo-1,Fibroblasts
aadpbcfg-1,T cells
aadpcaio-1,Fibroblasts
aadpokeh-1,Fibroblasts
aaeabpom-1,Fibroblasts
aaeccdje-1,Myeloid cells
aaecijnc-1,Myeloid cells
aaedalbo-1,Fibroblasts
aaedalmd-1,Fibroblasts
aaedfamb-1,Unknown
aaedinck-1,Fibroblasts
aaedlhah-1,Fibroblasts
aaeebhhf-1,Endothelial cells
aaeebjfd-1,Fibroblasts
aaeefaol-1,pancreatic acinar epithelium
aaeepeea-1,Myeloid cells
aaefehpg-1,pancreatic acinar epithelium
aaefmefg-1,pancreatic acinar epithelium
aaefpmep-1,pancreatic ductal epithelium
aaegfbmh-1,pancreatic acinar epithelium
aaegiflh-1,pancreatic ductal epithelium
aaegoalo-1,pancreatic ductal epithelium
aaeheapc-1,pancreatic ductal epithelium
aaehpkjm-1,pancreatic ductal epithelium
aaeideep-1,pancreatic ductal epithelium
aaeijcoc-1,pancreatic acinar epithelium
aaeikpob-1,pancreatic ductal epithelium
aaeinelj-1,pancreatic acinar epithelium
aaeipcog-1,Endothelial cells
aaekhokk-1,Unknown
aaelfndd-1,Endothelial cells
aaelglna-1,pancreatic ductal epithelium
aaelmfdk-1,pancreatic acinar epithelium
aaemlhpe-1,Fibroblasts
aaenidam-1,Fibroblasts
aaenjfeb-1,Fibroblasts
aaeogjfa-1,Unknown
aaeokjmg-1,Unknown
aaepboib-1,pancreatic ductal epithelium
aaepifon-1,pancreatic ductal epithelium
aaepokio-1,pancreatic ductal epithelium
aaepomjm-1,pancreatic ductal epithelium
aafabclj-1,pancreatic ductal epithelium
aafacokc-1,Myeloid cells
aafafdca-1,T cells
aafbbbfa-1,Fibroblasts
aafbhemj-1,Endothelial cells
aafbjceb-1,Fibroblasts
aafcgapp-1,Endothelial cells
aafcknjd-1,Endothelial cells
aafdbhie-1,Endothelial cells
aafdmblf-1,Endothelial cells
aafeincn-1,Endothelial cells
aaffaehb-1,Fibroblasts
aaffebpi-1,T cells
aaffgfkd-1,Fibroblasts
aafgdpjb-1,Fibroblasts
aafgoipi-1,Fibroblasts
aafgpjag-1,Unknown
aafgpkdn-1,Unknown
aafhfngk-1,Myeloid cells
aafhfpgn-1,Unknown
aafhhojh-1,Fibroblasts
aafiiehn-1,Fibroblasts
aafiinnh-1,Fibroblasts
aafijjnh-1,Mast cells
aafikohd-1,Myeloid cells
aafikpgm-1,Fibroblasts
aafilpef-1,Unknown
aafimhic-1,Fibroblasts
aafinjlb-1,T cells
aafjlamc-1,T cells
aafkdobb-1,Fibroblasts
aafkeija-1,T cells
aafkfodf-1,Myeloid cells
aafkkgog-1,Unknown
aafldcnf-1,Myeloid cells
aafldpag-1,T cells
aaflkcga-1,Fibroblasts
aaflllde-1,Fibroblasts
aafmabmh-1,Unknown
aafmanjo-1,Fibroblasts
aafmmbfl-1,T cells
aafncbgj-1,Fibroblasts
aafnlpim-1,Mast cells
aafnnbod-1,Unknown
aafnnknn-1,Unknown
aafnohab-1,Fibroblasts
aafnpmbm-1,Myeloid cells
aafoboji-1,T cells
aafokmnp-1,T cells
aafpfmld-1,Fibroblasts
aagakadi-1,Fibroblasts
aagbaanp-1,Fibroblasts
aagbafma-1,Fibroblasts
aagbdefm-1,Fibroblasts
aagblkfk-1,Fibroblasts
aagcegkc-1,Fibroblasts
aagcgnhi-1,Fibroblasts
aagciceg-1,Myeloid cells
aagdbhee-1,Fibroblasts
aagebgbi-1,T cells
aagehgpi-1,Fibroblasts
aagejida-1,Fibroblasts
aagelbhf-1,Myeloid cells
aagfdihc-1,Myeloid cells
aagfllia-1,Fibroblasts
aaggadai-1,Unknown
aagganfh-1,Myeloid cells
aaggjpdc-1,Fibroblasts
aaggmjmc-1,Fibroblasts
aaghbfcn-1,T cells
aaghccfm-1,Fibroblasts
aaghnmkn-1,Fibroblasts
aagiamdm-1,T cells
aagichln-1,T cells
