cell_id,group
aafgpgmo-1,proliferative ductal/tumor epithelial
aafhdele-1,proliferative ductal/tumor epithelial
aafhjcof-1,acinar epithelial
aafigcmc-1,acinar epithelial
aafipejm-1,proliferative ductal/tumor epithelial
aafjnefk-1,proliferative ductal/tumor epithelial
aafkckea-1,ductal/tumor epithelial
aafkhbfo-1,ductal/tumor epithelial
aafldopk-1,acinar epithelial
aafmbcka-1,proliferative ductal/tumor epithelial
aafmlhio-1,proliferative ductal/tumor epithelial
aafnbpij-1,acinar epithelial
aafnmopl-1,ductal/tumor epithelial
aafnpnbm-1,ductal/tumor epithelial
aafoanbf-1,acinar epithelial
aafogodn-1,ductal/tumor epithelial
aafopiio-1,ductal/tumor epithelial
aafpmhbi-1,ductal/tumor epithelial
aagabgea-1,proliferative ductal/tumor epithelial
aagaohmi-1,proliferative ductal/tumor epithelial
aagbadck-1,ductal/tumor epithelial
aagcijmh-1,acinar epithelial
aagdbgmf-1,acinar epithelial
aagdcgom-1,proliferative ductal/tumor epithelial
aageagec-1,acinar epithelial
aagecjgc-1,acinar epithelial
aagekcal-1,proliferative ductal/tumor epithelial
aagfafcd-1,acinar epithelial
aagfdpea-1,ductal/tumor epithelial
aagfmbdi-1,acinar epithelial
aagfpelo-1,ductal/tumor epithelial
aaghflom-1,acinar epithelial
aaghhdpa-1,acinar epithelial
aaghoohe-1,ductal/tumor epithelial
aagicpjg-1,ductal/tumor epithelial
aagiemde-1,ductal/tumor epithelial
aaginemn-1,acinar epithelial
aagipgol-1,acinar epithelial
aagjeine-1,ductal/tumor epithelial
aagkahlg-1,acinar epithelial
aagkakpg-1,acinar epithelial
aaglebdi-1,acinar epithelial
aagmepja-1,ductal/tumor epithelial
aagmkdgf-1,acinar epithelial
aagndkda-1,acinar epithelial
aagnknmd-1,acinar epithelial
aagnomna-1,acinar epithelial
aagoeojj-1,ductal/tumor epithelial
aagpefbo-1,endothelial
aagplhce-1,acinar epithelial
aagppnak-1,ductal/tumor epithelial
aahadlcn-1,acinar epithelial
aahbfoff-1,acinar epithelial
aahcfkgb-1,ductal/tumor epithelial
aahegcik-1,acinar epithelial
aaheinpi-1,ductal/tumor epithelial
aaheogmd-1,ductal/tumor epithelial
aahepedl-1,ductal/tumor epithelial
aahgjndd-1,ductal/tumor epithelial
aahhlped-1,ductal/tumor epithelial
aahibbmh-1,acinar epithelial
aahigbal-1,ductal/tumor epithelial
aahjfacp-1,acinar epithelial
aahjlhnk-1,ductal/tumor epithelial
aahjlnea-1,acinar epithelial
aahkeoch-1,ductal/tumor epithelial
aahkohlc-1,acinar epithelial
aahldfld-1,ductal/tumor epithelial
aahmjfem-1,ductal/tumor epithelial
aahnomop-1,acinar epithelial
aahpeobo-1,ductal/tumor epithelial
aaiagioc-1,activated fibroblast/stellate
aaibdchg-1,myeloid/macrophage
aaibfmgn-1,ductal/tumor epithelial
aaibjald-1,proliferative ductal/tumor epithelial
aaibloae-1,ductal/tumor epithelial
aaidmgmd-1,ductal/tumor epithelial
aaiefnaj-1,ductal/tumor epithelial
aaifgonl-1,ductal/tumor epithelial
aaigkpge-1,ductal/tumor epithelial
aaiidggp-1,acinar epithelial
aaiimlmb-1,proliferative ductal/tumor epithelial
aaijjifc-1,acinar epithelial
aaikdbdc-1,ductal/tumor epithelial
aaikfjbh-1,acinar epithelial
aaikjpfp-1,activated fibroblast/stellate
aaikmola-1,acinar epithelial
aainofec-1,activated fibroblast/stellate
aaioecnp-1,activated fibroblast/stellate
aaiogpph-1,acinar epithelial
aaioinah-1,ductal/tumor epithelial
aaipgamf-1,Tregs
aaiphlnl-1,acinar epithelial
aaipjfcp-1,acinar epithelial
aajabbgi-1,acinar epithelial
aajagomb-1,Tregs
aajagonf-1,ductal/tumor epithelial
aajbacae-1,acinar epithelial
aajcdcic-1,acinar epithelial
aajcojbd-1,activated fibroblast/stellate
aajdiloa-1,acinar epithelial
aajdjagg-1,acinar epithelial
aajdkdaa-1,Tregs
aajdokal-1,acinar epithelial
aajdokgn-1,acinar epithelial
aajeblni-1,acinar epithelial
aajefnna-1,acinar epithelial
aajekoki-1,ductal/tumor epithelial
aajfbcnc-1,acinar epithelial
aajfmabg-1,ductal/tumor epithelial
aajgiihl-1,acinar epithelial
aajhcbhp-1,acinar epithelial
aajiedfj-1,acinar epithelial
aajjafmh-1,ductal/tumor epithelial
aajjeeen-1,acinar epithelial
aajjjbbn-1,ductal/tumor epithelial
aajkbeic-1,acinar epithelial
aajkcmfi-1,ductal/tumor epithelial
aajldhof-1,acinar epithelial
aajlndmd-1,acinar epithelial
aajmolhh-1,acinar epithelial
aajofinl-1,acinar epithelial
aajooemh-1,acinar epithelial
aajpakok-1,acinar epithelial
aajpldeh-1,ductal/tumor epithelial
aakahjfg-1,acinar epithelial
aakbeenk-1,acinar epithelial
aakblcih-1,ductal/tumor epithelial
aakbphoa-1,activated fibroblast/stellate
aakcpknb-1,acinar epithelial
aakeglmf-1,acinar epithelial
aakennlo-1,acinar epithelial
aakfiehl-1,proliferative ductal/tumor epithelial
aakglmnh-1,ductal/tumor epithelial
aakhgbap-1,ductal/tumor epithelial
aakhobaf-1,ductal/tumor epithelial
aakiechd-1,ductal/tumor epithelial
aakikcfn-1,activated fibroblast/stellate
aakjaeko-1,activated fibroblast/stellate
aakjnifi-1,ductal/tumor epithelial
aakjpjej-1,ductal/tumor epithelial
aakkiodk-1,ductal/tumor epithelial
aakljjpo-1,activated fibroblast/stellate
aakmcmeg-1,acinar epithelial
aakmibhi-1,acinar epithelial
aakolikh-1,acinar epithelial
