fiber_type,n_fibers,n_with_cells,mean_signal,median_signal,imageid,pathology,phenotype
MFAP5,34117,6558,1.4458079595262525,0.7011024208543359,S00292623,OA,Dendritic cells
CHP,34118,8805,0.9487480234716558,0.6774641393515588,S00292623,OA,Neutrophils
COL1A1bis,8441,3158,1.4780690993716645,0.8817286269995621,S00292623,OA,Neutrophils
COL4A1,5171,2061,1.552797776075571,0.927782453258682,S00292623,OA,Neutrophils
COL6A1,35631,8820,0.9526859347410392,0.6653878875700485,S00292623,OA,Neutrophils
FN,51408,13498,0.9497657633997155,0.6859466251620479,S00292623,OA,Neutrophils
MFAP5,34117,9127,0.9607177619147038,0.6673806265552182,S00292623,OA,Neutrophils
CHP,34118,17628,2.9124346608820995,1.8941704618403397,S00292623,OA,Vascular cells
COL1A1bis,8441,6461,4.339279193100824,3.3867889492805867,S00292623,OA,Vascular cells
COL4A1,5171,4294,4.93952989189143,3.748327495210936,S00292623,OA,Vascular cells
COL6A1,35631,19204,2.755300938062423,1.864143466022749,S00292623,OA,Vascular cells
FN,51408,26212,2.7607768372580894,1.8557992699036037,S00292623,OA,Vascular cells
MFAP5,34117,18368,2.734100674285927,1.8772838153391616,S00292623,OA,Vascular cells
CHP,29190,2933,1.0112143086983547,0.6440147368289493,S00293087,OA,CD4 T cells
COL1A1bis,11649,1836,1.0118391710292536,0.7006979683655851,S00293087,OA,CD4 T cells
COL4A1,2751,471,1.113525649465446,0.7251591105518357,S00293087,OA,CD4 T cells
COL6A1,28311,3139,1.0037697189563177,0.6521152224391717,S00293087,OA,CD4 T cells
FN,13313,1136,0.8129862654382749,0.628122103237466,S00293087,OA,CD4 T cells
MFAP5,21520,2337,1.0550469737595067,0.6662296185998592,S00293087,OA,CD4 T cells
CHP,29190,3833,0.9931502999361351,0.6485448377464148,S00293087,OA,CD8 T cells
COL1A1bis,11649,2442,0.9686620499885018,0.6958683818094376,S00293087,OA,CD8 T cells
COL4A1,2751,574,1.037599170447367,0.7133917775059726,S00293087,OA,CD8 T cells
COL6A1,28311,3867,0.999516816698644,0.6690151631580589,S00293087,OA,CD8 T cells
FN,13313,1541,0.8692737775226497,0.6572071077408095,S00293087,OA,CD8 T cells
MFAP5,21520,2907,1.0347474179376623,0.6626523223279641,S00293087,OA,CD8 T cells
CHP,29190,1095,1.6895337313523324,0.6370137677678759,S00293087,OA,T cells
COL1A1bis,11649,336,1.273861762606069,0.6409012458598555,S00293087,OA,T cells
COL4A1,2751,135,1.7519490631450876,0.8144200971973558,S00293087,OA,T cells
COL6A1,28311,1061,1.4277749002582005,0.6712486492769146,S00293087,OA,T cells
FN,13313,642,1.2015087492918484,0.6727694536457454,S00293087,OA,T cells
MFAP5,21520,797,1.6020902194540783,0.6597707629744646,S00293087,OA,T cells
CHP,29190,846,0.9617818601136626,0.6223557703190314,S00293087,OA,B cells
COL1A1bis,11649,609,0.9048902113719726,0.6355546702849506,S00293087,OA,B cells
COL4A1,2751,135,1.0017391651591345,0.6385856108004938,S00293087,OA,B cells
COL6A1,28311,813,0.9343912957829842,0.6078143731667139,S00293087,OA,B cells
FN,13313,374,0.8355516522023893,0.5609337129665427,S00293087,OA,B cells
MFAP5,21520,670,1.1095438902544392,0.6301047329478819,S00293087,OA,B cells
CHP,29190,112,0.8381097910685985,0.6380967689951251,S00293087,OA,Plasma cells
COL1A1bis,11649,49,0.5981715363818962,0.4359600079292235,S00293087,OA,Plasma cells
COL4A1,2751,8,0.7439480007200916,0.5011699576260354,S00293087,OA,Plasma cells
COL6A1,28311,78,0.8896393421042933,0.6895966052334326,S00293087,OA,Plasma cells
FN,13313,62,0.8316007307792967,0.6038200625685668,S00293087,OA,Plasma cells
MFAP5,21520,61,0.8630960920755045,0.738118686658884,S00293087,OA,Plasma cells
CHP,29190,18454,2.5204318015140164,1.642166490926543,S00293087,OA,Macrophages
COL1A1bis,11649,5231,1.7629178536763968,0.9552573797735151,S00293087,OA,Macrophages
COL4A1,2751,1502,2.367774957433769,1.3478037305002966,S00293087,OA,Macrophages
COL6A1,28311,17355,2.805891131493523,1.6404677907175698,S00293087,OA,Macrophages
FN,13313,8650,3.525107006169433,2.245344192260464,S00293087,OA,Macrophages
MFAP5,21520,13305,2.8330116878980993,1.706745134667384,S00293087,OA,Macrophages
CHP,29190,117,0.8534542405040978,0.7312943646468285,S00293087,OA,MERTK+ Macrophages
COL1A1bis,11649,28,1.3441268775131447,0.9164311456063226,S00293087,OA,MERTK+ Macrophages
COL4A1,2751,18,1.2771738619684359,0.8435757732328862,S00293087,OA,MERTK+ Macrophages
COL6A1,28311,115,0.8305580298787902,0.6772450930688867,S00293087,OA,MERTK+ Macrophages
FN,13313,95,1.0288485887791106,0.7474928364913186,S00293087,OA,MERTK+ Macrophages
MFAP5,21520,84,0.9535990206003364,0.7300198279548067,S00293087,OA,MERTK+ Macrophages
CHP,29190,24501,2.7939065374857095,1.9884094865134951,S00293087,OA,Monocytes
COL1A1bis,11649,10100,2.6411355471892595,1.9828246198678845,S00293087,OA,Monocytes
COL4A1,2751,2193,3.048695068540704,2.1144084873886606,S00293087,OA,Monocytes
COL6A1,28311,22991,2.6470544371336717,1.8662320722385015,S00293087,OA,Monocytes
FN,13313,11828,3.5389585276923676,2.602725879109971,S00293087,OA,Monocytes
MFAP5,21520,17506,2.823834906238914,1.960946475966089,S00293087,OA,Monocytes
CHP,29190,3390,0.8473442076558635,0.6408872123777742,S00293087,OA,Dendritic cells
COL1A1bis,11649,1890,0.841818513793403,0.6340457334485444,S00293087,OA,Dendritic cells
COL4A1,2751,507,0.9347347158882234,0.7237647260133805,S00293087,OA,Dendritic cells
COL6A1,28311,3673,0.8568771651272686,0.634672682594069,S00293087,OA,Dendritic cells
FN,13313,1140,0.7206723525949243,0.5817304789355625,S00293087,OA,Dendritic cells
MFAP5,21520,2558,0.9077482808201907,0.6571428424307352,S00293087,OA,Dendritic cells
CHP,29190,4113,0.7850523858538078,0.6065675684927981,S00293087,OA,Neutrophils
COL1A1bis,11649,1774,0.7988872955976062,0.5934883125005435,S00293087,OA,Neutrophils
COL4A1,2751,579,1.1851622650187656,0.7881700453139359,S00293087,OA,Neutrophils
COL6A1,28311,3621,0.7501230774831127,0.5990480722287453,S00293087,OA,Neutrophils
FN,13313,2468,0.8709051997873241,0.6463604741950173,S00293087,OA,Neutrophils
MFAP5,21520,3014,0.7805884041267724,0.606889752009449,S00293087,OA,Neutrophils
CHP,29190,15925,3.2935077018696313,2.229401462932792,S00293087,OA,Vascular cells
COL1A1bis,11649,8097,4.337224650271891,3.169395917266913,S00293087,OA,Vascular cells
COL4A1,2751,2587,6.592800609500204,5.510469370088192,S00293087,OA,Vascular cells
COL6A1,28311,16232,3.4228525160279992,2.3450935040755816,S00293087,OA,Vascular cells
FN,13313,7232,3.3664010104497404,2.3010182516766364,S00293087,OA,Vascular cells
MFAP5,21520,12767,3.3760989118382976,2.3955783521929055,S00293087,OA,Vascular cells
