fiber_type,n_fibers,n_with_cells,mean_signal,median_signal,imageid,pathology,phenotype
CHP,6262,2845,1.698605842667482,1.1009359214030998,JRP122,RA,CD8 T cells
COL1A1bis,2683,1602,1.6276535338308373,1.0526173627913638,JRP122,RA,CD8 T cells
COL4A1,904,539,1.7273634030087408,1.1145130794513287,JRP122,RA,CD8 T cells
COL6A1,10614,4909,1.4684115287473214,0.9309319982031081,JRP122,RA,CD8 T cells
FN,10765,4600,1.33982234599058,0.8896175240443998,JRP122,RA,CD8 T cells
MFAP5,9030,3822,1.2574842302927864,0.8502125820323301,JRP122,RA,CD8 T cells
CHP,6262,373,1.5431827991024458,0.6410381787479101,JRP122,RA,T cells
COL1A1bis,2683,132,1.1830113229066637,0.670469468341067,JRP122,RA,T cells
COL4A1,904,50,0.8150151311691611,0.6901004362680969,JRP122,RA,T cells
COL6A1,10614,595,2.1306736524565015,0.6566888991275628,JRP122,RA,T cells
FN,10765,463,2.346948232104938,0.6062378415223216,JRP122,RA,T cells
MFAP5,9030,477,2.9154742921277177,0.6922003154035479,JRP122,RA,T cells
CHP,6262,2109,7.162016433300975,1.5224794279648044,JRP122,RA,B cells
COL1A1bis,2683,1090,4.493932686765794,1.0893158439389432,JRP122,RA,B cells
COL4A1,904,395,5.086914695518499,1.4452801296689548,JRP122,RA,B cells
COL6A1,10614,3408,4.055312503398262,1.1633420308670466,JRP122,RA,B cells
FN,10765,3151,3.9478784002570926,1.1594484371449791,JRP122,RA,B cells
MFAP5,9030,2582,2.8694722993886117,0.980241519090548,JRP122,RA,B cells
CHP,6262,2899,8.095386443890833,4.659513843868146,JRP122,RA,Plasma cells
COL1A1bis,2683,1833,6.822642588972366,4.782340156324191,JRP122,RA,Plasma cells
COL4A1,904,544,6.125386934938716,4.297017644071106,JRP122,RA,Plasma cells
COL6A1,10614,5088,6.195166723535571,3.3207600042753644,JRP122,RA,Plasma cells
FN,10765,4581,5.296177307792775,2.7071935580663578,JRP122,RA,Plasma cells
MFAP5,9030,3978,5.029091604153751,2.627555400988232,JRP122,RA,Plasma cells
CHP,6262,4205,2.3079094400267124,1.4699915162715254,JRP122,RA,Macrophages
COL1A1bis,2683,1505,1.4124807961906005,0.9214539162851351,JRP122,RA,Macrophages
COL4A1,904,506,1.2791117403904404,0.9194216768939268,JRP122,RA,Macrophages
