phenotype,n_cells,n_with_fiber,median_density,mean_density,imageid,pathology,fiber_type
Dendritic cells,567,551,0.0017825353626292279,0.0016644545264477997,JRP112,RA,FN
MERTK+ Macrophages,2664,2662,0.0017825353626292279,0.001711603197158069,JRP112,RA,FN
Macrophages,4539,4501,0.0012732395447351628,0.001317934467656326,JRP112,RA,FN
Monocytes,7964,7889,0.0015278874536821952,0.0014607635689496113,JRP112,RA,FN
Myeloid cells,850,831,0.0016552114081557115,0.001719716083045423,JRP112,RA,FN
Neutrophils,2405,2400,0.0017825353626292279,0.0017534630596911082,JRP112,RA,FN
Non-immune cells,7078,6564,0.0010185916357881302,0.0010584725087920226,JRP112,RA,FN
Other Immune cells,4790,4770,0.0017825353626292279,0.0016912197969575506,JRP112,RA,FN
Plasma cells,822,821,0.0015278874536821952,0.0015375026609627776,JRP112,RA,FN
T cells,2516,2495,0.0012732395447351628,0.0013721388728993608,JRP112,RA,FN
Vascular cells,4603,4585,0.0015278874536821952,0.0014481329504656328,JRP112,RA,FN
B cells,433,278,0.0003819718634205488,0.0004460918404935426,JRP112,RA,MFAP5
CD4 T cells,11858,7421,0.0005092958178940651,0.0006302029607555216,JRP112,RA,MFAP5
CD8 T cells,2895,1774,0.0003819718634205488,0.0005115925295869357,JRP112,RA,MFAP5
Dendritic cells,567,282,0.0003819718634205488,0.0004939447028156979,JRP112,RA,MFAP5
MERTK+ Macrophages,2664,1538,0.0003819718634205488,0.00045300174179394086,JRP112,RA,MFAP5
Macrophages,4539,2412,0.0005092958178940651,0.0006415818170278263,JRP112,RA,MFAP5
Monocytes,7964,6401,0.0006366197723675814,0.0007316801033203909,JRP112,RA,MFAP5
Myeloid cells,850,561,0.0006366197723675814,0.0006234561549710324,JRP112,RA,MFAP5
Neutrophils,2405,1565,0.0003819718634205488,0.000444616876164707,JRP112,RA,MFAP5
Non-immune cells,7078,5293,0.0010185916357881302,0.001042839235657638,JRP112,RA,MFAP5
Other Immune cells,4790,3909,0.0006366197723675814,0.000718636072537526,JRP112,RA,MFAP5
Plasma cells,822,743,0.0008912676813146139,0.000905490949445572,JRP112,RA,MFAP5
T cells,2516,1876,0.0005092958178940651,0.000546420659630213,JRP112,RA,MFAP5
Vascular cells,4603,4336,0.0008912676813146139,0.0009309976883262992,JRP112,RA,MFAP5
B cells,3256,3239,0.0010185916357881302,0.001067335601069748,JRP122,RA,CHP
CD4 T cells,3216,3173,0.0008912676813146139,0.0009996114181814572,JRP122,RA,CHP
CD8 T cells,1424,1400,0.0007639437268410976,0.0007918640511435044,JRP122,RA,CHP
Dendritic cells,953,893,0.0006366197723675814,0.0007070543003742074,JRP122,RA,CHP
MERTK+ Macrophages,451,377,0.00025464790894703254,0.00035934399883241725,JRP122,RA,CHP
Macrophages,4757,4284,0.0003819718634205488,0.0005359256645813365,JRP122,RA,CHP
Monocytes,10119,9691,0.0006366197723675814,0.0006402459627952659,JRP122,RA,CHP
Myeloid cells,388,352,0.0003819718634205488,0.0004894014500075782,JRP122,RA,CHP
Neutrophils,384,346,0.0006366197723675814,0.0006712106732939124,JRP122,RA,CHP
Non-immune cells,34129,32445,0.0005092958178940651,0.0005866320228812615,JRP122,RA,CHP
Other Immune cells,362,358,0.0007002817496043395,0.0007418932095859077,JRP122,RA,CHP
Plasma cells,5695,5637,0.0008912676813146139,0.0009389040517216826,JRP122,RA,CHP
T cells,302,294,0.0003819718634205488,0.00046122452896018646,JRP122,RA,CHP
Vascular cells,4936,4859,0.0006366197723675814,0.0006441140409371277,JRP122,RA,CHP
B cells,3256,2129,0.0003819718634205488,0.0005463148539763134,JRP122,RA,COL1A1bis
CD4 T cells,3216,2112,0.0005092958178940651,0.0006097925187024701,JRP122,RA,COL1A1bis
CD8 T cells,1424,900,0.0005092958178940651,0.0006739681323464794,JRP122,RA,COL1A1bis
Dendritic cells,953,458,0.0003819718634205488,0.0004867778259456921,JRP122,RA,COL1A1bis
MERTK+ Macrophages,451,113,0.00012732395447351627,0.00020957748258472589,JRP122,RA,COL1A1bis
Macrophages,4757,1604,0.00025464790894703254,0.0003447431011711229,JRP122,RA,COL1A1bis
Monocytes,10119,6382,0.0005092958178940651,0.0005878009512148559,JRP122,RA,COL1A1bis
Myeloid cells,388,158,0.0003819718634205488,0.0005745694907570702,JRP122,RA,COL1A1bis
Neutrophils,384,172,0.0005092958178940651,0.0006847363830697823,JRP122,RA,COL1A1bis
Non-immune cells,34129,14787,0.0003819718634205488,0.0005429199500519796,JRP122,RA,COL1A1bis
Other Immune cells,362,250,0.0005092958178940651,0.0005576789205940012,JRP122,RA,COL1A1bis
Plasma cells,5695,3952,0.0006366197723675814,0.0007440332501547026,JRP122,RA,COL1A1bis
T cells,302,63,0.0003819718634205488,0.0005941784542097425,JRP122,RA,COL1A1bis
Vascular cells,4936,3526,0.0006366197723675814,0.0007192034036440793,JRP122,RA,COL1A1bis
B cells,3256,2058,0.00025464790894703254,0.0002331179108144846,JRP122,RA,COL4A1
CD4 T cells,3216,2165,0.00025464790894703254,0.00023318220761546973,JRP122,RA,COL4A1
CD8 T cells,1424,861,0.00025464790894703254,0.0002478454677091908,JRP122,RA,COL4A1
Dendritic cells,953,419,0.00025464790894703254,0.0002485703932203731,JRP122,RA,COL4A1
MERTK+ Macrophages,451,28,0.00012732395447351627,0.00015915494309189532,JRP122,RA,COL4A1
Macrophages,4757,915,0.00012732395447351627,0.00019147296323011846,JRP122,RA,COL4A1
Monocytes,10119,4780,0.00012732395447351627,0.0002228701939497721,JRP122,RA,COL4A1
Myeloid cells,388,94,0.00012732395447351627,0.00024110280740729677,JRP122,RA,COL4A1
Neutrophils,384,184,0.00012732395447351627,0.00023042867847652672,JRP122,RA,COL4A1
Non-immune cells,34129,12972,0.00012732395447351627,0.00023096361183443657,JRP122,RA,COL4A1
Other Immune cells,362,190,0.00012732395447351627,0.00023521425273791689,JRP122,RA,COL4A1
Plasma cells,5695,3373,0.00025464790894703254,0.00023935997489373456,JRP122,RA,COL4A1
T cells,302,38,0.0001909859317102744,0.0002345441266617405,JRP122,RA,COL4A1
Vascular cells,4936,4600,0.00025464790894703254,0.00028982807115047587,JRP122,RA,COL4A1
B cells,3256,3198,0.0010185916357881302,0.001016720395681734,JRP122,RA,COL6A1
CD4 T cells,3216,3191,0.0010185916357881302,0.001069904266766802,JRP122,RA,COL6A1
CD8 T cells,1424,1418,0.0011459155902616464,0.001177162935929336,JRP122,RA,COL6A1
Dendritic cells,953,876,0.0010185916357881302,0.001050567971386502,JRP122,RA,COL6A1
MERTK+ Macrophages,451,441,0.0006366197723675814,0.0006969615104287263,JRP122,RA,COL6A1
Macrophages,4757,4676,0.0008912676813146139,0.0009630984323627611,JRP122,RA,COL6A1
Monocytes,10119,10086,0.0011459155902616464,0.0011707592886955032,JRP122,RA,COL6A1
Myeloid cells,388,343,0.0008912676813146139,0.0008990630254660537,JRP122,RA,COL6A1
Neutrophils,384,360,0.0011459155902616464,0.0011193897664129972,JRP122,RA,COL6A1
Non-immune cells,34129,33506,0.0010185916357881302,0.001086346250133704,JRP122,RA,COL6A1
Other Immune cells,362,355,0.0010185916357881302,0.001066651945364049,JRP122,RA,COL6A1
Plasma cells,5695,5686,0.0012732395447351628,0.0012913998906862745,JRP122,RA,COL6A1
T cells,302,271,0.0011459155902616464,0.001094704110418055,JRP122,RA,COL6A1
Vascular cells,4936,4935,0.0010185916357881302,0.0010983916340022305,JRP122,RA,COL6A1
B cells,3256,2911,0.0008912676813146139,0.0010045514470605455,JRP122,RA,FN
CD4 T cells,3216,2930,0.0010185916357881302,0.001060482520468154,JRP122,RA,FN
CD8 T cells,1424,1313,0.0010185916357881302,0.001091029559620359,JRP122,RA,FN
Dendritic cells,953,846,0.0008912676813146139,0.0009579396811157579,JRP122,RA,FN
MERTK+ Macrophages,451,406,0.0005092958178940651,0.0006341109259740145,JRP122,RA,FN
Macrophages,4757,4547,0.0010185916357881302,0.0010142233628833868,JRP122,RA,FN
Monocytes,10119,9894,0.0012732395447351628,0.0012198597425160252,JRP122,RA,FN
Myeloid cells,388,309,0.0005092958178940651,0.0007322157511308687,JRP122,RA,FN
Neutrophils,384,353,0.0010185916357881302,0.0011148961565938776,JRP122,RA,FN
Non-immune cells,34129,32933,0.0010185916357881302,0.0011031366282402862,JRP122,RA,FN
Other Immune cells,362,324,0.0008912676813146139,0.0009431404035075278,JRP122,RA,FN
Plasma cells,5695,5279,0.0010185916357881302,0.0010859799913098208,JRP122,RA,FN
T cells,302,282,0.0010822536130248883,0.0008890101643913246,JRP122,RA,FN
Vascular cells,4936,4784,0.0011459155902616464,0.001133220455168865,JRP122,RA,FN
B cells,3256,2953,0.0005092958178940651,0.0006059206001409835,JRP122,RA,MFAP5
CD4 T cells,3216,3006,0.0006366197723675814,0.0006736394450920834,JRP122,RA,MFAP5
CD8 T cells,1424,1393,0.0007639437268410976,0.0008215274248441955,JRP122,RA,MFAP5
Dendritic cells,953,905,0.0007639437268410976,0.0007716816467262285,JRP122,RA,MFAP5
MERTK+ Macrophages,451,427,0.0003819718634205488,0.0005131721912152729,JRP122,RA,MFAP5
Macrophages,4757,4630,0.0007639437268410976,0.0008241407325306283,JRP122,RA,MFAP5
Monocytes,10119,10026,0.0008912676813146139,0.0008761046250966428,JRP122,RA,MFAP5
Myeloid cells,388,356,0.0007639437268410976,0.0007560753925758803,JRP122,RA,MFAP5
Neutrophils,384,353,0.0008912676813146139,0.0008757579644807295,JRP122,RA,MFAP5
Non-immune cells,34129,33697,0.0008912676813146139,0.0009182914793498867,JRP122,RA,MFAP5
Other Immune cells,362,349,0.0007639437268410976,0.0007949538590194611,JRP122,RA,MFAP5
Plasma cells,5695,5556,0.0008912676813146139,0.0008620720877222345,JRP122,RA,MFAP5
T cells,302,293,0.0010185916357881302,0.0011033294211885932,JRP122,RA,MFAP5
Vascular cells,4936,4917,0.0008912676813146139,0.0009234288266178694,JRP122,RA,MFAP5
B cells,7367,7276,0.0011459155902616464,0.0011912909357742671,JRP141,RA,CHP
CD4 T cells,19229,19018,0.0008912676813146139,0.0008951775135478947,JRP141,RA,CHP
CD8 T cells,9574,9500,0.0008912676813146139,0.0009267977658734867,JRP141,RA,CHP
Dendritic cells,29013,28392,0.0007639437268410976,0.0008351037898724359,JRP141,RA,CHP
MERTK+ Macrophages,3249,3159,0.0007639437268410976,0.0007676518002224093,JRP141,RA,CHP
Macrophages,17433,16880,0.0007639437268410976,0.0007751147444107231,JRP141,RA,CHP
Monocytes,33258,33069,0.0008912676813146139,0.0009622547613178864,JRP141,RA,CHP
Myeloid cells,6247,5991,0.0007639437268410976,0.0008319731006133771,JRP141,RA,CHP
Neutrophils,6360,6112,0.0007639437268410976,0.0007652352983688067,JRP141,RA,CHP
Non-immune cells,75694,74249,0.0007639437268410976,0.0007491190748400801,JRP141,RA,CHP
Other Immune cells,5742,5700,0.0007639437268410976,0.0007865269756082424,JRP141,RA,CHP
Plasma cells,6501,6493,0.0010185916357881302,0.0010424562981313104,JRP141,RA,CHP
T cells,3482,3355,0.0006366197723675814,0.0006914203059770471,JRP141,RA,CHP
Vascular cells,4539,4491,0.0007639437268410976,0.0007784593947748408,JRP141,RA,CHP
B cells,7367,5863,0.0006366197723675814,0.0007397080909563212,JRP141,RA,COL1A1bis
CD4 T cells,19229,18102,0.0010185916357881302,0.0009843797412704425,JRP141,RA,COL1A1bis
CD8 T cells,9574,8773,0.0008912676813146139,0.0009643414429439487,JRP141,RA,COL1A1bis
Dendritic cells,29013,25238,0.0008912676813146139,0.0008906774244530004,JRP141,RA,COL1A1bis
MERTK+ Macrophages,3249,2584,0.0007639437268410976,0.0008642655423628001,JRP141,RA,COL1A1bis
Macrophages,17433,13923,0.0006366197723675814,0.00079419494004216,JRP141,RA,COL1A1bis
Monocytes,33258,29544,0.0010185916357881302,0.0010273919172339371,JRP141,RA,COL1A1bis
Myeloid cells,6247,4745,0.0003819718634205488,0.0005842948595702459,JRP141,RA,COL1A1bis
Neutrophils,6360,5408,0.0008912676813146139,0.0008730919984644744,JRP141,RA,COL1A1bis
Non-immune cells,75694,67142,0.0008912676813146139,0.0009580851656891386,JRP141,RA,COL1A1bis
Other Immune cells,5742,5396,0.0010185916357881302,0.00096991311131095,JRP141,RA,COL1A1bis
Plasma cells,6501,5620,0.0008912676813146139,0.0009252056321689425,JRP141,RA,COL1A1bis
T cells,3482,2847,0.0006366197723675814,0.0007714123255053327,JRP141,RA,COL1A1bis
Vascular cells,4539,4495,0.0010185916357881302,0.0010074879672333763,JRP141,RA,COL1A1bis
B cells,7367,3032,0.00012732395447351627,0.0002133684078759684,JRP141,RA,COL4A1
CD4 T cells,19229,11550,0.00025464790894703254,0.00024835336539687,JRP141,RA,COL4A1
CD8 T cells,9574,5646,0.00025464790894703254,0.00025388116887404286,JRP141,RA,COL4A1
Dendritic cells,29013,11924,0.00012732395447351627,0.0002265755610511189,JRP141,RA,COL4A1
MERTK+ Macrophages,3249,564,0.00012732395447351627,0.00019730697909548444,JRP141,RA,COL4A1
Macrophages,17433,4409,0.00012732395447351627,0.00020535283290115086,JRP141,RA,COL4A1
Monocytes,33258,15589,0.00012732395447351627,0.0002235867120220994,JRP141,RA,COL4A1
Myeloid cells,6247,2670,0.00012732395447351627,0.0002219824000277971,JRP141,RA,COL4A1
Neutrophils,6360,2593,0.00012732395447351627,0.00023446659568493645,JRP141,RA,COL4A1
Non-immune cells,75694,26790,0.00012732395447351627,0.00023206323437972574,JRP141,RA,COL4A1
Other Immune cells,5742,2324,0.00025464790894703254,0.00025037455763509867,JRP141,RA,COL4A1
Plasma cells,6501,3570,0.00012732395447351627,0.0002137045196653528,JRP141,RA,COL4A1
T cells,3482,1295,0.00025464790894703254,0.00030085814725016197,JRP141,RA,COL4A1
Vascular cells,4539,4344,0.00025464790894703254,0.0003163460959099128,JRP141,RA,COL4A1
B cells,7367,7005,0.0010185916357881302,0.0010471645489119514,JRP141,RA,COL6A1
CD4 T cells,19229,18666,0.0012732395447351628,0.0012762067535745487,JRP141,RA,COL6A1
CD8 T cells,9574,9291,0.001400563499208679,0.0013320160425004098,JRP141,RA,COL6A1
Dendritic cells,29013,27528,0.0011459155902616464,0.0011575110986118756,JRP141,RA,COL6A1
MERTK+ Macrophages,3249,3151,0.0011459155902616464,0.0011213074378419792,JRP141,RA,COL6A1
Macrophages,17433,16953,0.0011459155902616464,0.0011489948577266464,JRP141,RA,COL6A1
Monocytes,33258,33166,0.0015278874536821952,0.0015170423058986915,JRP141,RA,COL6A1
Myeloid cells,6247,5973,0.0012732395447351628,0.0012530740565496702,JRP141,RA,COL6A1
Neutrophils,6360,6046,0.0011459155902616464,0.001132227106899459,JRP141,RA,COL6A1
Non-immune cells,75694,72654,0.0012732395447351628,0.001217174524894318,JRP141,RA,COL6A1
Other Immune cells,5742,5074,0.0007639437268410976,0.0008936766485257801,JRP141,RA,COL6A1
Plasma cells,6501,6029,0.0015278874536821952,0.0014550072136941203,JRP141,RA,COL6A1
T cells,3482,3301,0.0008912676813146139,0.0009887759990695516,JRP141,RA,COL6A1
Vascular cells,4539,4515,0.001400563499208679,0.0013573889755544256,JRP141,RA,COL6A1
B cells,7367,6169,0.0007639437268410976,0.0008440242817701368,JRP141,RA,FN
CD4 T cells,19229,18365,0.0008912676813146139,0.0009590721068387626,JRP141,RA,FN
CD8 T cells,9574,9295,0.0010185916357881302,0.001050165784799583,JRP141,RA,FN
Dendritic cells,29013,28046,0.0010185916357881302,0.0010093076920208073,JRP141,RA,FN
MERTK+ Macrophages,3249,3167,0.0008912676813146139,0.0009451401470533293,JRP141,RA,FN
Macrophages,17433,17146,0.0010185916357881302,0.0010647731167674139,JRP141,RA,FN
Monocytes,33258,32958,0.0012732395447351628,0.00129130395432064,JRP141,RA,FN
Myeloid cells,6247,6010,0.0010185916357881302,0.0010563439297767833,JRP141,RA,FN
Neutrophils,6360,6168,0.0008912676813146139,0.0009637853616105709,JRP141,RA,FN
Non-immune cells,75694,73778,0.0011459155902616464,0.0011257585815564678,JRP141,RA,FN
Other Immune cells,5742,5507,0.0007639437268410976,0.0008705055765175887,JRP141,RA,FN
Plasma cells,6501,6363,0.0011459155902616464,0.0011594223746824578,JRP141,RA,FN
T cells,3482,3405,0.0008912676813146139,0.0009025978305673232,JRP141,RA,FN
Vascular cells,4539,4452,0.0008912676813146139,0.0009663979662207073,JRP141,RA,FN
B cells,7367,4384,0.0005092958178940651,0.000548939339302904,JRP141,RA,MFAP5
