imageid,pathology,phenotype,fiber_type,feature_fiber,cell_feature,cross_morans_i
JRP112,RA,T cells,COL1A1bis,area,is_T_cells,0.014204304827628994
JRP112,RA,T cells,COL1A1bis,eccentricity,is_T_cells,-0.0275399199272654
JRP112,RA,T cells,COL1A1bis,alignment_score,is_T_cells,0.14155458694668538
JRP112,RA,T cells,COL4A1,major_axis_length,is_T_cells,0.022871505961524787
JRP112,RA,T cells,COL4A1,minor_axis_length,is_T_cells,0.12063712605939886
JRP112,RA,T cells,COL4A1,area,is_T_cells,0.08641211564523404
JRP112,RA,T cells,COL4A1,eccentricity,is_T_cells,-0.11340231237795967
JRP112,RA,T cells,COL4A1,alignment_score,is_T_cells,0.09774300021659704
JRP112,RA,T cells,COL6A1,major_axis_length,is_T_cells,0.0011846861325269123
JRP112,RA,T cells,COL6A1,minor_axis_length,is_T_cells,0.014885801707356561
JRP112,RA,T cells,COL6A1,area,is_T_cells,0.02993746264806834
JRP112,RA,T cells,COL6A1,eccentricity,is_T_cells,-0.02029880546234054
JRP112,RA,T cells,COL6A1,alignment_score,is_T_cells,0.19611664030679526
JRP112,RA,T cells,FN,major_axis_length,is_T_cells,0.036900474933554084
JRP112,RA,T cells,FN,minor_axis_length,is_T_cells,0.03746589899974592
JRP112,RA,T cells,FN,area,is_T_cells,0.03331313964153674
JRP112,RA,T cells,FN,eccentricity,is_T_cells,-0.015421461895385421
JRP112,RA,T cells,FN,alignment_score,is_T_cells,0.14255891737099463
JRP112,RA,T cells,MFAP5,major_axis_length,is_T_cells,0.05515574457306268
JRP112,RA,T cells,MFAP5,minor_axis_length,is_T_cells,0.052377703210452084
JRP112,RA,T cells,MFAP5,area,is_T_cells,0.08010420210295889
JRP112,RA,T cells,MFAP5,eccentricity,is_T_cells,-0.03772056542197633
JRP112,RA,T cells,MFAP5,alignment_score,is_T_cells,0.16665672812571902
JRP112,RA,B cells,CHP,major_axis_length,is_B_cells,-0.03338221836639145
JRP112,RA,B cells,CHP,minor_axis_length,is_B_cells,-0.03141204633177483
JRP112,RA,B cells,CHP,area,is_B_cells,-0.016635234398213024
JRP112,RA,B cells,CHP,eccentricity,is_B_cells,0.003597653771259615
JRP112,RA,B cells,CHP,alignment_score,is_B_cells,0.03290777553596134
JRP112,RA,B cells,COL1A1bis,major_axis_length,is_B_cells,-0.00605438854605055
JRP112,RA,B cells,COL1A1bis,minor_axis_length,is_B_cells,0.008763661946682846
JRP112,RA,B cells,COL1A1bis,area,is_B_cells,0.003048491233682412
JRP112,RA,B cells,COL1A1bis,eccentricity,is_B_cells,-0.010620940346161479
JRP112,RA,B cells,COL1A1bis,alignment_score,is_B_cells,0.06860061987940734
JRP112,RA,B cells,COL4A1,major_axis_length,is_B_cells,-0.060497191819053636
JRP112,RA,B cells,COL4A1,minor_axis_length,is_B_cells,-0.028202735467689685
JRP112,RA,B cells,COL4A1,area,is_B_cells,-0.0468829599544619
JRP112,RA,B cells,COL4A1,eccentricity,is_B_cells,-0.0027724881325526534
JRP112,RA,B cells,COL4A1,alignment_score,is_B_cells,0.02440854819299727
JRP112,RA,B cells,COL6A1,major_axis_length,is_B_cells,-0.016824871735840137
JRP112,RA,B cells,COL6A1,minor_axis_length,is_B_cells,-0.009864117794437452
JRP112,RA,B cells,COL6A1,area,is_B_cells,-0.012909365440406046
JRP112,RA,B cells,COL6A1,eccentricity,is_B_cells,0.011258352095469359
JRP112,RA,B cells,COL6A1,alignment_score,is_B_cells,0.011441208195018138
JRP112,RA,B cells,FN,major_axis_length,is_B_cells,-0.018591336031098794
