phenotype,fiber_type,feature_fiber,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
Monocytes,CHP,minor_axis_length,3,3,0.007879140976650873,-0.015501031506402455,0.023380172483053328,0.1
T cells,COL1A1bis,area,3,3,0.018598360288650265,-0.004732082935155167,0.023330443223805432,0.1
Vascular cells,MFAP5,area,3,3,0.016935087290551886,-0.006066858899216209,0.023001946189768096,0.2
Vascular cells,FN,major_axis_length,3,3,0.029175403737791452,0.006577605115720304,0.022597798622071147,0.1
T cells,FN,alignment_score,3,3,0.03430451935000655,0.011953882434094803,0.02235063691591175,0.7
Monocytes,CHP,eccentricity,3,3,0.019447459851894295,-0.002504295667736955,0.02195175551963125,0.4
T cells,COL1A1bis,major_axis_length,3,3,0.015376018124237856,-0.0058775910070510765,0.02125360913128893,0.4
T cells,COL1A1bis,minor_axis_length,3,3,0.015992616303028482,-0.005101852133379777,0.02109446843640826,0.1
MERTK+ Macrophages,COL1A1bis,minor_axis_length,3,3,0.018280527633017792,-0.0027935459009280766,0.02107407353394587,0.4
Monocytes,CHP,area,3,3,0.0016909246630387679,-0.019223511265399548,0.020914435928438314,0.2
B cells,FN,alignment_score,3,3,0.010580395294152436,-0.009994342942761122,0.02057473823691356,0.7
T cells,MFAP5,minor_axis_length,3,3,0.015566989911581508,-0.004845719009701215,0.020412708921282722,0.4
Neutrophils,MFAP5,eccentricity,3,3,0.020267978418134113,-0.0001409846764180925,0.020408963094552205,0.4
Vascular cells,COL1A1bis,alignment_score,3,3,-0.02611947912554841,-0.045731027181704464,0.019611548056156055,0.7
CD4 T cells,COL1A1bis,major_axis_length,3,3,0.0419965554628221,0.023320229223334935,0.018676326239487163,0.7
MERTK+ Macrophages,CHP,eccentricity,3,3,0.019710358827624168,0.0012105150019218892,0.01849984382570228,0.1
CD4 T cells,COL1A1bis,area,3,3,0.03924076376792387,0.021095256711398905,0.018145507056524963,0.7
Neutrophils,CHP,eccentricity,3,3,0.01736021255018547,-4.3379449923734485e-05,0.017403592000109203,0.1
CD4 T cells,COL4A1,area,3,3,0.01763039002641333,0.00037398277448670987,0.01725640725192662,0.7
B cells,COL6A1,eccentricity,3,3,0.020563068518853964,0.0035164095804195734,0.017046658938434392,0.2
Plasma cells,COL1A1bis,major_axis_length,3,3,0.014727517200578402,-0.0021599194265852456,0.016887436627163646,1.0
Neutrophils,COL4A1,minor_axis_length,3,3,0.011140247782373741,-0.0056852649613161775,0.01682551274368992,1.0
Dendritic cells,COL1A1bis,minor_axis_length,3,3,0.018824978635971244,0.0021623419840687773,0.016662636651902468,0.4
MERTK+ Macrophages,COL6A1,minor_axis_length,3,3,0.004720678685027704,-0.011893074140084538,0.01661375282511224,0.4
Neutrophils,FN,alignment_score,3,3,0.010508145724616174,-0.00593571391756037,0.016443859642176546,0.7
CD8 T cells,COL4A1,alignment_score,3,3,0.009777096813459058,-0.006512777058197541,0.016289873871656597,1.0
Dendritic cells,COL1A1bis,area,3,3,0.017941011401322014,0.001741144276808494,0.01619986712451352,0.4
Monocytes,COL6A1,minor_axis_length,3,3,0.0421979315436451,0.026136655203102533,0.01606127634054257,0.7
Dendritic cells,COL4A1,alignment_score,3,3,0.014500996280773337,-0.0012618241971163503,0.015762820477889686,1.0
Plasma cells,COL6A1,eccentricity,3,3,0.01497216372802201,-0.0007892840200803261,0.015761447748102335,0.4
Dendritic cells,COL1A1bis,major_axis_length,3,3,0.019622796646542394,0.004210983343765081,0.015411813302777314,0.2
CD8 T cells,COL1A1bis,alignment_score,3,3,0.0005932757692747315,-0.014789408874078563,0.015382684643353295,1.0
CD8 T cells,MFAP5,eccentricity,3,3,0.025779170424226838,0.011151883470378723,0.014627286953848115,0.7
Monocytes,COL1A1bis,eccentricity,3,3,-0.022607649665036835,-0.03690590826519147,0.014298258600154632,0.4
T cells,COL6A1,area,3,3,0.012597146279231225,-0.0012809175958833953,0.013878063875114621,0.4
CD4 T cells,COL6A1,eccentricity,3,3,0.024931618509211283,0.011586403436897532,0.013345215072313751,0.1
Macrophages,CHP,minor_axis_length,3,3,-0.019907353817067368,-0.033035629712466826,0.013128275895399458,0.4
Monocytes,COL4A1,eccentricity,3,3,-0.029471015737574564,-0.04197455481720202,0.012503539079627455,0.7
MERTK+ Macrophages,COL1A1bis,area,3,3,0.010328431423981576,-0.002155924652312203,0.012484356076293779,0.4
T cells,COL6A1,minor_axis_length,3,3,0.009279920603042441,-0.0029004494627981477,0.01218037006584059,0.2
CD8 T cells,COL6A1,minor_axis_length,3,3,0.007985848271264837,-0.00405702038381713,0.012042868655081966,0.2
Macrophages,COL6A1,alignment_score,3,3,-0.010170199010051811,-0.022146754999198204,0.011976555989146393,1.0
Dendritic cells,COL4A1,minor_axis_length,3,3,0.002890738023283424,-0.008822081566338742,0.011712819589622166,0.7
Macrophages,CHP,area,3,3,-0.014780977707507026,-0.026296865599756147,0.01151588789224912,0.4
B cells,MFAP5,eccentricity,3,3,0.016310262129294584,0.0049852587166033585,0.011325003412691225,0.4
Macrophages,COL6A1,minor_axis_length,3,3,-0.001094235626384685,-0.012346118014426666,0.011251882388041982,1.0
Monocytes,COL4A1,alignment_score,3,3,0.028304338257731137,0.017191761030043603,0.011112577227687534,1.0
Monocytes,COL6A1,alignment_score,3,3,0.026972917952677995,0.01596804400070956,0.011004873951968433,1.0
CD4 T cells,MFAP5,eccentricity,3,3,0.02426076480518186,0.013263478127514569,0.01099728667766729,0.4
Monocytes,COL6A1,major_axis_length,3,3,0.02733036040094032,0.01634418734245677,0.01098617305848355,0.7
Monocytes,MFAP5,alignment_score,3,3,0.044589283583438895,0.03360858987782046,0.010980693705618431,1.0
CD8 T cells,FN,alignment_score,3,3,0.013503994118142773,0.002624704925733919,0.010879289192408855,1.0
