phenotype,fiber_type,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
Vascular cells,COL6A1,3,3,12.545336926325573,15.020833087776888,-2.4754961614513142,0.1
CD8 T cells,FN,3,3,12.637587739729176,15.16840831377892,-2.530820574049745,0.7
Dendritic cells,COL1A1bis,3,3,16.69906671449221,19.323626749335872,-2.624560034843661,0.4
Macrophages,MFAP5,3,3,16.934753192083722,19.75100215022218,-2.816248958138459,0.2
CD4 T cells,FN,3,3,13.636995136046702,16.458890315870892,-2.8218951798241907,0.7
Neutrophils,COL1A1bis,3,3,15.057297800998777,18.01633804286612,-2.959040241867344,0.1
B cells,FN,3,3,14.299576754574034,17.636884105544137,-3.3373073509701037,0.4
Neutrophils,COL6A1,3,3,12.640537556117264,16.035982100467837,-3.395444544350573,0.1
Plasma cells,COL1A1bis,3,3,17.179668164141617,20.806800627466924,-3.6271324633253066,0.7
B cells,COL1A1bis,3,3,19.071189704728912,22.933084247318153,-3.8618945425892406,0.7
MERTK+ Macrophages,COL1A1bis,3,3,23.0954852980189,27.271161992310386,-4.175676694291486,0.4
B cells,COL6A1,3,3,13.165893716092157,17.98059987445872,-4.814706158366562,1.0
Monocytes,COL1A1bis,3,3,16.94676266351252,22.35921601563894,-5.41245335212642,0.2
Myeloid cells,COL1A1bis,3,3,17.85859871445693,25.32983660606315,-7.4712378916062185,0.1
Non-immune cells,COL1A1bis,3,3,16.764774312570662,25.80361640871776,-9.0388420961471,0.1
Macrophages,COL1A1bis,3,3,21.881935510216895,31.394203654489644,-9.512268144272749,0.4
