fov,label,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,area,eccentricity,euler_number,alignment_score
fov0,1,2324.9778597785976,1527.2324723247232,41.59015259709846,8.910333881803156,1.189275403536766,271,0.9767807371574211,1,1.057253290825433
fov0,2,2338.826829268293,1708.7878048780487,48.60010451579902,12.128995421265584,-1.372302666262771,410,0.9683574637421437,1,0.7027476334288741
fov0,3,2386.895223420647,1711.657935285054,60.455041195773966,33.02765329033447,0.7689588647289277,649,0.8375781007974582,1,
fov0,4,2406.0239596469105,1573.064312736444,77.42077037252598,13.752519833745621,-0.43552599215016097,793,0.9840967185789342,1,0.4963654111158239
fov0,5,2537.0398349334682,2334.3340070742797,544.889328766319,234.55833023418623,1.1462844101879623,11874,0.9026050421497444,1,0.32946224451870076
fov0,6,2431.2410714285716,1745.3080357142858,37.64273805332887,8.73035543561313,-0.8463559656580667,224,0.9727332691827236,1,0.19243899258335292
fov0,7,2448.562962962963,1768.6444444444444,18.462187935897305,9.416808696674197,-1.0209508020497426,135,0.8601393019114165,1,
fov0,8,2533.20814479638,1884.3212669683257,36.13619113710783,8.071701774197146,-0.4747108488332655,221,0.9747339781763132,1,0.4898562435819919
fov0,9,2530.3048780487807,1695.7865853658536,26.278104721867848,10.05479626208287,-0.941239905261832,164,0.9239015834857095,1,0.5705999604486578
fov0,10,2540.4028776978416,1647.8920863309352,35.097389682957214,20.018193578563057,-1.3579754367018468,417,0.8213939142448848,1,
fov0,11,2586.4347826086955,1900.9858989424206,111.9684346225536,16.680577239740085,-0.3907351827796787,851,0.9888408554024622,1,0.6070428507471829
fov0,12,2576.0528233151185,2051.8051001821495,44.538456451154666,19.97360457285557,0.7932574437203711,549,0.8938041597304971,1,0.35423564394801815
fov0,13,2588.8184523809523,1326.2916666666667,47.10824903871775,13.73631368123314,0.48837764008968876,336,0.9565432726379715,1,0.464705991524249
fov0,14,2634.191205533597,1742.6556324110672,225.5056556483994,54.60144397011128,1.2329151382947632,2024,0.9702440823897756,1,0.9553319238030541
fov0,15,2590.536842105263,1996.8947368421052,43.56236413975377,9.77871065996821,0.9697373619897839,285,0.9744795891634809,1,0.5294854918968781
fov0,16,2603.8444444444444,1418.6825396825398,25.32223523907058,16.42870066287085,0.9142347946944162,315,0.760971282229633,1,
fov0,17,2613.953995157385,2094.3050847457625,43.32756186474447,18.58162464195951,0.2505594718299998,413,0.9033691411052102,1,0.2764930690166933
fov0,18,2643.3176470588237,2133.8313725490198,40.54837971956878,8.60111341754933,0.26389795033285607,255,0.9772436741146675,1,0.3119710050461504
fov0,19,2772.57640426817,2507.8246426414335,188.81678152042218,178.74536238227742,-1.0403055466750408,4967,0.3222330874741965,0,
fov0,20,2788.135761589404,1338.049668874172,45.363597922297046,11.626998567488188,0.746378830956235,302,0.9665954815053663,1,0.1668537607740601
